audit_type,family,trial,gauge_law_error,prediction_error,pairwise_fit,inverse_consistency,face_residual,centrality_error,closure_error,coboundary_status,finite_cohomology_class_before,finite_cohomology_class_after,holonomy_conjugacy_error,execution_commit,command,source_sha256,seed
vertex_gauge,controlled_mu2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,0
vertex_gauge,controlled_mu2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,1
vertex_gauge,controlled_mu2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,2
vertex_gauge,controlled_mu2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,3
vertex_gauge,controlled_mu2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,4
vertex_gauge,controlled_mu2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,5
vertex_gauge,controlled_mu2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,6
vertex_gauge,controlled_mu2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,7
vertex_gauge,controlled_mu2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,8
vertex_gauge,controlled_mu2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,9
vertex_gauge,controlled_mu2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,10
vertex_gauge,controlled_mu2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,11
vertex_gauge,controlled_mu2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,0.0,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,python experiments/gauge_invariance_and_refinement.py,4ebd135219fc97248fdd7dacdee4504a8e2307d128b085fcb6185af43b0b0aab,12
