collection,layer,alignment_family,heldout_pairwise_fit,inverse_consistency,cycle_residual,residual_rank,architecture,setting_id
0,block2_feature_subspace,permutation_channel_matching,1.198219491417399,0.0,0.33071891388307384,14,resnet18,resnet18_collection0
0,block2_feature_subspace,orthogonal_procrustes,1.03658761353833,5.562233251803006e-16,0.2468091071367127,14,resnet18,resnet18_collection0
0,block2_feature_subspace,cca_whitened,1.4367439307589314,8.142329775488637e-16,9.873788354879356e-16,0,resnet18,resnet18_collection0
0,block2_feature_subspace,block_orthogonal,1.2297567981365523,2.3363959650915926e-16,0.27884813126116853,11,resnet18,resnet18_collection0
0,block2_feature_subspace,low_rank_subspace,1.0085371633416005,0.1741701825053661,0.24672542466650588,15,resnet18,resnet18_collection0
0,block3_feature_subspace,permutation_channel_matching,1.1502773918082638,0.0,0.24206145913796356,28,resnet18,resnet18_collection0
0,block3_feature_subspace,orthogonal_procrustes,0.8611074588300781,4.722036447245981e-16,0.15518290397143583,22,resnet18,resnet18_collection0
0,block3_feature_subspace,cca_whitened,1.448366664246107,7.186971883007374e-16,9.28447833419578e-16,0,resnet18,resnet18_collection0
0,block3_feature_subspace,block_orthogonal,1.1434246517238416,2.6691656542650463e-16,0.1829239495958965,25,resnet18,resnet18_collection0
0,block3_feature_subspace,low_rank_subspace,1.103412243602465,0.13444660114685072,0.19931172502677827,24,resnet18,resnet18_collection0
0,block4_feature_subspace,permutation_channel_matching,1.1315990037949089,0.0,0.19764235376052372,40,resnet18,resnet18_collection0
0,block4_feature_subspace,orthogonal_procrustes,0.7206633780463383,4.2589280975057317e-16,0.09634146442622847,29,resnet18,resnet18_collection0
0,block4_feature_subspace,cca_whitened,1.470864981499436,7.474403719200706e-16,9.856968328034054e-16,0,resnet18,resnet18_collection0
0,block4_feature_subspace,block_orthogonal,1.068319391704155,2.5946655686211636e-16,0.14634841620374398,42,resnet18,resnet18_collection0
0,block4_feature_subspace,low_rank_subspace,1.1796511289377338,0.12551777749735085,0.1650002984947922,24,resnet18,resnet18_collection0
0,penultimate_features,permutation_channel_matching,1.1139372350482324,0.0,0.16828640022295324,54,resnet18,resnet18_collection0
0,penultimate_features,orthogonal_procrustes,0.542280782873917,3.5650360160663644e-16,0.022762197811208838,50,resnet18,resnet18_collection0
0,penultimate_features,cca_whitened,1.4980485382093196,7.10178266739592e-16,9.072811169762851e-16,0,resnet18,resnet18_collection0
0,penultimate_features,block_orthogonal,1.0141313601837925,2.9507077593583106e-16,0.12137138758624207,53,resnet18,resnet18_collection0
0,penultimate_features,low_rank_subspace,1.2358443221616986,0.10662471099594541,0.13457880186403898,24,resnet18,resnet18_collection0
1,block2_feature_subspace,permutation_channel_matching,1.187685635788476,0.0,0.31868871959954903,13,resnet18,resnet18_collection1
