setting_id,dataset,phase,seed,threshold,coverage,covered_accuracy
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1331231721166117,0.9995,0.5497748874437218
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1445201327753473,0.959,0.5557872784150156
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1479936222197038,0.914,0.5656455142231948
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1519430091531515,0.832,0.5865384615384616
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.15431866653837245,0.791,0.5891276864728192
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1565148834626081,0.75,0.5913333333333334
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.15882723635280033,0.705,0.6007092198581561
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1611262396351812,0.6575,0.6152091254752852
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.16361695537503687,0.6015,0.628428927680798
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.16605480004156156,0.5565,0.6415094339622641
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.16829667922244457,0.517,0.6518375241779497
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.17045580627908796,0.4745,0.6575342465753424
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.17412387235326332,0.418,0.6674641148325359
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1785243973789057,0.3585,0.6792189679218968
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.1830739930439849,0.303,0.693069306930693
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.18989754809671633,0.2325,0.7376344086021506
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.19777836192286843,0.1845,0.7560975609756098
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.20566649067704654,0.1425,0.7719298245614035
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.2227674173843703,0.078,0.8269230769230769
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.2431717898607107,0.0325,0.8461538461538461
FashionMNIST_discovery_s0,FashionMNIST,discovery,0,0.33276232849564424,0.0,nan
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.13523733547479894,0.998,0.5450901803607214
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.14783213077946783,0.912,0.5663377192982456
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.15061061527921651,0.8725,0.5759312320916905
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.1539228440740997,0.807,0.5848822800495663
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.1558321257030111,0.7705,0.5898767034393251
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.15861703529787918,0.717,0.5941422594142259
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.16120737518809358,0.661,0.5990922844175491
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.163251085226258,0.623,0.6035313001605136
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.16644297042552972,0.5565,0.6091644204851752
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.1688165842781936,0.515,0.6194174757281553
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.17136948174153122,0.4745,0.6217070600632244
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.17387208522995354,0.43,0.6313953488372093
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.17617402867862278,0.403,0.6426799007444168
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.17953801599894795,0.3625,0.6565517241379311
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.18450877078130332,0.3035,0.6787479406919276
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.1942743113609794,0.21,0.7023809523809523
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.20131565101363819,0.1685,0.7270029673590505
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.2085574893915341,0.1325,0.7622641509433963
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.2223406806173874,0.091,0.7747252747252747
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.24391119031471376,0.0395,0.8481012658227848
FashionMNIST_discovery_s1,FashionMNIST,discovery,1,0.3573462735408164,0.0,nan
