group,group_order,coefficient_group,cocycle,normalized,cocycle_identity_error,multiplier_order,coboundary,central_extension_order,execution_commit,source_sha256
C2,2,mu_2,cyclic_carry,True,0,2,False,4,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C2,2,mu_3,cyclic_carry,True,0,1,True,6,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C2,2,mu_4,cyclic_carry,True,0,2,False,8,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C3,3,mu_2,cyclic_carry,True,0,1,True,6,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C3,3,mu_3,cyclic_carry,True,0,3,False,9,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C3,3,mu_4,cyclic_carry,True,0,1,True,12,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C4,4,mu_2,cyclic_carry,True,0,2,False,8,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C4,4,mu_3,cyclic_carry,True,0,1,True,12,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
C4,4,mu_4,cyclic_carry,True,0,4,False,16,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
S3,6,mu_2,normalized_trivial,True,0,1,True,12,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
S3,6,mu_3,normalized_trivial,True,0,1,True,18,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
S3,6,mu_4,normalized_trivial,True,0,1,True,24,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
D4,8,mu_2,normalized_trivial,True,0,1,True,16,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
D4,8,mu_3,normalized_trivial,True,0,1,True,24,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
D4,8,mu_4,normalized_trivial,True,0,1,True,32,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
Q8,8,mu_2,normalized_trivial,True,0,1,True,16,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
Q8,8,mu_3,normalized_trivial,True,0,1,True,24,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
Q8,8,mu_4,normalized_trivial,True,0,1,True,32,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,7e762acb6cc59f3f00c0797c901362548c28e4971ae85dec7632f8d570eabccf
