family,role,accuracy,trainable_parameters,stored_parameters,latency_batch32_ms,peak_memory_mb
independent_controlled_context_confirmation,ensemble,0.29990833333333333,93,93,0.01258309930562973,0.0101318359375
independent_controlled_context_confirmation,generic_low_rank_context_adapter,0.16617499999999996,555,555,0.04791701212525368,0.04022216796875
independent_controlled_context_confirmation,group_equivariant_baseline,0.2549916666666666,371,371,0.032250070944428444,0.028289794921875
independent_controlled_context_confirmation,inference_matched_model,0.4343583333333333,57,57,0.0100000761449337,0.008056640625
independent_controlled_context_confirmation,learned_cayley_table_upper_bound,0.5928666666666667,1,0,0.009917188435792923,0.008056640625
independent_controlled_context_confirmation,parameter_matched_widened_model,0.2549916666666666,371,371,0.03237510100007057,0.028289794921875
independent_controlled_context_confirmation,strongest_generic_moe,0.4343583333333333,57,57,0.024582957848906517,0.009521484375
independent_controlled_context_confirmation,structured_method,0.5928666666666667,43,43,0.010541873052716255,0.008056640625
