setting_id,teacher,group,seed,objective,method,accuracy,loss,ece,teacher_accuracy,teacher_student_kl,action_accuracy,unseen_word_accuracy,retained_teacher_gain_fraction,teacher_stored_parameters,trainable_parameters,stored_parameters,material_storage_reduction,latency_ms,peak_memory_mb,label_permutation_hash_passed,execution_commit,source_sha256
S3_s0,controlled_S3_structured,S3,0,kl,ordinary_single_model,0.15041666666666667,1.7932091286454375,0.023126565030043733,1.0,0.29925718663608286,nan,0.15041666666666667,-0.0292781423523473,180,726,726,False,0.04024989902973175,0.1154022216796875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,explicit_chart_token,0.20166666666666666,1.7897714484428668,0.02832235895962909,1.0,0.2981440303422899,1.0,0.20166666666666666,0.03281171125694092,180,186,186,False,0.06366707384586334,0.1112823486328125,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,group_equivariant_output_head,1.0,0.9460716283792391,0.5943751092135482,1.0,0.0,1.0,1.0,1.0,180,180,180,False,0.06687501445412636,0.111236572265625,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,canonical_predictor_learned_retransport,0.14625,2.192648404629518,0.2598851041721564,1.0,0.6754374955401611,0.14625,0.14625,-0.03432609793033823,180,726,726,False,0.06387499161064625,0.1154022216796875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,low_rank_chart_adapter,0.15125,1.7933859795884863,0.022207783244149903,1.0,0.29930308032513764,nan,0.15125,-0.02826855123674913,180,246,246,False,0.06008311174809933,0.1117401123046875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,finite_state_chart_module,1.0,0.9460716283792391,0.5943751092135482,1.0,0.0,1.0,1.0,1.0,180,180,180,False,0.06975000724196434,0.111236572265625,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,kl,parameter_matched_widened_model,0.17458333333333334,1.799090018105086,0.021183152420783842,1.0,0.30606862493780373,nan,0.17458333333333334,0.0,180,30246,30246,False,0.0541249755769968,0.3406219482421875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,ordinary_single_model,0.1525,1.7961533820256792,0.03109055037776639,1.0,0.3018391041924858,nan,0.1525,-0.016491754122938546,180,726,726,False,0.036041950806975365,0.1154022216796875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,explicit_chart_token,0.21208333333333335,1.7856521498601083,0.02897872014737427,1.0,0.2987523744465778,1.0,0.21208333333333335,0.05497251374312844,180,186,186,False,0.06195809692144394,0.1112823486328125,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,group_equivariant_output_head,1.0,0.9460716283792391,0.5943751092135482,1.0,0.0,1.0,1.0,1.0,180,180,180,False,0.06070802919566631,0.111236572265625,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,canonical_predictor_learned_retransport,0.14625,2.192648404629518,0.2598851041721564,1.0,0.6754374955401611,0.14625,0.14625,-0.02398800599700152,180,726,726,False,0.06204098463058472,0.1154022216796875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,low_rank_chart_adapter,0.15,1.7965543329867797,0.033315005514305385,1.0,0.30187505986482277,nan,0.15,-0.019490254872563735,180,246,246,False,0.058167148381471634,0.1117401123046875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,finite_state_chart_module,1.0,0.9460716283792391,0.5943751092135482,1.0,0.0,1.0,1.0,1.0,180,180,180,False,0.08045905269682407,0.111236572265625,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,supervised,parameter_matched_widened_model,0.16625,1.8251775828736694,0.06780257401288954,1.0,0.33278869900604696,nan,0.16625,0.0,180,30246,30246,False,0.05687493830919266,0.3406219482421875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,chart_action,ordinary_single_model,0.15583333333333332,1.7944163491855303,0.022357088023716137,1.0,0.30028323926425604,nan,0.15583333333333332,0.0,180,726,726,False,0.05045789293944836,0.1154022216796875,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,chart_action,explicit_chart_token,0.21541666666666667,1.7873799021617747,0.036684441515651006,1.0,0.29811630540472084,1.0,0.21541666666666667,0.07058242843040476,180,186,186,False,0.06545800715684891,0.1112823486328125,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
S3_s0,controlled_S3_structured,S3,0,chart_action,group_equivariant_output_head,1.0,0.9460716283792391,0.5943751092135482,1.0,0.0,1.0,1.0,1.0,180,180,180,False,0.061416998505592346,0.111236572265625,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,fd60f48de41a3f53e37eb803793157df28031f80b57e51d4ea521be9ffbdd890
