setting_id,dataset,dataset_revision,seed,method,implementation,accuracy,loss,ece,chart_accuracy,unseen_view,calibration_examples,selector_validation_examples,test_examples,missing_edge_fraction,trainable_parameters,stored_parameters,latency_ms,branch_count,label_permutation_hash_passed,execution_commit,source_sha256
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,generic_moe,ridge_view_router_weighted_expert_logits,0.125,2.3008615872204046,0.013231195068144758,0.25,True,160,20,40,0.0,480,1920,0.017582904547452927,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,hodge_diagnostic,residual_gate_with_linear_correction_or_strict_fallback,0.125,2.3014709844915258,0.013230306122034787,0.25,True,160,20,40,0.0,480,1920,0.019625062122941017,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,generic_low_rank_correction,ridge_residual_correction_not_rank_constrained,0.125,2.3014709844915258,0.013230306122034787,0.25,True,160,20,40,0.0,480,1920,0.015875091776251793,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,structured_retransport,hard_inferred_view_expert_selection_proxy,0.125,2.297420668208242,0.013034308782991916,0.25,True,160,20,40,0.0,480,1920,0.016042031347751617,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,inferred_chart_structured_method,hard_inferred_view_expert_selection_proxy,0.125,2.297420668208242,0.013034308782991916,0.25,True,160,20,40,0.0,192,1920,0.017208978533744812,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s1,ModelNet10,ModelNet10_official_archive_cached,1,ensemble,mean_of_four_view_expert_logits,0.125,2.3014709844915258,0.013230306122034787,0.25,True,160,20,40,0.0,480,1920,0.021249987185001373,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,raw_merge,mean_of_four_view_expert_logits,0.125,2.310599051592262,0.00803480222046332,0.175,True,160,20,40,0.0,480,1920,0.000959029421210289,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,strict_synchronization,mean_of_four_linear_view_expert_weights,0.125,2.310599051592262,0.00803480222046332,0.175,True,160,20,40,0.0,480,1920,0.016750069335103035,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,graph_synchronization,strict_weight_mean_proxy_not_sparse_graph_sync,0.125,2.310599051592262,0.00803480222046332,0.175,True,160,20,40,0.0,480,1920,0.015500001609325409,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,generic_calibration_network,ridge_classifier_on_view_features,0.075,2.3020084010854442,0.06156016160943458,0.175,True,160,20,40,0.0,480,1920,0.016666017472743988,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,generic_moe,ridge_view_router_weighted_expert_logits,0.125,2.310215979026738,0.008134511347555983,0.175,True,160,20,40,0.0,480,1920,0.01874985173344612,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,hodge_diagnostic,residual_gate_with_linear_correction_or_strict_fallback,0.125,2.310599051592262,0.00803480222046332,0.175,True,160,20,40,0.0,480,1920,0.019707949832081795,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,generic_low_rank_correction,ridge_residual_correction_not_rank_constrained,0.125,2.310599051592262,0.008034802220463318,0.175,True,160,20,40,0.0,480,1920,0.018290942534804344,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,structured_retransport,hard_inferred_view_expert_selection_proxy,0.125,2.3079550295324855,0.007761601958499715,0.175,True,160,20,40,0.0,480,1920,0.0175421591848135,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,inferred_chart_structured_method,hard_inferred_view_expert_selection_proxy,0.125,2.3079550295324855,0.007761601958499715,0.175,True,160,20,40,0.0,192,1920,0.016124919056892395,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s2,ModelNet10,ModelNet10_official_archive_cached,2,ensemble,mean_of_four_view_expert_logits,0.125,2.310599051592262,0.00803480222046332,0.175,True,160,20,40,0.0,480,1920,0.016124919056892395,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,raw_merge,mean_of_four_view_expert_logits,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.0009578652679920197,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,strict_synchronization,mean_of_four_linear_view_expert_weights,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.019167084246873856,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,graph_synchronization,strict_weight_mean_proxy_not_sparse_graph_sync,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.026166904717683792,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,generic_calibration_network,ridge_classifier_on_view_features,0.35,2.2114337827715507,0.22503186869943737,0.325,True,160,20,40,0.0,480,1920,0.01795799471437931,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,generic_moe,ridge_view_router_weighted_expert_logits,0.325,2.1966656194784426,0.19734423697501474,0.325,True,160,20,40,0.0,480,1920,0.016207806766033173,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,hodge_diagnostic,residual_gate_with_linear_correction_or_strict_fallback,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.017791055142879486,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,generic_low_rank_correction,ridge_residual_correction_not_rank_constrained,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.017582904547452927,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,structured_retransport,hard_inferred_view_expert_selection_proxy,0.3,2.1915836998028904,0.1688979581045878,0.325,True,160,20,40,0.0,480,1920,0.016834121197462082,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,inferred_chart_structured_method,hard_inferred_view_expert_selection_proxy,0.3,2.1915836998028904,0.1688979581045878,0.325,True,160,20,40,0.0,192,1920,0.021124957129359245,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s3,ModelNet10,ModelNet10_official_archive_cached,3,ensemble,mean_of_four_view_expert_logits,0.325,2.1983344090928405,0.19778697560474742,0.325,True,160,20,40,0.0,480,1920,0.016666948795318604,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,raw_merge,mean_of_four_view_expert_logits,0.25,2.287631994273491,0.14874730234673958,0.175,True,160,20,40,0.0,480,1920,0.0011248048394918442,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,strict_synchronization,mean_of_four_linear_view_expert_weights,0.25,2.287631994273491,0.14874730234673952,0.175,True,160,20,40,0.0,480,1920,0.016832957044243813,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,graph_synchronization,strict_weight_mean_proxy_not_sparse_graph_sync,0.25,2.287631994273491,0.14874730234673952,0.175,True,160,20,40,0.0,480,1920,0.01654098741710186,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,generic_calibration_network,ridge_classifier_on_view_features,0.175,2.2951627455805843,0.07151594423339797,0.175,True,160,20,40,0.0,480,1920,0.017582904547452927,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,generic_moe,ridge_view_router_weighted_expert_logits,0.25,2.2876875078997743,0.148898548660311,0.175,True,160,20,40,0.0,480,1920,0.0189170241355896,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,hodge_diagnostic,residual_gate_with_linear_correction_or_strict_fallback,0.25,2.287631994273491,0.14874730234673952,0.175,True,160,20,40,0.0,480,1920,0.019208062440156937,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,generic_low_rank_correction,ridge_residual_correction_not_rank_constrained,0.25,2.287631994273491,0.14874730234673952,0.175,True,160,20,40,0.0,480,1920,0.028458191081881523,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,structured_retransport,hard_inferred_view_expert_selection_proxy,0.225,2.2852090316818847,0.12272458588724683,0.175,True,160,20,40,0.0,480,1920,0.017625046893954277,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,inferred_chart_structured_method,hard_inferred_view_expert_selection_proxy,0.225,2.2852090316818847,0.12272458588724683,0.175,True,160,20,40,0.0,192,1920,0.016124919056892395,1,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
modelnet10_s4,ModelNet10,ModelNet10_official_archive_cached,4,ensemble,mean_of_four_view_expert_logits,0.25,2.287631994273491,0.14874730234673958,0.175,True,160,20,40,0.0,480,1920,0.016582896932959557,4,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,754d6687b78237410a685dd4474d8e0ccd225dc4bb811d4b59c6a0792758e39b
