setting_id,phase,dataset,seed,method,implementation,evaluation_split,accuracy,loss,ece,chart_accuracy,chart_training_examples,selector_validation_examples,test_examples,trainable_parameters,stored_parameters,latency_ms,branch_count,candidate_count,abstention_threshold,coverage,logits_sha256,label_permutation_hash_passed,dataset_revision,execution_commit,source_sha256
FashionMNIST_discovery_s0,discovery,FashionMNIST,0,wrong_action_control,cyclically_shifted_inferred_chart_branch,iid_random_D4_transform,0.1605,2.3008373991980715,0.0027646442362172403,0.4475,1000,500,2000,592,3192,0.04445808008313179,1,1,0.1331231721166117,0.9995,760fad651f91d2b7465533a317d65ac8a040283584d82844598fab78ae61f65a,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s0,discovery,FashionMNIST,0,ensemble,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.3235,2.197254433512478,0.1993515843798991,0.4475,1000,500,2000,592,3192,0.0392089132219553,8,1,0.1331231721166117,0.9995,faddc0c4155a9bbebe0c892e40742bb6b4b316a21bccb74e7cd72aff8d31ee21,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,context_blind_synchronization,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.289,2.1979904222282975,0.16335596485690407,0.46,1000,500,2000,592,3192,0.02295803278684616,1,1,0.13523733547479894,0.998,b9cfcd107f57873bbf274e1535cd7d7f3521997e374ecec24148badc49d264b7,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,generic_image_context_classifier,ridge_classifier_on_random_image_features,iid_random_D4_transform,0.445,2.125994975737022,0.3132399008666281,0.46,1000,500,2000,592,3192,0.04137493669986725,1,1,0.13523733547479894,0.998,781ea243eadc6fa81c7248ea7a7c15bd14a3e80805ad0d95ba0dc522331ab10e,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,generic_mixture_of_experts,ridge_chart_router_weighted_branch_logits,iid_random_D4_transform,0.3645,2.170513264740786,0.24072841230805153,0.46,1000,500,2000,592,3192,0.034833094105124474,8,1,0.13523733547479894,0.998,f88e5db25e9d7f4cde320fc753444ef5836aa8b60007428657cd95bd25046412,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,generic_low_rank_context_adapter,equal_blend_proxy_not_fitted_low_rank_adapter,iid_random_D4_transform,0.5375,2.1459900593098893,0.4144893658760564,0.46,1000,500,2000,592,3192,0.03587501123547554,1,1,0.13523733547479894,0.998,5d340e884f332235c8080f137b49bf83eddaec4ada9c7d37832bab11c0f9354f,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,group_equivariant_cnn_chart_classifier,orbit_moment_ridge_proxy_not_cnn,iid_random_D4_transform,0.544,2.025777117028128,0.3934760994388843,0.46,1000,500,2000,592,3192,0.03812485374510288,1,1,0.13523733547479894,0.998,4ded0feec90cefb89110a177808f59d320f6e65d6818196b1e883c6459c5df66,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,structured_group_router,hybrid_random_feature_and_orbit_moment_ridge_router,iid_random_D4_transform,0.544,2.025777117028128,0.3934760994388843,0.46,1000,500,2000,592,3192,0.03258301876485348,8,1,0.13523733547479894,0.998,4ded0feec90cefb89110a177808f59d320f6e65d6818196b1e883c6459c5df66,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,canonicalize_pool_retransport_inferred,inferred_chart_canonicalization_and_branch_selection,iid_random_D4_transform,0.544,2.025777117028128,0.3934760994388843,0.46,1000,500,2000,592,3192,0.03758398815989494,8,1,0.13523733547479894,0.998,4ded0feec90cefb89110a177808f59d320f6e65d6818196b1e883c6459c5df66,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,twistedmerge_diagnostic_structured_retransport,validation_thresholded_structured_branch_with_moe_fallback,iid_random_D4_transform,0.5445,2.0256608261189935,0.39399469064441367,0.46,1000,500,2000,592,3192,0.034499913454055786,8,2,0.13523733547479894,0.998,3ee4888fb4eaeedd0913cfb0837118296b7f1e53e113a6e9ae2013880cc2f13a,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,supplied_chart_oracle,true_chart_branch_selection_oracle,iid_random_D4_transform,0.7355,1.9060493764775128,0.5763501381734024,0.46,1000,500,2000,592,3192,0.03620819188654423,8,1,0.13523733547479894,0.998,10302265b116c29933235e1d591f2d105375d2456977705d3b88b4dc2989d340,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
