comparison,left,right,metric,mean_delta,ci_lower,ci_upper,seeds
retransport_vs_no_output,inferred_chart_canonicalize_pool_retransport,inferred_canonical_no_output_retransport,dice,6.701618631426314e-05,-0.0004301093347406965,0.000631157893683486,5
retransport_vs_generic_soft,inferred_chart_canonicalize_pool_retransport,generic_soft_moe,dice,-0.07926561502144587,-0.17311749139870755,0.0,5
retransport_vs_generic_hard,inferred_chart_canonicalize_pool_retransport,generic_hard_routing,dice,-0.07903805630370686,-0.1257294200232538,-0.030344350043594693,5
four_vs_one_after_inferred_chart,four_expert_inferred_canonicalization,one_canonical_inferred_inverse_and_retransport,dice,-0.06640789343081645,-0.20037184330965987,0.001148163017210537,5
full_vs_direct_equivariant,inferred_chart_canonicalize_pool_retransport,direct_d4_equivariant_unet,dice,-0.0008175633037121159,-0.20037184330951577,0.1987594901804372,5
full_vs_tta,inferred_chart_canonicalize_pool_retransport,d4_test_time_augmentation,dice,-0.06626572615373891,-0.20037184330965596,0.0015746648484392348,5
random_control_gap,inferred_chart_canonicalize_pool_retransport,random_chart_control,dice,-0.06626572615373891,-0.20037184330965596,0.0015746648484392348,5
wrong_output_control_gap,inferred_chart_canonicalize_pool_retransport,wrong_output_action_control,dice,3.4347514518244967e-06,-1.385128740382418e-14,1.0304254369324778e-05,5
wrong_order_control_gap,inferred_chart_canonicalize_pool_retransport,wrong_multiplication_order_control,dice,-0.06626572615373891,-0.20037184330965596,0.0015746648484392348,5
