outcome,feature_set,fold_index,feature,logistic_coefficient_standardized
ordinary_fusion_harmful,pairwise_residual_only,0,mean_heldout_pairwise_residual,0.06354286256480417
ordinary_fusion_harmful,pairwise_residual_only,1,mean_heldout_pairwise_residual,0.04029649297404536
ordinary_fusion_harmful,pairwise_residual_only,2,mean_heldout_pairwise_residual,0.09967290497524216
ordinary_fusion_harmful,pairwise_residual_only,3,mean_heldout_pairwise_residual,0.0264338941803427
ordinary_fusion_harmful,pairwise_residual_only,4,mean_heldout_pairwise_residual,0.0491410797839195
ordinary_fusion_harmful,pairwise_residual_only,5,mean_heldout_pairwise_residual,0.023385053752622856
ordinary_fusion_harmful,pairwise_residual_only,6,mean_heldout_pairwise_residual,0.06159826205026613
ordinary_fusion_harmful,pairwise_residual_only,7,mean_heldout_pairwise_residual,0.043074002708470706
ordinary_fusion_harmful,pairwise_residual_only,8,mean_heldout_pairwise_residual,0.036114687445052855
ordinary_fusion_harmful,pairwise_residual_only,9,mean_heldout_pairwise_residual,0.014403822675580841
ordinary_fusion_harmful,pairwise_residual_only,10,mean_heldout_pairwise_residual,0.049079873604802246
ordinary_fusion_harmful,pairwise_residual_only,11,mean_heldout_pairwise_residual,0.030868023574641676
ordinary_fusion_harmful,pairwise_residual_only,12,mean_heldout_pairwise_residual,0.08362994702879067
ordinary_fusion_harmful,pairwise_residual_only,13,mean_heldout_pairwise_residual,0.049226049339571816
ordinary_fusion_harmful,pairwise_residual_only,14,mean_heldout_pairwise_residual,0.09904089043625212
ordinary_fusion_harmful,pairwise_residual_only,15,mean_heldout_pairwise_residual,0.06885313314395496
ordinary_fusion_harmful,pairwise_residual_only,16,mean_heldout_pairwise_residual,0.02273682204731659
ordinary_fusion_harmful,pairwise_residual_only,17,mean_heldout_pairwise_residual,0.00450008389256045
ordinary_fusion_harmful,pairwise_residual_only,18,mean_heldout_pairwise_residual,0.033534498148554095
ordinary_fusion_harmful,pairwise_residual_only,19,mean_heldout_pairwise_residual,0.02165355616964817
ordinary_fusion_harmful,parameter_distance_only,0,mean_parameter_distance,-0.03564249176505052
ordinary_fusion_harmful,parameter_distance_only,1,mean_parameter_distance,-0.020068758947130047
ordinary_fusion_harmful,parameter_distance_only,2,mean_parameter_distance,-0.06974715818230803
ordinary_fusion_harmful,parameter_distance_only,3,mean_parameter_distance,-0.004609745495763911
ordinary_fusion_harmful,parameter_distance_only,4,mean_parameter_distance,-0.024170701030354683
ordinary_fusion_harmful,parameter_distance_only,5,mean_parameter_distance,-0.0055032930028408485
ordinary_fusion_harmful,parameter_distance_only,6,mean_parameter_distance,-0.03482182200040771
ordinary_fusion_harmful,parameter_distance_only,7,mean_parameter_distance,-0.02322927071804483
ordinary_fusion_harmful,parameter_distance_only,8,mean_parameter_distance,-0.03789211883110191
ordinary_fusion_harmful,parameter_distance_only,9,mean_parameter_distance,-0.016478261617701325
ordinary_fusion_harmful,parameter_distance_only,10,mean_parameter_distance,-0.06427664013489803
ordinary_fusion_harmful,parameter_distance_only,11,mean_parameter_distance,-0.019254218925344627
ordinary_fusion_harmful,parameter_distance_only,12,mean_parameter_distance,-0.10292664617314953
ordinary_fusion_harmful,parameter_distance_only,13,mean_parameter_distance,-0.06440324158531933
ordinary_fusion_harmful,parameter_distance_only,14,mean_parameter_distance,-0.13278975138896867
ordinary_fusion_harmful,parameter_distance_only,15,mean_parameter_distance,-0.07125986942972766
ordinary_fusion_harmful,parameter_distance_only,16,mean_parameter_distance,-0.011919930885795748
ordinary_fusion_harmful,parameter_distance_only,17,mean_parameter_distance,0.0018893528562111698
ordinary_fusion_harmful,parameter_distance_only,18,mean_parameter_distance,-0.035858089900290574
ordinary_fusion_harmful,parameter_distance_only,19,mean_parameter_distance,0.0004464548754457885
ordinary_fusion_harmful,prediction_disagreement_only,0,ordinary_prediction_disagreement,1.9678845067188193
ordinary_fusion_harmful,prediction_disagreement_only,1,ordinary_prediction_disagreement,1.2960392946976118
ordinary_fusion_harmful,prediction_disagreement_only,2,ordinary_prediction_disagreement,1.184629678465214
ordinary_fusion_harmful,prediction_disagreement_only,3,ordinary_prediction_disagreement,1.0561645737287668
ordinary_fusion_harmful,prediction_disagreement_only,4,ordinary_prediction_disagreement,1.9516146015089435
ordinary_fusion_harmful,prediction_disagreement_only,5,ordinary_prediction_disagreement,1.2944183303877206
ordinary_fusion_harmful,prediction_disagreement_only,6,ordinary_prediction_disagreement,1.214831695355924
ordinary_fusion_harmful,prediction_disagreement_only,7,ordinary_prediction_disagreement,1.038414379262975
ordinary_fusion_harmful,prediction_disagreement_only,8,ordinary_prediction_disagreement,2.0757895956067087
ordinary_fusion_harmful,prediction_disagreement_only,9,ordinary_prediction_disagreement,1.325624687312472
ordinary_fusion_harmful,prediction_disagreement_only,10,ordinary_prediction_disagreement,1.2343549953479382
ordinary_fusion_harmful,prediction_disagreement_only,11,ordinary_prediction_disagreement,1.0813183284766308
ordinary_fusion_harmful,prediction_disagreement_only,12,ordinary_prediction_disagreement,2.0062896047054215
ordinary_fusion_harmful,prediction_disagreement_only,13,ordinary_prediction_disagreement,1.310002408301232
ordinary_fusion_harmful,prediction_disagreement_only,14,ordinary_prediction_disagreement,1.2280859418726675
ordinary_fusion_harmful,prediction_disagreement_only,15,ordinary_prediction_disagreement,1.0512434991986148
ordinary_fusion_harmful,prediction_disagreement_only,16,ordinary_prediction_disagreement,2.0957086831147618
