claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_test_accuracy,test_accuracy_std,test_accuracy_range,worst_scramble_test_accuracy,mean_test_accuracy_change,mean_maximum_test_logit_change,max_test_logit_change,mean_prediction_disagreement,max_prediction_disagreement,mean_test_nll,mean_test_brier,mean_test_ece,worst_chart_accuracy
ill_conditioned_boundary,ill_conditioned,0,canonical_svd_factor_average,20,1,0.50225,0.0,0.0,0.50225,0.0,1.9113880034282717e-09,3.1454283622167623e-09,0.0,0.0,1.51449747678648,0.6666630194573001,0.12474681589662784,0.456
ill_conditioned_boundary,ill_conditioned,0,cycle_aware_alignment,6,1,0.548,0.0,0.0,0.548,0.0,5.177515638443708e-09,9.817438861858818e-09,0.0,0.0,1.3162804112216708,0.6012991824177212,0.07517174970966368,0.514
ill_conditioned_boundary,ill_conditioned,0,full_delta_svd,20,1,0.548,0.0,0.0,0.548,0.0,4.306772713458251e-09,9.817438861858818e-09,0.0,0.0,1.3162804112085602,0.6012991824126661,0.0751717497036009,0.514
ill_conditioned_boundary,ill_conditioned,0,global_synchronization,6,1,0.5014791666666666,0.002693952203032222,0.006624999999999992,0.497625,-0.0012708333333333783,0.43886867382306693,0.8509170166699251,0.0280625,0.0435,1.4669298263184982,0.6510487596745193,0.07028545935249096,0.465
ill_conditioned_boundary,ill_conditioned,0,naive_factor_average,20,1,0.10529374999999996,0.049331789240686374,0.1725,0.0395,-0.38158125,13600743.28972919,18986639.788525943,0.89799375,0.97,30.90205910787905,1.7894124281382524,3.12138601609376e-05,0.031
ill_conditioned_boundary,ill_conditioned,0,oracle_alignment,20,1,0.48687499999999995,5.551115123125783e-17,0.0,0.486875,0.0,1.516835278908557e-09,2.717118530171092e-09,0.0,0.0,1.53870647882732,0.674276097862019,0.11319401863602736,0.449
ill_conditioned_boundary,ill_conditioned,0,pairwise_reference_alignment,6,1,0.5013124999999999,0.000843942879188709,0.0022499999999999742,0.5,-0.0026875000000000093,0.29344893560126034,0.3721068206336964,0.021333333333333333,0.030875,1.4698880625156459,0.6511096367017025,0.08529802912907976,0.465
ill_conditioned_boundary,ill_conditioned,1,canonical_svd_factor_average,20,1,0.49125000000000013,1.1102230246251565e-16,0.0,0.49125,0.0,1.4334396558624007e-09,1.9893450775576582e-09,0.0,0.0,1.5454807028976005,0.6783617797413675,0.12820400967868523,0.444
ill_conditioned_boundary,ill_conditioned,1,cycle_aware_alignment,6,1,0.5383750000000002,1.1102230246251565e-16,0.0,0.538375,0.0,2.936844813635394e-09,4.747882004219051e-09,0.0,0.0,1.335423780064132,0.6101092542390606,0.0760450372318575,0.497
ill_conditioned_boundary,ill_conditioned,1,full_delta_svd,20,1,0.538375,0.0,0.0,0.538375,0.0,2.9002474394301813e-09,4.747882004219051e-09,0.0,0.0,1.3354237800586204,0.6101092542355315,0.07604503723197178,0.497
ill_conditioned_boundary,ill_conditioned,1,global_synchronization,6,1,0.4646249999999999,0.022573952541221777,0.062124999999999986,0.42375,-0.011374999999999977,1.1991226042528556,2.6696434508594007,0.06722916666666666,0.156625,1.5215917697748418,0.6800837923131556,0.04622433090594231,0.39
ill_conditioned_boundary,ill_conditioned,1,naive_factor_average,20,1,0.09705625,0.04797653194205996,0.21387499999999998,0.033375,-0.38656875,14195775.870380271,24881377.83584949,0.9024875000000001,0.96825,31.186572278432124,1.8058856531155048,3.637806835180833e-05,0.017
ill_conditioned_boundary,ill_conditioned,1,oracle_alignment,20,1,0.4836250000000001,5.551115123125783e-17,0.0,0.483625,0.0,1.3738267169716155e-09,1.8546799651630863e-09,0.0,0.0,1.5516074941936033,0.6803863970559243,0.1194803584939268,0.436
ill_conditioned_boundary,ill_conditioned,1,pairwise_reference_alignment,6,1,0.48756249999999995,0.001196239768329642,0.0031250000000000444,0.486125,-0.0020624999999999762,0.32063721082825986,0.5774652764268899,0.021520833333333336,0.0415,1.4978617688480391,0.6650973983576111,0.08168767855606025,0.441
ill_conditioned_boundary,ill_conditioned,2,canonical_svd_factor_average,20,1,0.4915,0.0,0.0,0.4915,0.0,1.7387716412520237e-09,3.4912575053169803e-09,0.0,0.0,1.5529393430158254,0.6811337235495095,0.13001316646341773,0.446
ill_conditioned_boundary,ill_conditioned,2,cycle_aware_alignment,6,1,0.5395,0.0,0.0,0.5395,0.0,3.4345211859706146e-09,4.095860539621299e-09,0.0,0.0,1.3338314417315262,0.6097287112335237,0.07674106173770502,0.501
ill_conditioned_boundary,ill_conditioned,2,full_delta_svd,20,1,0.5395000000000001,1.1102230246251565e-16,0.0,0.5395,0.0,3.225886360813668e-09,5.03406183405275e-09,0.0,0.0,1.3338314417445702,0.6097287112397098,0.07674106174031839,0.501
ill_conditioned_boundary,ill_conditioned,2,global_synchronization,6,1,0.4779791666666667,0.002009633914976115,0.006000000000000005,0.475375,-0.002645833333333366,0.6546346080436677,1.13757736789717,0.038,0.070125,1.4880331428447173,0.6641530086617738,0.050803114179546104,0.442
