stage,group_seed,family,scramble,condition_limit,claim_scope,maximum_individual_relative_delta_error,maximum_individual_logit_error,maximum_individual_prediction_disagreement,maximum_individual_validation_accuracy_change,accepted_scramble
pilot,0,dense,11,30.0,primary_well_conditioned,1.019636906190203e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,12,30.0,primary_well_conditioned,8.866067745558082e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,13,30.0,primary_well_conditioned,1.1051410835243468e-15,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,14,30.0,primary_well_conditioned,9.91363180491008e-16,1.2434497875801753e-14,0.0,0.0,True
pilot,0,dense,15,30.0,primary_well_conditioned,9.419263278412196e-16,9.325873406851315e-15,0.0,0.0,True
pilot,0,dense,16,30.0,primary_well_conditioned,9.609430629755905e-16,1.226796442210798e-14,0.0,0.0,True
pilot,0,dense,17,30.0,primary_well_conditioned,1.1074049181541155e-15,1.554312234475219e-14,0.0,0.0,True
pilot,0,dense,18,30.0,primary_well_conditioned,9.644820593022437e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,19,30.0,primary_well_conditioned,1.041194440722582e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,0,ill_conditioned,0,100000000.0,ill_conditioned_boundary,3.4833220234171243e-09,3.911504720122139e-08,0.0,0.0,True
pilot,0,ill_conditioned,1,100000000.0,ill_conditioned_boundary,3.6502071748853626e-09,2.6670054165123247e-08,0.0,0.0,True
pilot,0,ill_conditioned,2,100000000.0,ill_conditioned_boundary,3.8312710090854186e-09,2.6844028777617268e-08,0.0,0.0,True
pilot,0,ill_conditioned,3,100000000.0,ill_conditioned_boundary,3.845679777800679e-09,3.724309349806276e-08,0.0,0.0,True
pilot,0,ill_conditioned,4,100000000.0,ill_conditioned_boundary,3.1363165821238324e-09,2.0497308295119865e-08,0.0,0.0,True
pilot,0,ill_conditioned,5,100000000.0,ill_conditioned_boundary,2.07235379438814e-09,2.5701192285509933e-08,0.0,0.0,True
pilot,0,ill_conditioned,6,100000000.0,ill_conditioned_boundary,2.7789530546188243e-09,4.000513165181019e-08,0.0,0.0,True
pilot,0,ill_conditioned,7,100000000.0,ill_conditioned_boundary,3.710907171744502e-09,3.345396759613095e-08,0.0,0.0,True
pilot,0,ill_conditioned,8,100000000.0,ill_conditioned_boundary,2.9347168284008855e-09,2.299255008608725e-08,0.0,0.0,True
pilot,0,ill_conditioned,9,100000000.0,ill_conditioned_boundary,2.46321103320921e-09,1.4473065412801134e-08,0.0,0.0,True
pilot,0,ill_conditioned,10,100000000.0,ill_conditioned_boundary,2.82445446086294e-09,2.118760988878421e-08,0.0,0.0,True
pilot,0,ill_conditioned,11,100000000.0,ill_conditioned_boundary,2.7817782887228715e-09,3.5845161505676515e-08,0.0,0.0,True
pilot,0,ill_conditioned,12,100000000.0,ill_conditioned_boundary,2.6343610300807695e-09,3.0270910222895964e-08,0.0,0.0,True
pilot,0,ill_conditioned,13,100000000.0,ill_conditioned_boundary,2.5329368560726348e-09,1.8002489721169468e-08,0.0,0.0,True
pilot,0,ill_conditioned,14,100000000.0,ill_conditioned_boundary,4.561812199941395e-09,8.056535782952068e-08,0.0,0.0,True
pilot,0,ill_conditioned,15,100000000.0,ill_conditioned_boundary,2.6952484382998194e-09,2.3135889648528973e-08,0.0,0.0,True
pilot,0,ill_conditioned,16,100000000.0,ill_conditioned_boundary,3.385083320587417e-09,1.965783291701939e-08,0.0,0.0,True
pilot,0,ill_conditioned,17,100000000.0,ill_conditioned_boundary,3.0625576676544793e-09,4.310823698006061e-08,0.0,0.0,True
pilot,0,ill_conditioned,18,100000000.0,ill_conditioned_boundary,2.983854194864418e-09,2.0951623547205145e-08,0.0,0.0,True
pilot,0,ill_conditioned,19,100000000.0,ill_conditioned_boundary,2.4305936525898445e-09,2.108222396657311e-08,0.0,0.0,True
pilot,1,orthogonal,0,1.0,primary_well_conditioned,1.8586966780388092e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,1,1.0,primary_well_conditioned,1.9184601070353025e-16,4.440892098500626e-15,0.0,0.0,True
