summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage,selector_choice_counts,selector_behavior_reference,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,mean_selected_alpha,fraction_alpha_zero,fraction_alpha_one_or_more,mean_finite_selected_tau,fraction_tau_infinite,soup_mean_ingredient_count,selected_type_examples,target,predictor,pearson,spearman,claim,claim_decision,claim_reason
method_summary,overall,all,all,weight_average,,120.0,20.0,0.6662675,0.01096535690473955,1.504173327527841,0.19255999999999998,-0.14562666666666668,-0.19097749999999997,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,c2m3_greedy_soup,,20.0,20.0,0.827975,0.0027459431799235056,0.8524695270872116,0.0018699999999999938,0.07959499999999997,0.0,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,c2m3_permutation,,20.0,20.0,0.7483799999999999,0.007810672860024018,1.1282606841659546,0.08146499999999998,0.0,-0.07959499999999997,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,ensemble_upper_bound,,20.0,20.0,0.843485,0.0012803016708655256,0.8220342573976517,-0.013640000000000008,0.09510499999999997,0.015510000000000001,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,git_rebasin_pairwise,,20.0,20.0,0.7511950000000001,0.00846012776748113,1.1250094226169585,0.07864999999999997,0.0028150000000000007,-0.07677999999999996,pairwise_reference_permutation_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,global_monomial_greedy_soup,,20.0,20.0,0.82783,0.0028290420547189494,0.8579149324417115,0.0020149999999999947,0.07944999999999998,-0.00014500000000000068,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,global_monomial_scale,,20.0,20.0,0.77752,0.003539771030358945,1.0993686884593963,0.052324999999999976,0.029139999999999982,-0.050454999999999986,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,greedy_soup,,20.0,20.0,0.827975,0.0027459431799235056,0.8524695269680024,0.0018699999999999938,0.07959499999999997,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,improved_validated_selector,,20.0,20.0,0.8272550000000001,0.0025600110505518076,0.8902545862483979,0.0025899999999999925,0.07887499999999999,-0.0007199999999999984,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,monomial_scale,,20.0,20.0,0.7676200000000001,0.006474486770962499,1.104922096118927,0.06222499999999999,0.01923999999999998,-0.060355000000000006,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
