collection,layer,gauge_family,source,target,heldout_pairwise_fit,condition_number,inverse_consistency,cycle_residual,centrality,residual_rank,subspace_width
0,block2,channel_permutation,0,1,0.8718477302900934,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,channel_permutation,0,2,0.4056911679746846,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,channel_permutation,0,3,0.7938052697616703,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,channel_permutation,1,2,1.3700659984148456,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,channel_permutation,1,3,0.6510605641778227,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,channel_permutation,2,3,0.8219641021575403,1.0,0.0,0.4082482904638631,0.0,1,24
0,block2,positive_monomial,0,1,0.7893864347433387,10271.334083991647,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,positive_monomial,0,2,0.3793653266405574,1.7491519101375412,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,positive_monomial,0,3,0.6521185480611031,13162.537897497596,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,positive_monomial,1,2,0.6677532697918432,8629.14517477126,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,positive_monomial,1,3,0.5417132132628515,1.8354000602226317,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,positive_monomial,2,3,0.6481400225479191,13043.511323915021,0.38989481688573124,0.4569331794469115,0.11724775418491865,24,24
0,block2,orthogonal_procrustes,0,1,0.6243912031002788,1.0000000000000013,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,orthogonal_procrustes,0,2,0.2881738577011211,1.0000000000000016,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,orthogonal_procrustes,0,3,0.4677759747284595,1.0000000000000013,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,orthogonal_procrustes,1,2,0.7952936104792222,1.0000000000000009,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,orthogonal_procrustes,1,3,0.5606230665340542,1.000000000000001,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,orthogonal_procrustes,2,3,0.4391188379542652,1.0000000000000013,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,6,24
0,block2,block_orthogonal,0,1,0.7247338591724791,1.0000000000000009,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,block_orthogonal,0,2,0.3755851366521358,1.0000000000000018,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,block_orthogonal,0,3,0.558996220720089,1.000000000000001,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,block_orthogonal,1,2,0.9022173937448634,1.0000000000000018,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,block_orthogonal,1,3,0.6054118777455313,1.0000000000000022,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,block_orthogonal,2,3,0.5121220316952232,1.000000000000001,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,10,24
0,block2,cca_whitened,0,1,0.46558230467340944,10.47504410794372,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,cca_whitened,0,2,0.20887031771750156,3.2303046351277462,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,cca_whitened,0,3,0.40383059728511905,7.170764967185434,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,cca_whitened,1,2,0.36218302355203036,12.723324459303797,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,cca_whitened,1,3,0.4213162286778238,5.227836466023155,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,cca_whitened,2,3,0.3931851251630352,8.91592673405167,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,3,24
0,block2,low_rank_subspace,0,1,0.6297628230772011,7.27895599601952e+17,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block2,low_rank_subspace,0,2,0.717600223245743,4.3619732848359386e+17,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block2,low_rank_subspace,0,3,0.6685983660223531,7.826716288271885e+17,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block2,low_rank_subspace,1,2,0.7292453888162459,2.689305269882051e+17,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block2,low_rank_subspace,1,3,0.7235217073772163,7.451756833378063e+18,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block2,low_rank_subspace,2,3,0.6564469580543365,9.058622402674505e+17,1.0885607058823386,1.128410946900345,0.4324333789844505,24,24
0,block3,channel_permutation,0,1,0.9517018312250012,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,channel_permutation,0,2,0.4565574434367365,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,channel_permutation,0,3,0.7923099580249848,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,channel_permutation,1,2,1.3000466302173297,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,channel_permutation,1,3,1.3873678152545905,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,channel_permutation,2,3,1.024595479753784,1.0,0.0,0.8164965809277261,0.7637626158259734,3,24
0,block3,positive_monomial,0,1,0.8654383526239708,10848.861412631635,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,positive_monomial,0,2,0.43175450171282176,2.072109452401206,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,positive_monomial,0,3,0.7575828490372425,1.856765740240577,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,positive_monomial,1,2,0.7902991743410683,7962.236455681026,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,positive_monomial,1,3,0.8737057209000796,8911.044820465384,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,positive_monomial,2,3,0.8220761866448992,11760.002638250111,0.7435418401399744,0.8638460165111498,0.07914794679997193,24,24
0,block3,orthogonal_procrustes,0,1,0.7065664471405855,1.0000000000000022,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,orthogonal_procrustes,0,2,0.3622549247172047,1.0000000000000013,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,orthogonal_procrustes,0,3,0.5707226868551392,1.000000000000001,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,orthogonal_procrustes,1,2,0.9654206748921154,1.000000000000002,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,orthogonal_procrustes,1,3,0.785036336288154,1.0000000000000013,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,orthogonal_procrustes,2,3,0.5858901105897796,1.0000000000000013,3.93599716271924e-15,0.43802565378989594,0.589406335942918,18,24
0,block3,block_orthogonal,0,1,0.7923182493260169,1.0000000000000016,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,block_orthogonal,0,2,0.43667855944061723,1.0000000000000016,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,block_orthogonal,0,3,0.6571279498595386,1.0000000000000018,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,block_orthogonal,1,2,1.090799967972468,1.0000000000000016,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,block_orthogonal,1,3,0.880691024599858,1.0000000000000018,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,block_orthogonal,2,3,0.6840452718429595,1.0000000000000016,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,18,24
0,block3,cca_whitened,0,1,0.6017560999967039,13.042585452438894,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,15,24
0,block3,cca_whitened,0,2,0.30911441591114913,2.4368978137097015,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,15,24
0,block3,cca_whitened,0,3,0.541839742584885,7.580506002532614,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,15,24
0,block3,cca_whitened,1,2,0.532638671016219,15.820114350680614,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,15,24
0,block3,cca_whitened,1,3,0.6179944145838763,6.93771399778187,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,15,24
