setting_id,group,seed,method,implementation,accuracy,loss,ece,action_accuracy,downstream_task_accuracy,multiplication_error,trainable_parameters,stored_parameters,training_words,generator_supervision,multiplication_supervision,optimization_epochs,training_time_seconds,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
S3_seed0,S3,0,lookup_table,executed_training_word_dictionary,0.14620535714285715,3.5028031053057895,0.769899421323935,0.14620535714285715,0.14620535714285715,0.8537946428571428,0,0,2048,2048,0,0,0.0,b53e3437bf21ac3eaad03bfb3537261ca8fa8c034049906cb90ebef203701605,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,exact_structured_retransport,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,64,0,0.0,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,symbolic_word_reduction_oracle,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,64,0,0.0,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,learned_cayley_table_model,LearnedCayleyTable,0.23772321428571427,2.0645014278902054,0.04938469415169085,0.23772321428571427,0.23772321428571427,0.7622767857142857,512,512,2048,2048,64,20,5.520840167067945,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,differentiable_finite_state_automaton,DifferentiableAutomaton,0.20982142857142858,2.079485291313603,0.041879591281242835,0.20982142857142858,0.20982142857142858,0.7901785714285714,512,512,2048,2048,64,20,5.585219542030245,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,group_equivariant_recurrent_network,ExactRegularRNN,0.875,0.7582493344879496,0.3943865632671508,0.875,0.875,0.125,64,64,2048,2048,64,20,1.9087017909623682,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,group_equivariant_transformer,EquivariantTransformer,0.15848214285714285,5.9182672168323505,0.6824849278646046,0.15848214285714285,0.15848214285714285,0.8415178571428572,5552,5552,2048,2048,0,20,17.708548958878964,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,transformer_multiplication_augmentation,SequenceTransformer,0.13839285714285715,7.180871459002554,0.7622299222656892,0.13839285714285715,0.13839285714285715,0.8616071428571428,9448,9448,2048,2048,64,20,5.585622957907617,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,ordinary_sequence_transformer,SequenceTransformer,0.15513392857142858,6.68863024870768,0.7319934310144811,0.15513392857142858,0.15513392857142858,0.8448660714285714,9448,9448,2048,2048,0,20,3.484706500079483,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,sequence_mlp,SequenceMLP,0.17522321428571427,7.671695730164187,0.7196258005919898,0.17522321428571427,0.17522321428571427,0.8247767857142857,6320,6320,2048,2048,0,20,1.6772816251032054,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
