collection,layer,gauge_family,null_family,draw,statistic
0,block2,channel_permutation,matched_fit_random_gauge,16,2.521896546230695
0,block2,channel_permutation,graph_topology_shuffle,16,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,16,0.06804138174397718
0,block2,channel_permutation,edge_shuffle,17,0.0
0,block2,channel_permutation,matched_norm_coboundary,17,1.0223505318215379e-15
0,block2,channel_permutation,matched_fit_random_gauge,17,2.2671031725422903
0,block2,channel_permutation,graph_topology_shuffle,17,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,17,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,18,0.0
0,block2,channel_permutation,matched_norm_coboundary,18,1.035347238025353e-15
0,block2,channel_permutation,matched_fit_random_gauge,18,2.294780716654376
0,block2,channel_permutation,graph_topology_shuffle,18,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,18,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,19,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,19,1.1461418680318908e-15
0,block2,channel_permutation,matched_fit_random_gauge,19,2.7954658945530038
0,block2,channel_permutation,graph_topology_shuffle,19,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,19,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,20,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,20,9.718698654963085e-16
0,block2,channel_permutation,matched_fit_random_gauge,20,2.317797172283853
0,block2,channel_permutation,graph_topology_shuffle,20,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,20,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,21,0.0
0,block2,channel_permutation,matched_norm_coboundary,21,9.514213584733263e-16
0,block2,channel_permutation,matched_fit_random_gauge,21,2.967405770305565
0,block2,channel_permutation,graph_topology_shuffle,21,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,21,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,22,0.0
0,block2,channel_permutation,matched_norm_coboundary,22,9.708825436274785e-16
0,block2,channel_permutation,matched_fit_random_gauge,22,2.285040886299606
0,block2,channel_permutation,graph_topology_shuffle,22,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,22,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,23,0.0
0,block2,channel_permutation,matched_norm_coboundary,23,1.041984025046371e-15
0,block2,channel_permutation,matched_fit_random_gauge,23,2.8445476416293305
0,block2,channel_permutation,graph_topology_shuffle,23,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,23,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,24,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,24,9.839586956859291e-16
0,block2,channel_permutation,matched_fit_random_gauge,24,2.0754426552102188
0,block2,channel_permutation,graph_topology_shuffle,24,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,24,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,25,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,25,9.48503019295918e-16
0,block2,channel_permutation,matched_fit_random_gauge,25,2.22757117005093
0,block2,channel_permutation,graph_topology_shuffle,25,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,25,0.34020690871988585
0,block2,channel_permutation,edge_shuffle,26,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,26,9.62063578276855e-16
0,block2,channel_permutation,matched_fit_random_gauge,26,2.3832663524804376
0,block2,channel_permutation,graph_topology_shuffle,26,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,26,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,27,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,27,9.96108463501717e-16
0,block2,channel_permutation,matched_fit_random_gauge,27,2.621672072684939
0,block2,channel_permutation,graph_topology_shuffle,27,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,27,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,28,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,28,9.098701723732453e-16
0,block2,channel_permutation,matched_fit_random_gauge,28,2.3637794429324592
0,block2,channel_permutation,graph_topology_shuffle,28,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,28,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,29,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,29,9.751381549213987e-16
0,block2,channel_permutation,matched_fit_random_gauge,29,2.627209207438937
0,block2,channel_permutation,graph_topology_shuffle,29,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,29,0.0
0,block2,channel_permutation,edge_shuffle,30,0.0
0,block2,channel_permutation,matched_norm_coboundary,30,9.126771377955562e-16
0,block2,channel_permutation,matched_fit_random_gauge,30,2.504259552208688
0,block2,channel_permutation,graph_topology_shuffle,30,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,30,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,31,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,31,9.895370834026092e-16
0,block2,channel_permutation,matched_fit_random_gauge,31,2.171916299491199
0,block2,channel_permutation,graph_topology_shuffle,31,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,31,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,32,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,32,9.291238761849295e-16
0,block2,channel_permutation,matched_fit_random_gauge,32,2.5587999088040663
0,block2,channel_permutation,graph_topology_shuffle,32,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,32,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,33,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,33,9.09758907622805e-16
0,block2,channel_permutation,matched_fit_random_gauge,33,2.49766359508969
0,block2,channel_permutation,graph_topology_shuffle,33,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,33,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,34,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,34,1.055129216145809e-15
0,block2,channel_permutation,matched_fit_random_gauge,34,2.5304771580695187
0,block2,channel_permutation,graph_topology_shuffle,34,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,34,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,35,0.0
0,block2,channel_permutation,matched_norm_coboundary,35,9.73502284182037e-16
0,block2,channel_permutation,matched_fit_random_gauge,35,2.3179153523228555
0,block2,channel_permutation,graph_topology_shuffle,35,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,35,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,36,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,36,9.829650596828146e-16
0,block2,channel_permutation,matched_fit_random_gauge,36,2.5716089851825843
0,block2,channel_permutation,graph_topology_shuffle,36,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,36,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,37,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,37,8.62071618405358e-16
0,block2,channel_permutation,matched_fit_random_gauge,37,2.307263112675811
0,block2,channel_permutation,graph_topology_shuffle,37,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,37,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,38,0.0
0,block2,channel_permutation,matched_norm_coboundary,38,1.001377415872542e-15
0,block2,channel_permutation,matched_fit_random_gauge,38,2.136744260033368
0,block2,channel_permutation,graph_topology_shuffle,38,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,38,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,39,0.0
0,block2,channel_permutation,matched_norm_coboundary,39,9.286132106611137e-16
0,block2,channel_permutation,matched_fit_random_gauge,39,2.54997501121285
0,block2,channel_permutation,graph_topology_shuffle,39,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,39,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,40,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,40,9.086971378342566e-16
0,block2,channel_permutation,matched_fit_random_gauge,40,2.3662024978069507
0,block2,channel_permutation,graph_topology_shuffle,40,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,40,0.34020690871988585
0,block2,channel_permutation,edge_shuffle,41,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,41,8.992699920752186e-16
0,block2,channel_permutation,matched_fit_random_gauge,41,2.4215311293558885
0,block2,channel_permutation,graph_topology_shuffle,41,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,41,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,42,0.0
0,block2,channel_permutation,matched_norm_coboundary,42,1.0390429826292248e-15
0,block2,channel_permutation,matched_fit_random_gauge,42,2.7053797451146706
0,block2,channel_permutation,graph_topology_shuffle,42,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,42,0.06804138174397718
0,block2,channel_permutation,edge_shuffle,43,0.0
0,block2,channel_permutation,matched_norm_coboundary,43,1.0051005567403684e-15
0,block2,channel_permutation,matched_fit_random_gauge,43,2.4484521108107455
0,block2,channel_permutation,graph_topology_shuffle,43,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,43,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,44,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,44,9.354715159501178e-16
0,block2,channel_permutation,matched_fit_random_gauge,44,2.640176213757873
0,block2,channel_permutation,graph_topology_shuffle,44,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,44,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,45,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,45,9.797082665201987e-16
0,block2,channel_permutation,matched_fit_random_gauge,45,2.254560093402424
0,block2,channel_permutation,graph_topology_shuffle,45,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,45,0.34020690871988585
0,block2,channel_permutation,edge_shuffle,46,0.0
0,block2,channel_permutation,matched_norm_coboundary,46,9.271157265326855e-16
0,block2,channel_permutation,matched_fit_random_gauge,46,2.4302571787344234
0,block2,channel_permutation,graph_topology_shuffle,46,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,46,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,47,0.0
0,block2,channel_permutation,matched_norm_coboundary,47,9.787439418282886e-16
0,block2,channel_permutation,matched_fit_random_gauge,47,2.3701709412279635
0,block2,channel_permutation,graph_topology_shuffle,47,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,47,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,48,0.0
0,block2,channel_permutation,matched_norm_coboundary,48,9.23934439891594e-16
0,block2,channel_permutation,matched_fit_random_gauge,48,2.5251760765324707
0,block2,channel_permutation,graph_topology_shuffle,48,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,48,0.34020690871988585
0,block2,channel_permutation,edge_shuffle,49,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,49,9.055745061607335e-16
0,block2,channel_permutation,matched_fit_random_gauge,49,2.671800635337924
0,block2,channel_permutation,graph_topology_shuffle,49,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,49,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,50,0.0
0,block2,channel_permutation,matched_norm_coboundary,50,1.0383662155230136e-15
0,block2,channel_permutation,matched_fit_random_gauge,50,2.315395348761917
0,block2,channel_permutation,graph_topology_shuffle,50,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,50,0.06804138174397718
0,block2,channel_permutation,edge_shuffle,51,0.0
0,block2,channel_permutation,matched_norm_coboundary,51,9.476937434314619e-16
0,block2,channel_permutation,matched_fit_random_gauge,51,2.2701057219743173
0,block2,channel_permutation,graph_topology_shuffle,51,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,51,0.0
0,block2,channel_permutation,edge_shuffle,52,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,52,1.0500024723171805e-15
0,block2,channel_permutation,matched_fit_random_gauge,52,2.3077251235081713
0,block2,channel_permutation,graph_topology_shuffle,52,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,52,0.4082482904638631
0,block2,channel_permutation,edge_shuffle,53,0.0
0,block2,channel_permutation,matched_norm_coboundary,53,1.0089963632058484e-15
0,block2,channel_permutation,matched_fit_random_gauge,53,2.33963969286028
0,block2,channel_permutation,graph_topology_shuffle,53,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,53,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,54,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,54,8.397773576261464e-16
0,block2,channel_permutation,matched_fit_random_gauge,54,2.138761498575792
0,block2,channel_permutation,graph_topology_shuffle,54,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,54,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,55,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,55,1.0472274993945778e-15
0,block2,channel_permutation,matched_fit_random_gauge,55,2.0394214851628183
0,block2,channel_permutation,graph_topology_shuffle,55,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,55,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,56,0.0
0,block2,channel_permutation,matched_norm_coboundary,56,8.916072194254983e-16
0,block2,channel_permutation,matched_fit_random_gauge,56,2.0858165168007448
0,block2,channel_permutation,graph_topology_shuffle,56,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,56,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,57,0.0
0,block2,channel_permutation,matched_norm_coboundary,57,9.96792560663351e-16
0,block2,channel_permutation,matched_fit_random_gauge,57,2.388428697348414
0,block2,channel_permutation,graph_topology_shuffle,57,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,57,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,58,0.4082482904638631
0,block2,channel_permutation,matched_norm_coboundary,58,9.268094461651257e-16
0,block2,channel_permutation,matched_fit_random_gauge,58,2.5421349451990194
0,block2,channel_permutation,graph_topology_shuffle,58,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,58,0.20412414523193154
0,block2,channel_permutation,edge_shuffle,59,0.0
0,block2,channel_permutation,matched_norm_coboundary,59,9.576101586129364e-16
0,block2,channel_permutation,matched_fit_random_gauge,59,2.2263749439059697
0,block2,channel_permutation,graph_topology_shuffle,59,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,59,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,60,0.0
0,block2,channel_permutation,matched_norm_coboundary,60,1.1312192854200846e-15
0,block2,channel_permutation,matched_fit_random_gauge,60,2.2117965606508676
0,block2,channel_permutation,graph_topology_shuffle,60,0.0
0,block2,channel_permutation,calibration_label_independent_bootstrap,60,0.13608276348795437
0,block2,channel_permutation,edge_shuffle,61,0.0
0,block2,channel_permutation,matched_norm_coboundary,61,8.95585729411809e-16
0,block2,channel_permutation,matched_fit_random_gauge,61,2.6245333315928083
0,block2,channel_permutation,graph_topology_shuffle,61,0.4082482904638631
0,block2,channel_permutation,calibration_label_independent_bootstrap,61,0.27216552697590873
0,block2,channel_permutation,edge_shuffle,62,0.0
0,block2,channel_permutation,matched_norm_coboundary,62,9.15246702243651e-16
