collection,layer,gauge_family,inverse_consistency,cycle_residual,centrality,hodge_exact,hodge_coexact,hodge_harmonic,distance_to_coboundaries,residual_rank
0,block2,channel_permutation,0.0,0.4082482904638631,0.0,0.912870929175277,0.4082482904638631,7.891244190146483e-17,0.024056261216234408,1
0,block2,positive_monomial,0.38989481688573124,0.4569331794469115,0.11724775418491865,0.8467480162693171,0.531994170028184,1.4562883168622317e-16,0.03491567370829775,24
0,block2,orthogonal_procrustes,3.915517277775525e-15,0.4138534628825227,0.5782462534851401,0.7760010729151051,0.6307315869960893,1.6297590996912047e-16,0.059241340000335124,6
0,block2,block_orthogonal,2.5079046318347034e-15,0.42989981701447855,0.5690897870431876,0.7139462568612363,0.7002005015092675,1.7006806906317144e-16,0.056434089406264064,10
0,block2,cca_whitened,7.769029548567926e-15,1.5113645412872267,1.7797131027159094,0.8136603558651492,0.5813405415876297,1.6511387301488313e-16,0.09043919045575893,3
0,block2,low_rank_subspace,1.0885607058823386,1.128410946900345,0.4324333789844505,0.8708520206836058,0.49154527570843437,1.5331283128431745e-16,0.09861747362079895,24
0,block3,channel_permutation,0.0,0.8164965809277261,0.7637626158259734,0.6708203932499369,0.7416198487095663,1.5735640857092082e-16,0.06909634979907084,3
0,block3,positive_monomial,0.7435418401399744,0.8638460165111498,0.07914794679997193,0.7720096831173069,0.6356107686100949,1.4744341692465193e-16,0.06252962946667166,24
0,block3,orthogonal_procrustes,3.93599716271924e-15,0.43802565378989594,0.589406335942918,0.8333957079052302,0.552676753668128,1.623544437235229e-16,0.06491680896451968,18
0,block3,block_orthogonal,2.881447872952015e-15,0.6270661993286267,0.6407379351573945,0.754924749220586,0.6558114233636338,1.6423551000712667e-16,0.06553285547378303,18
0,block3,cca_whitened,1.1977715235659808e-14,1.3538884703571226,1.8431731972490093,0.8378331558520329,0.5459263713679922,1.6285139516160276e-16,0.1022429562333895,15
0,block3,low_rank_subspace,1.0696921981435241,1.0486210313837154,0.3496342540010942,0.8746346731241909,0.48478261991220406,1.5133416028399318e-16,0.10005389412502627,24
0,block4,channel_permutation,0.0,1.118033988749895,0.6454972243679029,0.7515416254704824,0.6596856715021066,1.4722342402776136e-16,0.08246070893776332,3
0,block4,positive_monomial,0.8887066673104893,0.9419104211466587,0.005740329527147701,0.8705655823009517,0.4920524026087109,1.318970401058969e-16,0.06759105561786756,24
0,block4,orthogonal_procrustes,4.12915179402025e-15,0.5158446945446079,0.5075918543391201,0.8803105210566822,0.4743979200174821,1.6014115498677005e-16,0.060203975699759146,20
0,block4,block_orthogonal,1.7284860307999948e-15,0.955225065027461,0.6909528872473899,0.7934104591543159,0.6086869830253787,1.5605772810089725e-16,0.07139034083384552,13
0,block4,cca_whitened,8.696858330442339e-15,0.8142928963336292,1.1760941104408578,0.9018329185043971,0.43208493042669543,1.6510435724516055e-16,0.09870758569521253,16
0,block4,low_rank_subspace,0.9925773446492484,0.999570962734098,0.23778773270449513,0.8906090127612057,0.45476981692776247,1.6153503574714418e-16,0.09317041981768942,24
0,penultimate,channel_permutation,0.0,1.118033988749895,0.6454972243679029,0.7515416254704824,0.6596856715021066,1.4722342402776136e-16,0.08246070893776332,3
0,penultimate,positive_monomial,0.8887066673104893,0.9419104211466587,0.005740329527147701,0.8705655823009517,0.4920524026087109,1.318970401058969e-16,0.06759105561786756,24
0,penultimate,orthogonal_procrustes,4.12915179402025e-15,0.5158446945446079,0.5075918543391201,0.8803105210566822,0.4743979200174821,1.6014115498677005e-16,0.060203975699759146,20
0,penultimate,block_orthogonal,1.7284860307999948e-15,0.955225065027461,0.6909528872473899,0.7934104591543159,0.6086869830253787,1.5605772810089725e-16,0.07139034083384552,13
0,penultimate,cca_whitened,8.696858330442339e-15,0.8142928963336292,1.1760941104408578,0.9018329185043971,0.43208493042669543,1.6510435724516055e-16,0.09870758569521253,16
0,penultimate,low_rank_subspace,0.9925773446492484,0.999570962734098,0.23778773270449513,0.8906090127612057,0.45476981692776247,1.6153503574714418e-16,0.09317041981768942,24
1,block2,channel_permutation,0.0,0.5,0.5,0.8838834764831844,0.46770717334674267,1.3092278833360675e-16,0.031823442326082224,1
1,block2,positive_monomial,0.41963093431862736,0.49853512237600894,0.027972921614108064,0.7895601458856322,0.613673183403886,1.6073546554626175e-16,0.03988253309425821,24
1,block2,orthogonal_procrustes,3.652407126432511e-15,0.41510105862953844,0.5801491956193199,0.7557474297972954,0.6548632088877664,1.8047775364937328e-16,0.060139921102207096,6
1,block2,block_orthogonal,2.2256159014131173e-15,0.41660938300855144,0.5652385907176583,0.7127629843183758,0.7014049673231315,1.594121427879236e-16,0.05701122435352404,10
1,block2,cca_whitened,7.572202927211114e-15,0.6248519628732927,1.833718832761176,0.7693345468718622,0.6388461121345784,1.6255702025486076e-16,0.09876886402473048,2
1,block2,low_rank_subspace,1.0444249760005384,1.0698767611065993,0.3809932880655201,0.8591719599248827,0.5116869582848833,1.5604623303823531e-16,0.10249923389672864,24
1,block3,channel_permutation,0.0,0.5,0.5773502691896258,0.7453559924999299,0.6666666666666666,1.4366936586725836e-16,0.06804138174397717,2
1,block3,positive_monomial,0.7746917044784691,0.8533464795558001,0.04256022531154052,0.8147329507719664,0.5798363725452249,1.608811919533144e-16,0.060692879351511596,24
1,block3,orthogonal_procrustes,3.275711162120665e-15,0.35199792586709056,0.4230074336409562,0.8385110757494024,0.5448845527683639,1.5565425780305097e-16,0.06783278266270136,18
1,block3,block_orthogonal,2.1149081842787948e-15,0.6468778557774195,0.681855181900347,0.713731958365589,0.700418940069171,1.5324771491651105e-16,0.07423124882519748,20
1,block3,cca_whitened,7.955179841727856e-15,0.9680379480511969,1.475722621984893,0.848339167956447,0.5294531670610383,1.6868069822737184e-16,0.11523348738545118,13
1,block3,low_rank_subspace,1.0777318322859852,1.0677869567988942,0.44179466742728063,0.8769263733359867,0.4806247348480865,1.5352478787845787e-16,0.1033916101863345,24
1,block4,channel_permutation,0.0,1.2583057392117916,1.1547005383792517,0.6957316675209555,0.7183017797614806,1.442719149068276e-16,0.11846334798077764,15
1,block4,positive_monomial,0.922509281825509,0.9817902408949151,0.017080079064684492,0.8254758840894075,0.5644373878357202,1.3304588170572947e-16,0.08688249947815246,24
1,block4,orthogonal_procrustes,7.300769722811972e-15,0.6609846149949276,0.7514899736787027,0.8253351074907815,0.5646432150864651,1.6327202978710204e-16,0.08475863521796206,17
1,block4,block_orthogonal,3.0026286005486428e-15,1.1633118021490447,1.1322137994135226,0.7104187843065121,0.7037791918666377,1.6475649689003286e-16,0.11307079882163511,15
1,block4,cca_whitened,1.3292580067504019e-14,1.0560266032195162,1.8959745520525981,0.8333970519538545,0.5526747269367622,1.661413051602254e-16,0.14240551282219965,13
