collection,layer,gauge_family,calibration_resample,inverse_consistency,cycle_residual,centrality,residual_rank
0,block2,channel_permutation,0,0.0,0.4082482904638631,0.0,1
0,block2,channel_permutation,1,0.0,0.4082482904638631,0.0,1
0,block2,channel_permutation,2,0.0,0.4082482904638631,0.0,0
0,block2,channel_permutation,3,0.0,0.4082482904638631,0.0,1
0,block2,channel_permutation,4,0.0,0.4082482904638631,0.0,1
0,block2,positive_monomial,0,0.3875810228904119,0.45570547246406234,0.12062819476951239,24
0,block2,positive_monomial,1,0.38561072154115567,0.452205734324507,0.10822620749860207,24
0,block2,positive_monomial,2,0.397856926998637,0.46409574178605517,0.11286266737013217,24
0,block2,positive_monomial,3,0.39038135586763767,0.45651520993185224,0.061232485619531894,24
0,block2,positive_monomial,4,0.38787463986361076,0.4506227930873489,0.0732183813504873,24
0,block2,orthogonal_procrustes,0,3.983232691588836e-15,0.4141016497723304,0.5794772756569185,6
0,block2,orthogonal_procrustes,1,3.547178104910868e-15,0.41509611961513376,0.5794956556750678,8
0,block2,orthogonal_procrustes,2,3.555321507863569e-15,0.41524504717894206,0.5798480119399066,8
0,block2,orthogonal_procrustes,3,3.0865179523963925e-15,0.41427804909906757,0.5802922409665193,6
0,block2,orthogonal_procrustes,4,3.0440353033406584e-15,0.4147511060512519,0.5780028310897731,8
0,block2,block_orthogonal,0,1.6224664011126885e-15,0.4273997063411521,0.5722925300020153,10
0,block2,block_orthogonal,1,1.9233807260962587e-15,0.43197688546344676,0.5673894908068982,10
0,block2,block_orthogonal,2,2.8450829035075477e-15,0.43059162675735635,0.5634416740373593,10
0,block2,block_orthogonal,3,2.0167792583895848e-15,0.43521024131981284,0.5368793589355543,10
0,block2,block_orthogonal,4,1.966988560976721e-15,0.20641608080198343,0.283026305040818,10
0,block2,cca_whitened,0,7.790822999292434e-15,1.504817927192023,1.835611005365977,5
0,block2,cca_whitened,1,8.954720488654642e-15,1.4980651895607306,1.7865526630592015,4
0,block2,cca_whitened,2,6.7126458115991125e-15,1.4701982348082974,1.7937282539786321,5
0,block2,cca_whitened,3,1.1035177432223212e-14,1.4357234345290102,1.7815796301212954,4
0,block2,cca_whitened,4,7.495137382978746e-15,1.6065531047018982,1.8063368851727357,5
0,block2,low_rank_subspace,0,1.0804091006869072,1.1416545125620832,0.46779130635679705,24
0,block2,low_rank_subspace,1,1.0792473236020856,1.1198315108623647,0.41709289206408734,24
0,block2,low_rank_subspace,2,1.0694015261017116,1.1178392538805633,0.4434549433283405,24
0,block2,low_rank_subspace,3,1.085032245106776,1.1078827774905113,0.4390604542361976,24
