collection,method,batch_size,cold_start_ms,latency_median_ms,latency_q1_ms,latency_q3_ms,peak_process_memory_mb,peak_mps_memory_mb,warmups,timed_repetitions,stored_parameters,trainable_parameters
0,weight_average,32,275.3028329461813,13.445749995298684,11.756614141631871,15.115791582502425,1447.9375,1242.703125,5,20,11181642,11181642
0,greedy_soup,32,59.74274990148842,17.60454208124429,15.859207953326404,18.747312657069415,1447.9375,1242.703125,5,20,11181642,0
0,git_rebasin_internal_activation_alignment,32,922.1562910825014,33.55150006245822,29.917916748672724,43.26288518495858,1447.9375,1242.734375,5,20,44726568,0
0,c2m3_internal_activation_alignment,32,25.20854095928371,26.682812487706542,26.16100007435307,27.420968224760145,1447.9375,1242.734375,5,20,44726568,0
0,regmean_internal_matched_average,32,234.18837506324053,12.676583486609161,10.628437739796937,16.170843911822885,1447.9375,1242.734375,5,20,11181642,11181642
0,representation_alignment_merge,32,260.28004102408886,29.356353916227818,28.0180411064066,39.54316634917632,1447.9375,1242.734375,5,20,44726568,0
0,task_arithmetic,32,91.39683400280774,19.14495846722275,16.120082698762417,68.69410403305665,1447.9375,1242.734375,5,20,11181642,11181642
0,ties,32,567.0420839451253,13.613125076517463,10.987875051796436,15.235406171996146,1447.9375,1242.734375,5,20,11181642,11181642
0,dare,32,402.96804206445813,24.628833518363535,22.1070937695913,35.65030207391828,1447.9375,1240.734375,5,20,11181642,11181642
0,generic_low_rank_merge,32,542.5007499288768,63.53933352511376,56.5227807383053,98.86042674770579,1447.9375,1242.734375,5,20,44726568,0
0,generic_router,32,323.84662493132055,46.69097904115915,45.323062513489276,49.03755150735378,1447.9375,1242.734375,5,20,44726732,164
0,strict_synchronization,32,66.05074997060001,50.78762490302324,46.36171896709129,54.258052026852965,1447.9375,1242.734375,5,20,44726568,0
0,hodge_gated_ordinary_fallback,32,9.820374893024564,12.944854446686804,11.638739029876888,15.955312468577176,1447.9375,1242.734375,5,20,11181642,0
0,structured_retransport_certified_only,32,6.83908280916512,12.366666458547115,9.672864514868706,14.04539606301114,1447.9375,1242.734375,5,20,11181642,0
0,ensemble_reference,32,60.59795804321766,40.64314591232687,37.79413574375212,43.56092697707936,1447.9375,1242.734375,5,20,44726568,0
1,weight_average,32,46.90916696563363,7.210999494418502,6.61014550132677,8.388511021621525,1447.9375,1242.734375,5,20,11181642,11181642
1,greedy_soup,32,26.74699993804097,7.580374949611723,6.936051533557475,8.516843663528562,1447.9375,1242.734375,5,20,11181642,11181642
