collection,calibration_resample,inverse_consistency,cycle_residual,residual_rank
0,0,0.7882368536994213,1.2820187644293972,24
0,1,0.8875968347349731,1.2242886702184468,22
0,2,0.9951823543884636,1.1549196974281724,22
0,3,0.9319864739531013,1.2743143195211957,24
0,4,0.8215105681651526,1.2463279660519495,23
1,0,0.8867616586333107,1.147916627029659,23
1,1,0.7926947070984369,1.1726030631778555,23
1,2,0.9060695835056904,1.0581742084994845,24
1,3,0.9065602849604766,1.169123550782882,24
1,4,0.9702090042787351,1.1597674353572551,23
2,0,0.9654412816786407,1.1336127597528558,24
2,1,0.9550750017871441,1.1590196355048399,23
2,2,0.8649718186261651,1.1733788214487675,23
2,3,0.8224280328428323,1.1909962225093902,24
2,4,0.8489464663458457,1.152778563593258,24
3,0,0.948195560894918,1.1050919736436904,24
3,1,0.8990126775113031,1.0506698346042902,23
3,2,0.8925063710323213,1.1721511470254793,24
3,3,0.9209225746776442,1.2111188535009387,23
3,4,0.856764139273719,1.1958469582918532,24
4,0,0.8608162130565096,1.171849455150261,24
4,1,0.9346223731184694,1.154925370348115,24
4,2,0.9329460259040718,1.1951239919169383,24
4,3,0.83814150147596,1.1906450271973608,24
4,4,0.8492866941131952,1.144669317415072,23
