setting_id,collection,architecture,method,implementation,accuracy,loss,ece,training_examples_per_specialist,transition_samples,router_samples,selector_samples,calibration_samples,test_samples,trainable_parameters,stored_parameters,training_time_seconds,context_mode,certificate_activated,output_type,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command,seed
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,dare,ResNet,0.601,1.1137083766227884,0.04349077340581019,10000,512,512,512,512,2000,11181642,11181642,38.374809792032465,none,False,single_model,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,generic_low_rank_merge,AlignedFeatures,0.605,1.1099578324504504,0.047653490759106826,10000,512,512,512,512,2000,0,44726568,38.374809792032465,none,False,single_model,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,generic_router,Router,0.629,1.0484155768409804,0.034519546209310366,10000,512,512,512,512,2000,164,44726732,41.902034875005484,none,False,router,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,strict_synchronization,AlignedFeatures,0.605,1.1099578324504504,0.047653490759106826,10000,512,512,512,512,2000,0,44726568,38.374809792032465,none,False,single_model,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,hodge_gated_ordinary_fallback,ResNet,0.616,1.073833872057452,0.0241475246661282,10000,512,512,512,512,2000,11181642,11181642,38.374809792032465,none,False,single_model,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,structured_retransport_certified_only,ResNet,0.616,1.073833872057452,0.0241475246661282,10000,512,512,512,512,2000,11181642,11181642,38.374809792032465,none,False,single_model,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_1,1,torchvision_resnet18_imagenet_pretrained,ensemble_reference,Ensemble,0.596,1.1329891263557088,0.05124521501904548,10000,512,512,512,512,2000,0,44726568,38.374809792032465,none,False,ensemble,96c5917a38b59c37bdf15c44f4cbf18c91cc9bd6bfcee7eda7052b856e82f198,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,1
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,weight_average,ResNet,0.6225,1.1026960626204396,0.07574013495004368,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,greedy_soup,ResNet,0.627,1.0711381607162338,0.03859646477551754,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,git_rebasin_internal_activation_alignment,AlignedFeatures,0.6225,1.0772790254966866,0.07247903923792941,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
