group,method,target_storage_reduction,runs,accuracy,retained_teacher_gain_fraction,measured_storage_reduction,latency_ms_batch128
D4,chart_token_student,0.25,25,0.98015625,-2.883809523809524,-0.8410634023035449,0.41713166050612926
D4,chart_token_student,0.5,25,0.954609375,-7.859047619047619,-0.6545763801491732,0.4710432980209589
D4,chart_token_student,0.75,25,0.790546875,-50.31142857142857,-0.459276112456412,0.396709181368351
D4,finite_state_chart_module,0.25,25,0.9990625,0.9742857142857143,-0.7160239072880711,0.5281150201335549
D4,finite_state_chart_module,0.5,25,0.991484375,0.2542857142857143,-0.5666376266817212,0.527304969727993
D4,finite_state_chart_module,0.75,25,0.995234375,0.27142857142857146,-0.41028952568150645,0.5039124796167016
D4,low_rank_group_generators,0.25,25,0.9575,-8.753333333333334,-0.7158643132777229,0.672591645270586
D4,low_rank_group_generators,0.5,25,0.903203125,-19.86952380952381,-0.566394065384572,0.6189782870933414
D4,low_rank_group_generators,0.75,25,0.749140625,-61.07047619047619,-0.40991423851798553,0.609664199873805
D4,ordinary_single_model_control,0.25,25,0.9559375,-9.814285714285715,-0.7155610156948035,0.41754253674298525
D4,ordinary_single_model_control,0.5,25,0.904765625,-20.57142857142857,-0.56636432572672,0.403016647323966
D4,ordinary_single_model_control,0.75,25,0.743203125,-57.58,-0.41015924738382137,0.40035327430814505
D4,pruned_structured_student,0.25,25,0.99921875,1.0142857142857142,-3.2184657014518234,0.520720835775137
D4,pruned_structured_student,0.5,25,0.998671875,0.8876190476190476,-3.011225473636184,0.5072992062196136
D4,pruned_structured_student,0.75,25,0.98078125,-3.4933333333333327,-2.6434529182390336,0.5069399764761329
D4,quantized_structured_student,0.25,25,0.998828125,0.9,-1.213566369287422,0.5049608927220106
D4,quantized_structured_student,0.5,25,0.998203125,0.7828571428571428,-1.1737076750694775,0.49109098967164755
D4,quantized_structured_student,0.75,25,0.98484375,-2.58,-1.1333301391787929,0.5040948046371341
D4,shared_canonical_backbone_group_head,0.25,25,0.9990625,0.96,-0.7161677632679678,0.5190624576061964
D4,shared_canonical_backbone_group_head,0.5,25,0.998671875,0.9028571428571429,-0.566898344372201,0.5511125223711133
D4,shared_canonical_backbone_group_head,0.75,25,0.998125,0.7838095238095238,-0.4098427814976359,0.507358256727457
D4,tensor_factorized_equivariant_head,0.25,25,0.998515625,0.82,-0.7161808641677001,0.49889586865901947
D4,tensor_factorized_equivariant_head,0.5,25,0.998828125,0.9266666666666665,-0.5670135240652912,0.5578507948666811
D4,tensor_factorized_equivariant_head,0.75,25,0.99625,0.5276190476190475,-0.4098274290653706,0.4925908287987113
FashionMNIST,chart_token_student,0.25,25,0.229921875,-0.03558414634270569,0.9338681222668884,2.8142883675172925
FashionMNIST,chart_token_student,0.5,25,0.196640625,-0.05751909897791637,0.963667388877367,1.9619166105985641
FashionMNIST,chart_token_student,0.75,25,0.159375,-0.01738436117550931,0.9829938354683411,1.3907924760133028
FashionMNIST,finite_state_chart_module,0.25,25,0.24453125,-0.0017160033308949447,0.9338173763011928,3.0441133165732026
FashionMNIST,finite_state_chart_module,0.5,25,0.234453125,0.025505960651403807,0.9636569749226677,2.024690848775208
FashionMNIST,finite_state_chart_module,0.75,25,0.1784375,0.02092983999594037,0.9829933059452207,1.4880683552473783
FashionMNIST,low_rank_group_generators,0.25,25,0.24234375,-0.006386183140455055,0.933809609962095,2.9007525369524956
FashionMNIST,low_rank_group_generators,0.5,25,0.226796875,0.006737562994273849,0.9636558276225735,2.132839928381145
FashionMNIST,low_rank_group_generators,0.75,25,0.181796875,0.030182149730414484,0.9829937472144877,1.399750872515142
FashionMNIST,ordinary_single_model_control,0.25,25,0.24421875,0.0,0.9338078448850272,2.916447459720075
FashionMNIST,ordinary_single_model_control,0.5,25,0.221484375,0.0,0.9636605933306563,1.963481674902141
FashionMNIST,ordinary_single_model_control,0.75,25,0.163359375,0.0,0.9829941884837546,1.3575841346755624
FashionMNIST,pruned_structured_student,0.25,25,0.233984375,-0.025361943173891024,0.9174506109373002,2.8670275770127773
FashionMNIST,pruned_structured_student,0.5,25,0.198359375,-0.05405426059162786,0.9576723046170003,1.9763775076717138
FashionMNIST,pruned_structured_student,0.75,25,0.112890625,-0.10842774322892713,0.9748404149696185,1.361547471024096
FashionMNIST,quantized_structured_student,0.25,25,0.24796875,0.0076253366803967345,0.9715764344560693,2.8507083654403687
FashionMNIST,quantized_structured_student,0.5,25,0.22375,0.0003284936480974843,0.9788591424373067,2.0120916282758117
FashionMNIST,quantized_structured_student,0.75,25,0.158671875,-0.015116104785633664,0.9837810598405252,1.3756483374163508
FashionMNIST,shared_canonical_backbone_group_head,0.25,25,0.2440625,-0.0030930123177457776,0.933827348986625,2.9461699398234487
FashionMNIST,shared_canonical_backbone_group_head,0.5,25,0.21796875,-0.01027567762869392,0.9636627996769909,1.9980123173445463
FashionMNIST,shared_canonical_backbone_group_head,0.75,25,0.16125,-0.010573791684031495,0.9829916291220065,1.3673600601032376
FashionMNIST,tensor_factorized_equivariant_head,0.25,25,0.24078125,-0.010776054591232204,0.933827790255892,2.931116675026715
FashionMNIST,tensor_factorized_equivariant_head,0.5,25,0.2275,0.010570152394571066,0.9636560041302805,1.9740749849006534
FashionMNIST,tensor_factorized_equivariant_head,0.75,25,0.16578125,-0.004691808960699594,0.982995865306969,1.3910641614347696
S3,chart_token_student,0.25,25,0.98640625,nan,-0.8870333877847517,0.3894715663045645
S3,chart_token_student,0.5,25,0.94890625,nan,-0.6997922877390252,0.3778925398364663
S3,chart_token_student,0.75,25,0.8253125,nan,-0.5074884086770302,0.3751641046255827
S3,finite_state_chart_module,0.25,25,1.0,nan,-0.7431157931607616,0.45679081697016954
S3,finite_state_chart_module,0.5,25,1.0,nan,-0.6019268692111842,0.4805250884965062
S3,finite_state_chart_module,0.75,25,0.999375,nan,-0.4532307394763642,0.4810591647401452
S3,low_rank_group_generators,0.25,25,0.97390625,nan,-0.7423696934114646,0.5488992389291525
S3,low_rank_group_generators,0.5,25,0.932578125,nan,-0.6017676853437994,0.6046824995428324
S3,low_rank_group_generators,0.75,25,0.804765625,nan,-0.4535961123424037,0.5560900270938873
S3,ordinary_single_model_control,0.25,25,0.969296875,nan,-0.7424813728089235,0.373016600497067
S3,ordinary_single_model_control,0.5,25,0.9303125,nan,-0.6020217422562246,0.3924925159662962
S3,ordinary_single_model_control,0.75,25,0.78375,nan,-0.4534853333277664,0.36336338613182306
S3,pruned_structured_student,0.25,25,1.0,nan,-3.430042702203721,0.5039291642606258
