collection,source_view,target_view,heldout_transition_fit,inverse_consistency,cycle_residual,residual_rank
0,0,1,0.5407785773277283,0.8424470190587796,1.1955011997414071,22
0,0,2,0.7196594476699829,0.8424470190587796,1.1955011997414071,22
0,0,3,0.5562170743942261,0.8424470190587796,1.1955011997414071,22
0,1,2,0.6034101843833923,0.8424470190587796,1.1955011997414071,22
0,1,3,0.21123704314231873,0.8424470190587796,1.1955011997414071,22
0,2,3,0.3595890998840332,0.8424470190587796,1.1955011997414071,22
1,0,1,0.47236600518226624,0.8078901688745662,1.129140836463335,23
1,0,2,0.5334550738334656,0.8078901688745662,1.129140836463335,23
1,0,3,0.4736729562282562,0.8078901688745662,1.129140836463335,23
1,1,2,0.3702388405799866,0.8078901688745662,1.129140836463335,23
1,1,3,0.18773208558559418,0.8078901688745662,1.129140836463335,23
1,2,3,0.26510852575302124,0.8078901688745662,1.129140836463335,23
2,0,1,0.36877843737602234,0.858623101676908,1.1668487499156284,24
2,0,2,0.2979550361633301,0.858623101676908,1.1668487499156284,24
2,0,3,0.5372830629348755,0.858623101676908,1.1668487499156284,24
2,1,2,0.3745562732219696,0.858623101676908,1.1668487499156284,24
2,1,3,0.6921795010566711,0.858623101676908,1.1668487499156284,24
2,2,3,0.44297298789024353,0.858623101676908,1.1668487499156284,24
3,0,1,0.37261784076690674,1.0451100290161042,1.2060036606054394,24
3,0,2,0.4243572950363159,1.0451100290161042,1.2060036606054394,24
3,0,3,0.32115644216537476,1.0451100290161042,1.2060036606054394,24
3,1,2,0.42921149730682373,1.0451100290161042,1.2060036606054394,24
3,1,3,0.144428551197052,1.0451100290161042,1.2060036606054394,24
3,2,3,0.30381038784980774,1.0451100290161042,1.2060036606054394,24
4,0,1,0.49215614795684814,0.8211271887319946,1.2421922240410224,24
4,0,2,0.5292140245437622,0.8211271887319946,1.2421922240410224,24
4,0,3,0.49514880776405334,0.8211271887319946,1.2421922240410224,24
4,1,2,0.39787212014198303,0.8211271887319946,1.2421922240410224,24
4,1,3,0.24040436744689941,0.8211271887319946,1.2421922240410224,24
4,2,3,0.2856435477733612,0.8211271887319946,1.2421922240410224,24
