group,method,runs,action_accuracy,downstream_task_accuracy,multiplication_error,mean_trainable_parameters
A4,differentiable_finite_state_automaton,5,0.196875,0.196875,0.803125,1728.0
A4,exact_structured_retransport,5,1.0,1.0,0.0,0.0
A4,generic_matrix_action_model,5,0.4058035714285714,0.4058035714285714,0.5941964285714285,3292.0
A4,generic_moe,5,0.15513392857142855,0.15513392857142855,0.8448660714285715,9146.0
A4,group_equivariant_recurrent_network,5,0.9100446428571429,0.9100446428571429,0.08995535714285714,144.0
A4,group_equivariant_transformer,5,0.12299107142857144,0.12299107142857144,0.8770089285714284,5748.0
A4,learned_cayley_table_model,5,0.19419642857142855,0.19419642857142855,0.8058035714285715,1728.0
A4,lookup_table,5,0.08950892857142857,0.08950892857142857,0.9104910714285713,0.0
A4,ordinary_sequence_transformer,5,0.13080357142857144,0.13080357142857144,0.8691964285714284,9708.0
A4,sequence_mlp,5,0.15535714285714286,0.15535714285714286,0.8446428571428571,6564.0
A4,symbolic_word_reduction_oracle,5,1.0,1.0,0.0,0.0
A4,transformer_multiplication_augmentation,5,0.11316964285714286,0.11316964285714286,0.8868303571428571,9708.0
D4,differentiable_finite_state_automaton,5,0.2837053571428571,0.2837053571428571,0.7162946428571428,512.0
D4,exact_structured_retransport,5,1.0,1.0,0.0,0.0
D4,generic_matrix_action_model,5,0.5024553571428572,0.5024553571428572,0.4975446428571429,2200.0
D4,generic_moe,5,0.16428571428571428,0.16428571428571428,0.8357142857142857,8754.0
D4,group_equivariant_recurrent_network,5,0.8678571428571427,0.8678571428571427,0.13214285714285717,64.0
D4,group_equivariant_transformer,5,0.14352678571428573,0.14352678571428573,0.8564732142857142,5552.0
D4,learned_cayley_table_model,5,0.2448660714285714,0.2448660714285714,0.7551339285714285,512.0
D4,lookup_table,5,0.10535714285714286,0.10535714285714286,0.8946428571428571,0.0
D4,ordinary_sequence_transformer,5,0.140625,0.140625,0.859375,9448.0
D4,sequence_mlp,5,0.16584821428571428,0.16584821428571428,0.8341517857142857,6320.0
D4,symbolic_word_reduction_oracle,5,1.0,1.0,0.0,0.0
D4,transformer_multiplication_augmentation,5,0.1352678571428571,0.1352678571428571,0.8647321428571428,9448.0
Q8,differentiable_finite_state_automaton,5,0.3310267857142857,0.3310267857142857,0.6689732142857143,512.0
Q8,exact_structured_retransport,5,1.0,1.0,0.0,0.0
Q8,generic_matrix_action_model,5,0.41763392857142856,0.41763392857142856,0.5823660714285714,2200.0
Q8,generic_moe,5,0.14955357142857145,0.14955357142857145,0.8504464285714285,8754.0
Q8,group_equivariant_recurrent_network,5,0.8600446428571427,0.8600446428571427,0.13995535714285717,64.0
Q8,group_equivariant_transformer,5,0.12232142857142855,0.12232142857142855,0.8776785714285715,5552.0
Q8,learned_cayley_table_model,5,0.3073660714285714,0.3073660714285714,0.6926339285714285,512.0
Q8,lookup_table,5,0.1125,0.1125,0.8875,0.0
Q8,ordinary_sequence_transformer,5,0.11897321428571428,0.11897321428571428,0.8810267857142857,9448.0
Q8,sequence_mlp,5,0.1470982142857143,0.1470982142857143,0.8529017857142858,6320.0
Q8,symbolic_word_reduction_oracle,5,1.0,1.0,0.0,0.0
Q8,transformer_multiplication_augmentation,5,0.11584821428571428,0.11584821428571428,0.8841517857142858,9448.0
S3,differentiable_finite_state_automaton,5,0.33794642857142854,0.33794642857142854,0.6620535714285715,216.0
S3,exact_structured_retransport,5,1.0,1.0,0.0,0.0
S3,generic_matrix_action_model,5,0.5080357142857144,0.5080357142857144,0.49196428571428574,1654.0
S3,generic_moe,5,0.1953125,0.1953125,0.8046875,8558.0
S3,group_equivariant_recurrent_network,5,0.8779017857142858,0.8779017857142858,0.12209821428571428,36.0
S3,group_equivariant_transformer,5,0.18013392857142857,0.18013392857142857,0.8198660714285715,5454.0
S3,learned_cayley_table_model,5,0.3330357142857143,0.3330357142857143,0.6669642857142857,216.0
S3,lookup_table,5,0.14754464285714286,0.14754464285714286,0.8524553571428571,0.0
S3,ordinary_sequence_transformer,5,0.18459821428571427,0.18459821428571427,0.8154017857142858,9318.0
S3,sequence_mlp,5,0.19375,0.19375,0.80625,6198.0
S3,symbolic_word_reduction_oracle,5,1.0,1.0,0.0,0.0
S3,transformer_multiplication_augmentation,5,0.16785714285714287,0.16785714285714287,0.832142857142857,9318.0
