setting_id,selector,resample_choices,modal_fraction,unique_choices
post_iclr_v2_mnist_mlp_N3_W32_S9300,A0,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9300,A1,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9300,A2,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9300,A3,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""monomial_gauge_soup"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N3_W32_S9300,A4,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9300,A5,"[""individual_2"", ""greedy_soup"", ""greedy_soup"", ""monomial_gauge_soup"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N3_W64_S9300,A0,"[""greedy_soup"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9300,A1,"[""greedy_soup"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9300,A2,"[""greedy_soup"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9300,A3,"[""greedy_soup"", ""union_gauge_soup"", ""individual_2"", ""union_gauge_soup"", ""individual_2""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9300,A4,"[""greedy_soup"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9300,A5,"[""greedy_soup"", ""union_gauge_soup"", ""individual_2"", ""union_gauge_soup"", ""individual_2""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W32_S9300,A0,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9300,A1,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9300,A2,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9300,A3,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9300,A4,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9300,A5,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A0,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A1,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A2,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A3,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A4,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9300,A5,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9301,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9301,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9301,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9301,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""permutation_gauge_soup"", ""union_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9301,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9301,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""permutation_gauge_soup"", ""union_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9301,A0,"[""individual_1"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9301,A1,"[""individual_1"", ""official_c2m3"", ""official_git_rebasin"", ""official_git_rebasin"", ""greedy_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N3_W64_S9301,A2,"[""individual_1"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9301,A3,"[""individual_1"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9301,A4,"[""individual_1"", ""official_c2m3"", ""official_git_rebasin"", ""official_git_rebasin"", ""greedy_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N3_W64_S9301,A5,"[""individual_1"", ""official_c2m3"", ""official_git_rebasin"", ""official_git_rebasin"", ""greedy_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N4_W32_S9301,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9301,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9301,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9301,A3,"[""greedy_soup"", ""permutation_gauge_soup"", ""union_gauge_soup"", ""individual_3"", ""permutation_gauge_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N4_W32_S9301,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9301,A5,"[""greedy_soup"", ""permutation_gauge_soup"", ""union_gauge_soup"", ""individual_3"", ""permutation_gauge_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N4_W64_S9301,A0,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9301,A1,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9301,A2,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9301,A3,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""monomial_gauge_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9301,A4,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""greedy_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9301,A5,"[""individual_1"", ""individual_1"", ""individual_1"", ""individual_0"", ""monomial_gauge_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N3_W32_S9302,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_0"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9302,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_0"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9302,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_0"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9302,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9302,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_0"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9302,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9302,A0,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9302,A1,"[""greedy_soup"", ""individual_0"", ""official_c2m3"", ""official_c2m3"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9302,A2,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9302,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9302,A4,"[""greedy_soup"", ""individual_0"", ""official_c2m3"", ""official_c2m3"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9302,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""official_c2m3"", ""union_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9302,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9302,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9302,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3""]",0.8,2
