setting_id,seed,n_models,width,sync_disagreement,diagnostic_threshold,train_size,validation_size,test_size,training_seconds,candidate_count,failed_candidates,split_sha256
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,0.1701388888888889,0.22743055555555555,4000,1000,10000,1.3637183329556137,19,0,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W64_S9300,9300,3,64,0.1753472222222222,0.22743055555555555,4000,1000,10000,1.28078579204157,19,0,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N4_W32_S9300,9300,4,32,0.29296875,0.22743055555555555,4000,1000,10000,1.7278305001091212,20,0,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N4_W64_S9300,9300,4,64,0.298828125,0.22743055555555555,4000,1000,10000,1.7257464998401701,20,0,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9301,9301,3,32,0.19444444444444445,0.22743055555555555,4000,1000,10000,1.2747011668980122,19,0,5f8314476b3f6fd8c0655ae01822638ee1a61e04b8ce8e28b7fa0b02f65e3cb2
post_iclr_v2_mnist_mlp_N3_W64_S9301,9301,3,64,0.1753472222222222,0.22743055555555555,4000,1000,10000,1.3073325830046088,19,0,5f8314476b3f6fd8c0655ae01822638ee1a61e04b8ce8e28b7fa0b02f65e3cb2
post_iclr_v2_mnist_mlp_N4_W32_S9301,9301,4,32,0.283203125,0.22743055555555555,4000,1000,10000,1.689437417080626,20,0,5f8314476b3f6fd8c0655ae01822638ee1a61e04b8ce8e28b7fa0b02f65e3cb2
post_iclr_v2_mnist_mlp_N4_W64_S9301,9301,4,64,0.2939453125,0.22743055555555555,4000,1000,10000,1.7333324998617172,20,0,5f8314476b3f6fd8c0655ae01822638ee1a61e04b8ce8e28b7fa0b02f65e3cb2
post_iclr_v2_mnist_mlp_N3_W32_S9302,9302,3,32,0.16319444444444445,0.22743055555555555,4000,1000,10000,1.3192997919395566,19,0,a311b01fa160b8e12ac1e43dc6027808af9a57d41d50a34b46658e5c865e982a
post_iclr_v2_mnist_mlp_N3_W64_S9302,9302,3,64,0.17881944444444445,0.22743055555555555,4000,1000,10000,1.2911660000681877,19,0,a311b01fa160b8e12ac1e43dc6027808af9a57d41d50a34b46658e5c865e982a
post_iclr_v2_mnist_mlp_N4_W32_S9302,9302,4,32,0.25,0.22743055555555555,4000,1000,10000,1.6755752500612289,20,0,a311b01fa160b8e12ac1e43dc6027808af9a57d41d50a34b46658e5c865e982a
post_iclr_v2_mnist_mlp_N4_W64_S9302,9302,4,64,0.291015625,0.22743055555555555,4000,1000,10000,1.7810439579188824,20,0,a311b01fa160b8e12ac1e43dc6027808af9a57d41d50a34b46658e5c865e982a
post_iclr_v2_mnist_mlp_N3_W32_S9303,9303,3,32,0.1597222222222222,0.22743055555555555,4000,1000,10000,1.2375054999720305,19,0,cdcc3e1c6dcc7e92887e5f302bd5a3fef339b9e63002c1e8e3d458852822b5be
post_iclr_v2_mnist_mlp_N3_W64_S9303,9303,3,64,0.1996527777777778,0.22743055555555555,4000,1000,10000,1.2740755828563124,19,0,cdcc3e1c6dcc7e92887e5f302bd5a3fef339b9e63002c1e8e3d458852822b5be
post_iclr_v2_mnist_mlp_N4_W32_S9303,9303,4,32,0.21875,0.22743055555555555,4000,1000,10000,1.6675278330221772,20,0,cdcc3e1c6dcc7e92887e5f302bd5a3fef339b9e63002c1e8e3d458852822b5be
post_iclr_v2_mnist_mlp_N4_W64_S9303,9303,4,64,0.302734375,0.22743055555555555,4000,1000,10000,1.7022629159037024,20,0,cdcc3e1c6dcc7e92887e5f302bd5a3fef339b9e63002c1e8e3d458852822b5be
post_iclr_v2_mnist_mlp_N3_W32_S9304,9304,3,32,0.18055555555555555,0.22743055555555555,4000,1000,10000,1.2423395838122815,19,0,c97e5bf1452a84fd4a8f2a4680a2232483c7b411e1b2f31448723b8d0afcd9be
post_iclr_v2_mnist_mlp_N3_W64_S9304,9304,3,64,0.1753472222222222,0.22743055555555555,4000,1000,10000,1.30451629194431,19,0,c97e5bf1452a84fd4a8f2a4680a2232483c7b411e1b2f31448723b8d0afcd9be
post_iclr_v2_mnist_mlp_N4_W32_S9304,9304,4,32,0.267578125,0.22743055555555555,4000,1000,10000,1.645212666830048,20,0,c97e5bf1452a84fd4a8f2a4680a2232483c7b411e1b2f31448723b8d0afcd9be
post_iclr_v2_mnist_mlp_N4_W64_S9304,9304,4,64,0.3017578125,0.22743055555555555,4000,1000,10000,1.7000534997787327,20,0,c97e5bf1452a84fd4a8f2a4680a2232483c7b411e1b2f31448723b8d0afcd9be
post_iclr_v2_mnist_mlp_N3_W32_S9305,9305,3,32,0.1423611111111111,0.22743055555555555,4000,1000,10000,1.2419927911832929,19,0,76ecb13970156b0aecc98dc1dadbf97199754dc2d9275d6da74f5b87e2e5fe14
post_iclr_v2_mnist_mlp_N3_W64_S9305,9305,3,64,0.1753472222222222,0.22743055555555555,4000,1000,10000,1.2996127500664443,19,0,76ecb13970156b0aecc98dc1dadbf97199754dc2d9275d6da74f5b87e2e5fe14
post_iclr_v2_mnist_mlp_N4_W32_S9305,9305,4,32,0.294921875,0.22743055555555555,4000,1000,10000,1.6535138750914484,20,0,76ecb13970156b0aecc98dc1dadbf97199754dc2d9275d6da74f5b87e2e5fe14
post_iclr_v2_mnist_mlp_N4_W64_S9305,9305,4,64,0.3017578125,0.22743055555555555,4000,1000,10000,1.7198394590523094,20,0,76ecb13970156b0aecc98dc1dadbf97199754dc2d9275d6da74f5b87e2e5fe14
post_iclr_v2_mnist_mlp_N3_W32_S9306,9306,3,32,0.18055555555555555,0.22743055555555555,4000,1000,10000,1.265597291989252,19,0,c66033ff4cacc8906f977604c97b6e0bbec91beb8486b5f51c12d7b34df981af
post_iclr_v2_mnist_mlp_N3_W64_S9306,9306,3,64,0.1597222222222222,0.22743055555555555,4000,1000,10000,1.3421197088900954,19,0,c66033ff4cacc8906f977604c97b6e0bbec91beb8486b5f51c12d7b34df981af
post_iclr_v2_mnist_mlp_N4_W32_S9306,9306,4,32,0.318359375,0.22743055555555555,4000,1000,10000,1.6680741249583662,20,0,c66033ff4cacc8906f977604c97b6e0bbec91beb8486b5f51c12d7b34df981af
post_iclr_v2_mnist_mlp_N4_W64_S9306,9306,4,64,0.302734375,0.22743055555555555,4000,1000,10000,1.704280334059149,20,0,c66033ff4cacc8906f977604c97b6e0bbec91beb8486b5f51c12d7b34df981af
