selector,selected_family,selected_candidate,count,frequency,tm_specific,conditional_mean_gain_vs_a0
A0,ordinary_soup,greedy_soup,40,1.0,False,nan
A1,official_synchronization,official_c2m3,1,0.025,False,nan
A1,official_synchronization,official_git_rebasin,5,0.125,False,nan
A1,ordinary_soup,greedy_soup,34,0.85,False,nan
A2,ordinary_soup,greedy_soup,40,1.0,False,nan
A3,monomial_gauge_soup,monomial_gauge_soup,10,0.25,True,nan
A3,ordinary_soup,greedy_soup,12,0.3,False,nan
A3,permutation_gauge_soup,permutation_gauge_soup,2,0.05,True,nan
A3,union_gauge_soup,union_gauge_soup,16,0.4,True,nan
A4,official_synchronization,official_c2m3,1,0.025,False,nan
A4,official_synchronization,official_git_rebasin,5,0.125,False,nan
A4,ordinary_soup,greedy_soup,34,0.85,False,nan
A5,monomial_gauge_soup,monomial_gauge_soup,9,0.225,True,-0.0014111111111111037
A5,official_synchronization,official_c2m3,1,0.025,False,0.0018000000000000238
A5,official_synchronization,official_git_rebasin,4,0.1,False,-0.007675000000000015
A5,ordinary_soup,greedy_soup,9,0.225,False,0.0
A5,permutation_gauge_soup,permutation_gauge_soup,2,0.05,True,0.0
A5,union_gauge_soup,union_gauge_soup,15,0.375,True,-0.002199999999999987
A6,individual,individual_0,3,0.075,False,nan
A6,individual,individual_1,2,0.05,False,nan
A6,individual,individual_2,4,0.1,False,nan
A6,individual,individual_3,1,0.025,False,nan
A6,monomial_gauge_soup,monomial_gauge_soup,9,0.225,True,nan
A6,official_synchronization,official_git_rebasin,2,0.05,False,nan
A6,ordinary_soup,greedy_soup,13,0.325,False,nan
A6,permutation_gauge_soup,permutation_gauge_soup,1,0.025,True,nan
A6,union_gauge_soup,union_gauge_soup,5,0.125,True,nan
B0,ordinary_soup,greedy_soup,40,1.0,False,nan
