comparison,mean_delta,ci_low,ci_high
equivariant_chart_minus_best_ordinary,0.5004999980330467,0.4837987473234534,0.5170499921962619
soft_moe_minus_hard_same_probabilities,0.007499999999999995,0.002399999999999991,0.012149999999999994
retransport_minus_hard_same_probabilities,-0.20715000000000003,-0.251,-0.17179875
four_experts_minus_one_after_canonicalization,0.009550000000000025,-0.0010512500000000155,0.019850000000000045
retransport_minus_d4_tta,0.11120000000000001,0.04569875,0.17045
retransport_minus_direct_equivariant_task,-0.26544999999999996,-0.30580124999999997,-0.23204999999999995
