seed,chart_model,chart_accuracy,parameters
20,equivariant,0.6664999723434448,2901
20,ordinary_matched,0.1315000057220459,6462
20,ordinary_larger,0.16349999606609344,14680
20,ordinary_augmented,0.14550000429153442,9768
20,random,0.11100000143051147,14680
21,equivariant,0.6800000071525574,2901
21,ordinary_matched,0.12150000035762787,6462
21,ordinary_larger,0.09449999779462814,14680
21,ordinary_augmented,0.1289999932050705,9768
21,random,0.11599999666213989,14680
22,equivariant,0.6570000052452087,2901
22,ordinary_matched,0.13750000298023224,6462
22,ordinary_larger,0.15600000321865082,14680
22,ordinary_augmented,0.14900000393390656,9768
22,random,0.12150000035762787,14680
23,equivariant,0.675000011920929,2901
23,ordinary_matched,0.13500000536441803,6462
23,ordinary_larger,0.17299999296665192,14680
23,ordinary_augmented,0.15299999713897705,9768
23,random,0.11900000274181366,14680
24,equivariant,0.6554999947547913,2901
24,ordinary_matched,0.09700000286102295,6462
24,ordinary_larger,0.1459999978542328,14680
24,ordinary_augmented,0.16200000047683716,9768
24,random,0.11949999630451202,14680
25,equivariant,0.6165000200271606,2901
25,ordinary_matched,0.14499999582767487,6462
25,ordinary_larger,0.13950000703334808,14680
25,ordinary_augmented,0.16349999606609344,9768
25,random,0.12600000202655792,14680
26,equivariant,0.6804999709129333,2901
26,ordinary_matched,0.13750000298023224,6462
26,ordinary_larger,0.1445000022649765,14680
26,ordinary_augmented,0.1379999965429306,9768
26,random,0.12300000339746475,14680
27,equivariant,0.6449999809265137,2901
27,ordinary_matched,0.1550000011920929,6462
27,ordinary_larger,0.14000000059604645,14680
27,ordinary_augmented,0.1770000010728836,9768
27,random,0.12300000339746475,14680
28,equivariant,0.6575000286102295,2901
28,ordinary_matched,0.12200000137090683,6462
28,ordinary_larger,0.1665000021457672,14680
28,ordinary_augmented,0.1264999955892563,9768
28,random,0.13050000369548798,14680
29,equivariant,0.6499999761581421,2901
29,ordinary_matched,0.13050000369548798,6462
29,ordinary_larger,0.14350000023841858,14680
29,ordinary_augmented,0.1274999976158142,9768
29,random,0.12250000238418579,14680
