seed,method,condition,examples,task_accuracy
20,ordinary_chart_soft_moe,heldout_rotations,250,0.30399999022483826
20,ordinary_chart_soft_moe,seen_rotations,250,0.4959999918937683
20,d4_chart_soft_moe,ambiguous_symmetric_inputs,250,0.3919999897480011
20,d4_chart_soft_moe,blur,250,0.5720000267028809
20,d4_chart_soft_moe,chart_distribution_shift,250,0.5960000157356262
20,d4_chart_soft_moe,gaussian_corruption,250,0.5920000076293945
20,d4_chart_soft_moe,heldout_compositions,250,0.6399999856948853
20,d4_chart_soft_moe,heldout_reflections,250,0.6079999804496765
20,d4_chart_soft_moe,heldout_rotations,250,0.6000000238418579
20,d4_chart_soft_moe,seen_rotations,250,0.628000020980835
20,d4_chart_hard_branch_selection,ambiguous_symmetric_inputs,250,0.3400000035762787
20,d4_chart_hard_branch_selection,blur,250,0.5640000104904175
20,d4_chart_hard_branch_selection,chart_distribution_shift,250,0.6079999804496765
20,d4_chart_hard_branch_selection,gaussian_corruption,250,0.5680000185966492
20,d4_chart_hard_branch_selection,heldout_compositions,250,0.6399999856948853
20,d4_chart_hard_branch_selection,heldout_reflections,250,0.5879999995231628
20,d4_chart_hard_branch_selection,heldout_rotations,250,0.5920000076293945
20,d4_chart_hard_branch_selection,seen_rotations,250,0.6119999885559082
20,inverse_transform_one_canonical_expert,ambiguous_symmetric_inputs,250,0.3799999952316284
20,inverse_transform_one_canonical_expert,blur,250,0.6639999747276306
20,inverse_transform_one_canonical_expert,chart_distribution_shift,250,0.7279999852180481
20,inverse_transform_one_canonical_expert,gaussian_corruption,250,0.6840000152587891
20,inverse_transform_one_canonical_expert,heldout_compositions,250,0.7120000123977661
20,inverse_transform_one_canonical_expert,heldout_reflections,250,0.7080000042915344
20,inverse_transform_one_canonical_expert,heldout_rotations,250,0.7239999771118164
20,inverse_transform_one_canonical_expert,seen_rotations,250,0.7519999742507935
20,inverse_transform_four_expert_average,ambiguous_symmetric_inputs,250,0.36000001430511475
20,inverse_transform_four_expert_average,blur,250,0.6759999990463257
20,inverse_transform_four_expert_average,chart_distribution_shift,250,0.7279999852180481
20,inverse_transform_four_expert_average,gaussian_corruption,250,0.6520000100135803
20,inverse_transform_four_expert_average,heldout_compositions,250,0.6919999718666077
20,inverse_transform_four_expert_average,heldout_reflections,250,0.7200000286102295
20,inverse_transform_four_expert_average,heldout_rotations,250,0.7080000042915344
20,inverse_transform_four_expert_average,seen_rotations,250,0.7559999823570251
20,canonicalize_pool_retransport,ambiguous_symmetric_inputs,250,0.1720000058412552
20,canonicalize_pool_retransport,blur,250,0.23600000143051147
20,canonicalize_pool_retransport,chart_distribution_shift,250,0.2199999988079071
20,canonicalize_pool_retransport,gaussian_corruption,250,0.14000000059604645
20,canonicalize_pool_retransport,heldout_compositions,250,0.1720000058412552
20,canonicalize_pool_retransport,heldout_reflections,250,0.2160000056028366
20,canonicalize_pool_retransport,heldout_rotations,250,0.2639999985694885
20,canonicalize_pool_retransport,seen_rotations,250,0.1599999964237213
20,uncertainty_weighted_retransport,ambiguous_symmetric_inputs,250,0.335999995470047
20,uncertainty_weighted_retransport,blur,250,0.328000009059906
20,uncertainty_weighted_retransport,chart_distribution_shift,250,0.3240000009536743
20,uncertainty_weighted_retransport,gaussian_corruption,250,0.2199999988079071
20,uncertainty_weighted_retransport,heldout_compositions,250,0.2879999876022339
20,uncertainty_weighted_retransport,heldout_reflections,250,0.3400000035762787
20,uncertainty_weighted_retransport,heldout_rotations,250,0.3840000033378601
20,uncertainty_weighted_retransport,seen_rotations,250,0.2919999957084656
20,abstaining_retransport,ambiguous_symmetric_inputs,250,0.30000001192092896
20,abstaining_retransport,blur,250,0.24400000274181366
20,abstaining_retransport,chart_distribution_shift,250,0.3440000116825104
20,abstaining_retransport,gaussian_corruption,250,0.2240000069141388
20,abstaining_retransport,heldout_compositions,250,0.30399999022483826
20,abstaining_retransport,heldout_reflections,250,0.36800000071525574
20,abstaining_retransport,heldout_rotations,250,0.36000001430511475
20,abstaining_retransport,seen_rotations,250,0.35600000619888306
20,supplied_chart_oracle,ambiguous_symmetric_inputs,250,0.47999998927116394
20,supplied_chart_oracle,blur,250,0.7519999742507935
20,supplied_chart_oracle,chart_distribution_shift,250,0.8080000281333923
20,supplied_chart_oracle,gaussian_corruption,250,0.7279999852180481
20,supplied_chart_oracle,heldout_compositions,250,0.7799999713897705
20,supplied_chart_oracle,heldout_reflections,250,0.7440000176429749
20,supplied_chart_oracle,heldout_rotations,250,0.7760000228881836
20,supplied_chart_oracle,seen_rotations,250,0.8040000200271606
20,random_chart_control,ambiguous_symmetric_inputs,250,0.25999999046325684
20,random_chart_control,blur,250,0.25200000405311584
20,random_chart_control,chart_distribution_shift,250,0.2879999876022339
20,random_chart_control,gaussian_corruption,250,0.29600000381469727
20,random_chart_control,heldout_compositions,250,0.2639999985694885
20,random_chart_control,heldout_reflections,250,0.23199999332427979
20,random_chart_control,heldout_rotations,250,0.24799999594688416
