claim,value,evidence
equivariant_chart_benefit,True,equivariant_chart_minus_best_ordinary
retransport_benefit,False,retransport_minus_hard_same_probabilities
multi_expert_benefit,False,four_experts_minus_one_after_canonicalization
twistedmerge_specific_benefit_over_tta_at_matched_cost,False,positive paired interval with no higher latency or storage
twistedmerge_specific_benefit_over_direct_equivariant_task_at_matched_cost,False,positive paired interval with no higher latency or storage
twistedmerge_specific_benefit,False,both matched-cost simple-equivariant comparisons
all_saved_logits_label_permutation_invariant,True,runs.csv
