seed,branch_family,method,trainable_parameters,total_parameters_including_frozen_encoder,branch_count,inference_multiplier,stored_bytes,transport_fit_cost_seconds,transport_analysis_seconds_shared_seed,synchronization_cost_seconds,merge_cost_seconds,peak_memory_bytes,inference_latency_seconds,validation_evaluation_count,additional_training_control
1,AC,ordinary_global_synchronization,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.006756292190402746,0.0009335828945040703,758497280,3.430526703596115e-05,0,False
1,AC,validation_selected_interpolation,1162,11177674,1,1.0,4648,0.0,44.23766958294436,0.0,0.02003108407370746,758497280,3.4694637482364975e-05,11,False
1,AC,cycle_aware_synchronization,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.018638042034581304,0.0,758497280,3.4513650462031364e-05,0,False
1,AC,fallback_only_policy,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.0,0.0,758497280,3.505568020045757e-05,4,False
1,AC,joint_sequential_adaptation_oracle,1162,11177674,1,1.0,4648,0.0,44.23766958294436,0.0,0.0,758497280,3.413902595639229e-05,2,True
1,AC,prediction_ensemble_upper_bound,2324,11178836,2,2.0,9296,0.0,44.23766958294436,0.0,0.0,758497280,7.06530020882686e-05,0,False
1,BC,raw_parameter_average,1162,11177674,1,1.0,4648,0.0,44.23766958294436,0.0,0.0004443330690264702,758497280,3.484698633352915e-05,0,False
1,BC,pairwise_reference_alignment,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.0,0.0010422090999782085,758497280,3.451403851310412e-05,0,False
1,BC,ordinary_global_synchronization,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.006718459073454142,0.0009627919644117355,758497280,3.4860956172148384e-05,0,False
1,BC,validation_selected_interpolation,1162,11177674,1,1.0,4648,0.0,44.23766958294436,0.0,0.019805041840299964,758497280,3.41249785075585e-05,11,False
1,BC,cycle_aware_synchronization,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.017515207873657346,0.0,758497280,3.406933198372523e-05,0,False
