seed,layer,source,target,path_relation,method,selected,fit_residual,transport_validation_residual,transport_test_residual,condition_number,effective_rank,singular_value_spread,inverse_consistency,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high
1,adapter,M_BAC,M_BA,reverse_lineage,orthogonal_procrustes,False,0.4112381287256175,0.4384936232724985,0.4178174002520319,1.0000000000000013,64,1.2212453270876722e-15,,,,
1,adapter,M_BAC,M_BA,reverse_lineage,ridge_linear,True,0.3846111936003698,0.4236657329487148,0.3930334546340713,22757033743.37996,4,1.3736654674700222,0.9698697093170378,0.05045308698567616,0.0367459404663683,0.06945637789314561
1,adapter,M_BAC,M_BA,reverse_lineage,low_rank_residual,False,0.41535308396782405,0.4436709727489138,0.42192004458700094,150519908.33509168,60,1.0696706697144578,,,,
1,adapter,M_BAC,M_BA,reverse_lineage,whitened_cca,False,0.39472946153507316,0.43814853135061455,0.40060246867964605,1.6679322644448387,64,0.5827357522150449,,,,
1,adapter,M_BC,M_BCA,forward_lineage,orthogonal_procrustes,False,0.4146626528014197,0.4318029542655588,0.41420943742787103,1.0000000000000022,64,2.220446049250313e-15,,,,
1,adapter,M_BC,M_BCA,forward_lineage,ridge_linear,True,0.361209947906295,0.39593089618398064,0.3666762735051034,27872309760.634407,4,1.4299301951378303,0.9704741991316934,0.045300790738711835,0.03321898842359775,0.06219941358216573
1,adapter,M_BC,M_BCA,forward_lineage,low_rank_residual,False,0.4193966188400416,0.4377481342507147,0.41889211425453926,176486579.06693742,60,1.081722044906885,,,,
1,adapter,M_BC,M_BCA,forward_lineage,whitened_cca,False,0.3699400894629543,0.4101943034268178,0.3747008068288721,2.060717096523383,64,0.7764957414727222,,,,
1,adapter,M_BCA,M_BC,reverse_lineage,orthogonal_procrustes,False,0.4965907497635347,0.5029603221964792,0.4954715622800046,1.000000000000001,64,9.992007221626409e-16,,,,
1,adapter,M_BCA,M_BC,reverse_lineage,ridge_linear,True,0.3812353673401861,0.40894631467928566,0.3857191214472162,22028043718.129093,4,1.0701016705993993,0.9703711744040785,0.05499975423467712,0.0425957625576661,0.081129591535251
1,adapter,M_BCA,M_BC,reverse_lineage,low_rank_residual,False,0.5128665188427937,0.5186385073353831,0.5115375363414588,173663398.85447165,60,1.0715094454356873,,,,
1,adapter,M_BCA,M_BC,reverse_lineage,whitened_cca,False,0.39334043475196884,0.421606151847651,0.401552537608639,2.0607170965232267,64,0.7031398065786197,,,,
1,adapter,M_CA,M_CAB,forward_lineage,orthogonal_procrustes,False,0.43498695037721397,0.4541284953261231,0.43161910858050756,1.0000000000000018,64,1.6653345369377348e-15,,,,
1,adapter,M_CA,M_CAB,forward_lineage,ridge_linear,True,0.37683700478660775,0.39684633313779516,0.37560629514598387,12020347132.874996,4,1.0355913732075634,0.9695172931324363,0.05649664749083717,0.043750908713412986,0.07724740630094577
1,adapter,M_CA,M_CAB,forward_lineage,low_rank_residual,False,0.44525298864622165,0.46282972292518887,0.43924903615230276,164457518.53427854,60,1.0300026589949998,,,,
1,adapter,M_CA,M_CAB,forward_lineage,whitened_cca,False,0.38574101193591376,0.40687474497679355,0.3871276014649481,1.5430666736744616,64,0.4102716265748956,,,,
1,adapter,M_CAB,M_CA,reverse_lineage,orthogonal_procrustes,False,0.38996046018429054,0.41208041165964426,0.3868286405099678,1.000000000000001,64,1.1102230246251565e-15,,,,
1,adapter,M_CAB,M_CA,reverse_lineage,ridge_linear,True,0.3704966904448916,0.3947621753679992,0.3715751288423417,12840536161.810032,4,1.2161571211558309,0.9695051270927771,0.05552450633144049,0.04243472619345585,0.07541887659729288
1,adapter,M_CAB,M_CA,reverse_lineage,low_rank_residual,False,0.3956982451264535,0.41691455465963423,0.39029754704379305,166201545.13521454,60,1.0514058270530264,,,,
1,adapter,M_CAB,M_CA,reverse_lineage,whitened_cca,False,0.37895982114184446,0.4051765591057351,0.37920509424030846,1.5430666736750913,64,0.4658543226790782,,,,
1,adapter,M_CB,M_CBA,forward_lineage,orthogonal_procrustes,False,0.38705732217928335,0.40470309524113374,0.3830712969232919,1.0000000000000016,64,1.5543122344752192e-15,,,,
1,adapter,M_CB,M_CBA,forward_lineage,ridge_linear,True,0.34151979401638033,0.36473968009564195,0.3424756355503616,178367902693.44623,4,1.3049547232985679,0.9700563738060795,0.047297398504915295,0.03534199623762334,0.061093019726552504
1,adapter,M_CB,M_CBA,forward_lineage,low_rank_residual,False,0.3947938798096502,0.41087677034933173,0.3898335555362804,163955350.80119514,60,1.0430484860149258,,,,
1,adapter,M_CB,M_CBA,forward_lineage,whitened_cca,False,0.34899978415873456,0.3725247484701034,0.34921331148182544,1.8528800310512152,64,0.6358619781750798,,,,
1,adapter,M_CBA,M_CB,reverse_lineage,orthogonal_procrustes,False,0.44248572911789047,0.45485243097085387,0.43660190804672266,1.0000000000000009,64,8.881784197001252e-16,,,,
1,adapter,M_CBA,M_CB,reverse_lineage,ridge_linear,True,0.36422968302431125,0.3823134269592639,0.36442840972144547,43925636821.23417,4,1.0935693728792144,0.9698963734331854,0.05134361159319223,0.03806564796566428,0.07393574782566611
1,adapter,M_CBA,M_CB,reverse_lineage,low_rank_residual,False,0.4550068929046351,0.465019931168557,0.44820254608341237,159032938.19824496,60,1.0447807786759071,,,,
1,adapter,M_CBA,M_CB,reverse_lineage,whitened_cca,False,0.37436190879218445,0.39428483864937086,0.3773773224128905,1.8528800310513118,64,0.6173987340687649,,,,
1,adapter,M_AB,M_B,loop_closing,orthogonal_procrustes,False,0.11605572117054687,0.12028045583937082,0.11547836487265846,1.0000000000000013,64,1.2212453270876722e-15,,,,
