setting_id,dataset,architecture,model_count,relation,seed,selected_gauge,pairwise_heldout_alignment_error,inverse_consistency,cycle_residual,persistent_rank,calibration_resample_stable,exceeds_all_nulls,residual_after_correction,residual_reduced
FashionMNIST_mlp_3_independent_seeds_s2,FashionMNIST,mlp,3,independent_seeds,2,orthogonal,0.1690966784954071,4.0669857384501657e-08,0.008081587275457932,8,False,False,0.008081587275457932,False
FashionMNIST_mlp_4_independent_seeds_s2,FashionMNIST,mlp,4,independent_seeds,2,orthogonal,0.1834131913880507,3.5837999941620325e-08,0.008081587275457932,8,True,False,0.008081587275457932,False
FashionMNIST_mlp_3_shared_base_specialization_s0,FashionMNIST,mlp,3,shared_base_specialization,0,positive_monomial,0.3950652084546067,0.07098832024587425,0.0986185756172399,10,False,False,0.0986185756172399,False
FashionMNIST_mlp_4_shared_base_specialization_s0,FashionMNIST,mlp,4,shared_base_specialization,0,positive_monomial,0.3297070525775884,0.055695139844322276,0.0986185756172399,10,True,False,0.0986185756172399,False
FashionMNIST_mlp_3_shared_base_specialization_s1,FashionMNIST,mlp,3,shared_base_specialization,1,positive_monomial,0.31534247181055,0.05845612355923646,0.08089352198092634,10,False,False,0.08089352198092634,False
FashionMNIST_mlp_4_shared_base_specialization_s1,FashionMNIST,mlp,4,shared_base_specialization,1,positive_monomial,0.26146107687511355,0.046841998452815316,0.08089352198092634,10,True,False,0.08089352198092634,False
FashionMNIST_mlp_3_shared_base_specialization_s2,FashionMNIST,mlp,3,shared_base_specialization,2,positive_monomial,0.43039315133318595,0.0928326386257059,0.12795703484326823,10,True,False,0.12795703484326823,False
FashionMNIST_mlp_4_shared_base_specialization_s2,FashionMNIST,mlp,4,shared_base_specialization,2,positive_monomial,0.35008917381226246,0.0697826909161847,0.12795703484326823,10,False,False,0.12795703484326823,False
FashionMNIST_cnn_3_independent_seeds_s0,FashionMNIST,cnn,3,independent_seeds,0,orthogonal,0.1547098644077778,3.6574023841812304e-08,0.008708580352114909,8,True,False,0.008708580352114909,False
FashionMNIST_cnn_4_independent_seeds_s0,FashionMNIST,cnn,4,independent_seeds,0,orthogonal,0.1601932185391585,3.6199052258455165e-08,0.008708580352114909,8,False,False,0.008708580352114909,False
FashionMNIST_cnn_3_independent_seeds_s1,FashionMNIST,cnn,3,independent_seeds,1,orthogonal,0.19384927054246268,3.5699936006101696e-08,0.005428410175167859,8,False,False,0.005428410175167859,False
FashionMNIST_cnn_4_independent_seeds_s1,FashionMNIST,cnn,4,independent_seeds,1,orthogonal,0.17205833395322165,3.820149729818619e-08,0.005428410175167859,8,True,False,0.005428410175167859,False
FashionMNIST_cnn_3_independent_seeds_s2,FashionMNIST,cnn,3,independent_seeds,2,orthogonal,0.1672824596365293,4.0657197498720755e-08,0.006634111531417857,8,True,False,0.006634111531417857,False
FashionMNIST_cnn_4_independent_seeds_s2,FashionMNIST,cnn,4,independent_seeds,2,orthogonal,0.17899766067663828,3.87754923886933e-08,0.006634111531417857,8,True,False,0.006634111531417857,False
FashionMNIST_cnn_3_shared_base_specialization_s0,FashionMNIST,cnn,3,shared_base_specialization,0,orthogonal,0.5898467029134432,3.888347676317356e-08,0.00932863975953056,10,False,False,0.00932863975953056,False
FashionMNIST_cnn_4_shared_base_specialization_s0,FashionMNIST,cnn,4,shared_base_specialization,0,orthogonal,0.47822104891141254,3.650217968177222e-08,0.00932863975953056,10,False,False,0.00932863975953056,False
FashionMNIST_cnn_3_shared_base_specialization_s1,FashionMNIST,cnn,3,shared_base_specialization,1,orthogonal,0.4540814235806465,3.7424017622100854e-08,0.010166712063105692,8,True,False,0.010166712063105692,False
FashionMNIST_cnn_4_shared_base_specialization_s1,FashionMNIST,cnn,4,shared_base_specialization,1,orthogonal,0.3961386103183031,3.877943952193106e-08,0.010166712063105692,8,True,False,0.010166712063105692,False
FashionMNIST_cnn_3_shared_base_specialization_s2,FashionMNIST,cnn,3,shared_base_specialization,2,orthogonal,0.6905153393745422,3.8017320544515856e-08,0.024102288347271482,10,False,False,0.024102288347271482,False
FashionMNIST_cnn_4_shared_base_specialization_s2,FashionMNIST,cnn,4,shared_base_specialization,2,orthogonal,0.5834965246419112,3.888199978925672e-08,0.024102288347271482,10,True,False,0.024102288347271482,False
CIFAR10_cnn_4_independent_seeds_s0,CIFAR10,cnn,4,independent_seeds,0,orthogonal,0.3379333068927129,3.7131549034844464e-08,0.025406324093661243,8,True,False,0.025406324093661243,False
CIFAR10_cnn_4_independent_seeds_s1,CIFAR10,cnn,4,independent_seeds,1,orthogonal,0.3420054813226064,3.5649833318730036e-08,0.031840935893024176,8,False,False,0.031840935893024176,False
CIFAR10_cnn_4_independent_seeds_s2,CIFAR10,cnn,4,independent_seeds,2,orthogonal,0.38126516838868457,3.688877376784974e-08,0.033464202713555734,8,True,False,0.033464202713555734,False
CIFAR10_cnn_4_shared_base_specialization_s0,CIFAR10,cnn,4,shared_base_specialization,0,orthogonal,0.8269021759430567,3.434712669423822e-08,0.018679363720561008,8,True,False,0.018679363720561008,False
CIFAR10_cnn_4_shared_base_specialization_s1,CIFAR10,cnn,4,shared_base_specialization,1,orthogonal,0.8825134187936783,3.688563203665325e-08,0.009028646877846684,10,True,False,0.009028646877846684,False
CIFAR10_cnn_4_shared_base_specialization_s2,CIFAR10,cnn,4,shared_base_specialization,2,orthogonal,1.1816394316653411,3.6577964183689226e-08,0.03872454511408812,8,True,False,0.03872454511408812,False
