dataset,architecture,model_count,relation,stable_beyond_all_nulls,residual_reduced,delta_vs_strict,delta_vs_strict_ci_low,delta_vs_strict_ci_high,delta_vs_generic,delta_vs_generic_ci_low,delta_vs_generic_ci_high,passes
FashionMNIST,mlp,4,independent_seeds,False,False,0.0,0.0,0.0,0.031499999999999986,0.01950000000000001,0.04278749999999996,False
MNIST,mlp,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.09321428571428572,0.08021428571428577,0.10535714285714286,False
