group,best_generic,mean_delta,ci_low,ci_high,compositional_gate_passed
D4,sequence_mlp,0.8868622262404271,0.876426499574539,0.8985231076376321,True
S3,generic_mixture_of_experts,0.8280232971499568,0.8218990620138562,0.8342181804882776,True
