collection,setting_id,method,accuracy,loss,ece,worst_domain_accuracy,interference,trainable_parameters,stored_parameters,branch_count,latency_seconds,peak_memory_mb,training_time_seconds,lift_activated,base_model,base_revision,leakage_hash_passed,logits_sha256
0,real_transformer_c0,structured_router,0.640625,0.6206641793251038,0.019030302762985223,0.5,0.359375,20,4386178,4,nan,687.125,3.3622672089841217,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,31b8fe78385e860b586fb511ed30efe4703650d3abae7e610aa65e3f9292b802
0,real_transformer_c0,ensemble_reference,0.646875,0.6452780961990356,0.10186402834951877,0.475,0.353125,20,17544712,4,nan,687.125,3.3622672089841217,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,31b8fe78385e860b586fb511ed30efe4703650d3abae7e610aa65e3f9292b802
1,real_transformer_c1,weight_average,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.0999810011126101,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,task_arithmetic,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.09477462503127754,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,ties,0.646875,0.6637190580368042,0.09848955012857914,0.475,0.353125,198530,4386178,1,0.10054979217238724,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,dare,0.646875,0.6385539174079895,0.026268428564071647,0.475,0.353125,198530,4386178,1,0.10613337508402765,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,slerp,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.10414604190737009,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,generic_low_rank_merge,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.10920608416199684,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,greedy_soup,0.640625,0.6628503799438477,0.09315404668450353,0.475,0.359375,198530,4386178,1,0.1120974172372371,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,twistedmerge_selector,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.10692862397991121,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,twistedmerge_hodge_lr,0.646875,0.6389033198356628,0.030108857154846194,0.475,0.353125,198530,4386178,1,0.10996779124252498,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,generic_router,0.625,0.6213380694389343,0.04071136191487311,0.475,0.375,20,4386178,4,nan,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,structured_router,0.625,0.6213380694389343,0.04071136191487311,0.475,0.375,20,4386178,4,nan,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
1,real_transformer_c1,ensemble_reference,0.646875,0.6428977251052856,0.07640262469649317,0.475,0.353125,20,17544712,4,nan,687.125,0.6798736238852143,False,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,ab7e295d2696d78a80a2947ff7d6bbb8d95d04918f400f63b96d3e9f5977b34f
