setting_id,dataset,seed,method,accuracy,loss,ece,chart_accuracy,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,router_examples,selector_examples,test_examples,leakage_hash_passed,logits_sha256
FashionMNIST_s2,FashionMNIST,2,context_blind_synchronization,0.286,2.2142473090881305,0.13217445874571865,0.4305,520,1170,1,0.020083971321582794,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,generic_image_context_predictor,0.357,2.1770704932737304,0.2340927893830691,0.4305,520,1170,1,0.018832972273230553,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,generic_mixture_of_experts,0.357,2.1770704932737304,0.2340927893830691,0.4305,520,1170,8,0.018541933968663216,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,generic_low_rank_context_adapter,0.32,2.191068136239084,0.18587679864262918,0.4305,520,1170,1,0.018999911844730377,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,structured_group_router,0.5385,2.0281311318900026,0.3847504747932797,0.4305,520,1170,8,0.018541933968663216,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,twistedmerge_hodge_lr,0.5385,2.0281311318900026,0.3847504747932797,nan,0,1170,1,0.018124934285879135,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,canonicalize_pool_retransport,0.7405,1.8897991424425498,0.5787226877949566,nan,0,1170,1,0.01829187385737896,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,random_group_law_control,0.2835,2.213158347925771,0.13065756532701814,nan,0,1170,1,0.018290942534804344,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,wrong_action_control,0.1685,2.288756754330172,0.01701008195243258,nan,0,1170,1,0.018541933968663216,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
FashionMNIST_s2,FashionMNIST,2,ensemble_reference,0.277,2.194871674848276,0.1533074790868703,nan,0,1170,8,0.018415972590446472,612.84375,500,500,2000,True,00773ca7d96dfd233d8add2d61f25b9deef8e37f44380ca0d739201025dccbe0
CIFAR10_s0,CIFAR10,0,context_blind_synchronization,0.248,2.2543218631441495,0.1333627714417155,0.183,520,1170,1,0.020207837224006653,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,generic_image_context_predictor,0.2805,2.2533155044997017,0.16988506031266903,0.183,520,1170,1,0.030499882996082306,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,generic_mixture_of_experts,0.2805,2.2533155044997017,0.16988506031266903,0.183,520,1170,8,0.01833401620388031,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,generic_low_rank_context_adapter,0.27,2.253388250935877,0.15823966624927246,0.183,520,1170,1,0.020208070054650307,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,structured_group_router,0.253,2.2474378700398083,0.1377931298723979,0.183,520,1170,8,0.019458122551441193,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,twistedmerge_hodge_lr,0.253,2.2474378700398083,0.1377931298723979,nan,0,1170,1,0.01733284443616867,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,canonicalize_pool_retransport,0.3525,2.22434519590453,0.23646032157731892,nan,0,1170,1,0.019541941583156586,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,random_group_law_control,0.2365,2.256876999365907,0.12189053064761313,nan,0,1170,1,0.017875107005238533,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,wrong_action_control,0.247,2.2560011724252007,0.13266063631009492,nan,0,1170,1,0.018167076632380486,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s0,CIFAR10,0,ensemble_reference,0.276,2.2541170658247727,0.1654171349097321,nan,0,1170,8,0.018040882423520088,1009.5625,500,500,2000,True,38ac62ca4cc3e07a72f838b778992a1ebdc06cbf6b9373b8c222a4ff1135da75
CIFAR10_s1,CIFAR10,1,context_blind_synchronization,0.229,2.258289683025043,0.11384418308376469,0.1905,520,1170,1,0.024999957531690598,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,generic_image_context_predictor,0.266,2.255468397298855,0.15498692663123076,0.1905,520,1170,1,0.022249994799494743,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,generic_mixture_of_experts,0.266,2.255468397298855,0.15498692663123076,0.1905,520,1170,8,0.018584076315164566,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,generic_low_rank_context_adapter,0.254,2.256444676496067,0.14173884915114074,0.1905,520,1170,1,0.018582912161946297,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,structured_group_router,0.2635,2.246394381072213,0.14771800198710616,0.1905,520,1170,8,0.03658304922282696,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
