setting_id,dataset,architecture,model_count,relation,seed,method,accuracy,loss,ece,merge_degradation,calibration_samples,selector_validation_samples,test_samples,training_examples_per_local_model,training_time_seconds,inference_time_seconds,trainable_parameters,stored_parameters,branch_count,peak_memory_mb,lift_activated,leakage_hash_passed,logits_sha256
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,weight_average,0.8815,0.39813217520713806,0.012223708853125551,0.0,500,500,2000,5000,1.2668897900730371,0.03943524998612702,0,50890,1,723.59375,False,True,6e7cade8f128e60e7d69a463a91787c9fb63ca01b974b171ccead62d78ed9dba
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,strict_synchronization,0.894,0.38574127789295537,0.04775980334129446,-0.012500000000000067,500,500,2000,5000,1.2668897900730371,0.03943524998612702,0,50890,1,723.59375,False,True,6e7cade8f128e60e7d69a463a91787c9fb63ca01b974b171ccead62d78ed9dba
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,generic_low_rank_correction,0.811,0.6800709411536769,0.11639740999130542,0.0704999999999999,500,500,2000,5000,1.2668897900730371,0.03943524998612702,110,50890,1,723.59375,False,True,6e7cade8f128e60e7d69a463a91787c9fb63ca01b974b171ccead62d78ed9dba
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,twistedmerge_hodge_lr,0.894,0.38574127789295537,0.04775980334129446,-0.012500000000000067,500,500,2000,5000,1.2668897900730371,0.03943524998612702,110,50890,1,723.59375,False,True,6e7cade8f128e60e7d69a463a91787c9fb63ca01b974b171ccead62d78ed9dba
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,ensemble_reference,0.8815,0.39916205406188965,0.01168502759933472,0.0,500,500,2000,5000,1.2668897900730371,0.03943524998612702,0,203560,4,723.59375,False,True,6e7cade8f128e60e7d69a463a91787c9fb63ca01b974b171ccead62d78ed9dba
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,weight_average,0.8865,0.3791019022464752,0.01674417258799075,-0.0020000000000000018,500,500,2000,5000,1.2021480011753738,0.03859862615354359,0,50890,1,723.59375,False,True,505b515fc0ec956157e2ba1d16626868e0669b22982321a02e5d5c2afca159f0
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,strict_synchronization,0.897,0.3637540729694807,0.046992708892784105,-0.012500000000000067,500,500,2000,5000,1.2021480011753738,0.03859862615354359,0,50890,1,723.59375,False,True,505b515fc0ec956157e2ba1d16626868e0669b22982321a02e5d5c2afca159f0
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,generic_low_rank_correction,0.7945,0.6714688455021232,0.06663472900905111,0.08999999999999997,500,500,2000,5000,1.2021480011753738,0.03859862615354359,110,50890,1,723.59375,False,True,505b515fc0ec956157e2ba1d16626868e0669b22982321a02e5d5c2afca159f0
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,twistedmerge_hodge_lr,0.897,0.3637540729694807,0.046992708892784105,-0.012500000000000067,500,500,2000,5000,1.2021480011753738,0.03859862615354359,110,50890,1,723.59375,False,True,505b515fc0ec956157e2ba1d16626868e0669b22982321a02e5d5c2afca159f0
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,ensemble_reference,0.8845,0.3806626498699188,0.0155792307406664,0.0,500,500,2000,5000,1.2021480011753738,0.03859862615354359,0,203560,4,723.59375,False,True,505b515fc0ec956157e2ba1d16626868e0669b22982321a02e5d5c2afca159f0
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,weight_average,0.8875,0.3917714059352875,0.01704371073842048,-0.0020000000000000018,500,500,2000,5000,1.2564019591081887,0.041885125217959285,0,50890,1,723.59375,False,True,2ad78d534097a7826dd6b8b14d75b96e1dc3a73c83cbe26a153a109d3751e024
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,strict_synchronization,0.887,0.38505612596768424,0.04799528155080473,-0.0015000000000000568,500,500,2000,5000,1.2564019591081887,0.041885125217959285,0,50890,1,723.59375,False,True,2ad78d534097a7826dd6b8b14d75b96e1dc3a73c83cbe26a153a109d3751e024
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,generic_low_rank_correction,0.7885,0.6654346887212396,0.043976096884055405,0.09699999999999998,500,500,2000,5000,1.2564019591081887,0.041885125217959285,110,50890,1,723.59375,False,True,2ad78d534097a7826dd6b8b14d75b96e1dc3a73c83cbe26a153a109d3751e024
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,twistedmerge_hodge_lr,0.887,0.38505612596768424,0.04799528155080473,-0.0015000000000000568,500,500,2000,5000,1.2564019591081887,0.041885125217959285,110,50890,1,723.59375,False,True,2ad78d534097a7826dd6b8b14d75b96e1dc3a73c83cbe26a153a109d3751e024
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,ensemble_reference,0.8855,0.3927234411239624,0.020246302604675265,0.0,500,500,2000,5000,1.2564019591081887,0.041885125217959285,0,203560,4,723.59375,False,True,2ad78d534097a7826dd6b8b14d75b96e1dc3a73c83cbe26a153a109d3751e024
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,weight_average,0.8905,0.38126441836357117,0.010959582448005658,0.0,500,500,2000,5000,1.2702903752215207,0.037585458951070905,0,50890,1,723.59375,False,True,c1843cf6e12658953f014f607203eedc0765265f87bd826f1fe926e8037f8c6d
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,strict_synchronization,0.8915,0.3759448867157825,0.03448481750179992,-0.0010000000000000009,500,500,2000,5000,1.2702903752215207,0.037585458951070905,0,50890,1,723.59375,False,True,c1843cf6e12658953f014f607203eedc0765265f87bd826f1fe926e8037f8c6d
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,generic_low_rank_correction,0.823,0.6713271598839596,0.12617280293124936,0.0675,500,500,2000,5000,1.2702903752215207,0.037585458951070905,110,50890,1,723.59375,False,True,c1843cf6e12658953f014f607203eedc0765265f87bd826f1fe926e8037f8c6d
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,twistedmerge_hodge_lr,0.8915,0.3759448867157825,0.03448481750179992,-0.0010000000000000009,500,500,2000,5000,1.2702903752215207,0.037585458951070905,110,50890,1,723.59375,False,True,c1843cf6e12658953f014f607203eedc0765265f87bd826f1fe926e8037f8c6d
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,ensemble_reference,0.8905,0.3849680423736572,0.0090744483023882,0.0,500,500,2000,5000,1.2702903752215207,0.037585458951070905,0,203560,4,723.59375,False,True,c1843cf6e12658953f014f607203eedc0765265f87bd826f1fe926e8037f8c6d
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,weight_average,0.3735,1.6788886785507202,0.12119603214412927,0.446,500,500,2000,5000,1.13394970796071,0.0396800828166306,0,50890,1,723.59375,False,True,bc9ebd375c0ab624009926ed291999261f702ca0c85d3dc044f80e6dd65e0dba
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,strict_synchronization,0.8045,0.5876664310835208,0.07539549851812519,0.015000000000000013,500,500,2000,5000,1.13394970796071,0.0396800828166306,0,50890,1,723.59375,False,True,bc9ebd375c0ab624009926ed291999261f702ca0c85d3dc044f80e6dd65e0dba
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,generic_low_rank_correction,0.765,0.9520576625271594,0.2074232961169464,0.05449999999999999,500,500,2000,5000,1.13394970796071,0.0396800828166306,110,50890,1,723.59375,False,True,bc9ebd375c0ab624009926ed291999261f702ca0c85d3dc044f80e6dd65e0dba
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,twistedmerge_hodge_lr,0.8045,0.5876664310835208,0.07539549851812519,0.015000000000000013,500,500,2000,5000,1.13394970796071,0.0396800828166306,110,50890,1,723.59375,False,True,bc9ebd375c0ab624009926ed291999261f702ca0c85d3dc044f80e6dd65e0dba
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,ensemble_reference,0.8195,0.5698930025100708,0.0975269635617733,0.0,500,500,2000,5000,1.13394970796071,0.0396800828166306,0,203560,4,723.59375,False,True,bc9ebd375c0ab624009926ed291999261f702ca0c85d3dc044f80e6dd65e0dba
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,weight_average,0.6265,1.4330954551696777,0.3169997870624065,0.14500000000000002,500,500,2000,5000,1.0873771246988326,0.023650958901271224,0,50890,1,723.59375,False,True,3c47b71496de278671930231605add5014cf82462136390d6f456a737874175b
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,strict_synchronization,0.7275,0.7597374222880842,0.03501504105615238,0.04399999999999993,500,500,2000,5000,1.0873771246988326,0.023650958901271224,0,50890,1,723.59375,False,True,3c47b71496de278671930231605add5014cf82462136390d6f456a737874175b
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,generic_low_rank_correction,0.7155,1.0463160089867214,0.14782749908136805,0.05599999999999994,500,500,2000,5000,1.0873771246988326,0.023650958901271224,110,50890,1,723.59375,False,True,3c47b71496de278671930231605add5014cf82462136390d6f456a737874175b
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,twistedmerge_hodge_lr,0.7275,0.7597374222880842,0.03501504105615238,0.04399999999999993,500,500,2000,5000,1.0873771246988326,0.023650958901271224,110,50890,1,723.59375,False,True,3c47b71496de278671930231605add5014cf82462136390d6f456a737874175b
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,ensemble_reference,0.7715,0.6708943843841553,0.046710823990404625,0.0,500,500,2000,5000,1.0873771246988326,0.023650958901271224,0,203560,4,723.59375,False,True,3c47b71496de278671930231605add5014cf82462136390d6f456a737874175b
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,weight_average,0.5915,1.394153118133545,0.28697355776280165,0.1955,500,500,2000,5000,1.0269232930149883,0.03703045821748674,0,50890,1,723.59375,False,True,26fa7a49fa17b051e448dc51210305bd3ace7df4af5751d36c50e4c7593ff6f7
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,strict_synchronization,0.7705,0.6444204746196801,0.04546661189143439,0.01650000000000007,500,500,2000,5000,1.0269232930149883,0.03703045821748674,0,50890,1,723.59375,False,True,26fa7a49fa17b051e448dc51210305bd3ace7df4af5751d36c50e4c7593ff6f7
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,generic_low_rank_correction,0.7195,1.0015933885081794,0.13930649046007593,0.0675,500,500,2000,5000,1.0269232930149883,0.03703045821748674,110,50890,1,723.59375,False,True,26fa7a49fa17b051e448dc51210305bd3ace7df4af5751d36c50e4c7593ff6f7
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,twistedmerge_hodge_lr,0.7705,0.6444204746196801,0.04546661189143439,0.01650000000000007,500,500,2000,5000,1.0269232930149883,0.03703045821748674,110,50890,1,723.59375,False,True,26fa7a49fa17b051e448dc51210305bd3ace7df4af5751d36c50e4c7593ff6f7
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,ensemble_reference,0.787,0.6149733662605286,0.06544972524046896,0.0,500,500,2000,5000,1.0269232930149883,0.03703045821748674,0,203560,4,723.59375,False,True,26fa7a49fa17b051e448dc51210305bd3ace7df4af5751d36c50e4c7593ff6f7
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,weight_average,0.3895,1.5533114671707153,0.12385438442975284,0.38999999999999996,500,500,2000,5000,1.0970470828469843,0.04676362522877753,0,50890,1,723.59375,False,True,bb58bcee7e04f16e5367cc077f54c0f278297bb27706efc2ce527b30d1303af7
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,strict_synchronization,0.738,0.7118692535375165,0.0221262640245935,0.04149999999999998,500,500,2000,5000,1.0970470828469843,0.04676362522877753,0,50890,1,723.59375,False,True,bb58bcee7e04f16e5367cc077f54c0f278297bb27706efc2ce527b30d1303af7
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,generic_low_rank_correction,0.719,1.0345768371561084,0.15853480027392453,0.0605,500,500,2000,5000,1.0970470828469843,0.04676362522877753,110,50890,1,723.59375,False,True,bb58bcee7e04f16e5367cc077f54c0f278297bb27706efc2ce527b30d1303af7
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,twistedmerge_hodge_lr,0.738,0.7118692535375165,0.0221262640245935,0.04149999999999998,500,500,2000,5000,1.0970470828469843,0.04676362522877753,110,50890,1,723.59375,False,True,bb58bcee7e04f16e5367cc077f54c0f278297bb27706efc2ce527b30d1303af7
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,ensemble_reference,0.7795,0.6424821615219116,0.05100238297134638,0.0,500,500,2000,5000,1.0970470828469843,0.04676362522877753,0,203560,4,723.59375,False,True,bb58bcee7e04f16e5367cc077f54c0f278297bb27706efc2ce527b30d1303af7
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,weight_average,0.437,1.5081830024719238,0.1964016642048955,0.3665,500,500,2000,5000,1.1019465008284897,0.03658616612665355,0,50890,1,723.59375,False,True,b76345f953306805799f787284107b75eab2f509b77bf307bed54c41a2474300
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,strict_synchronization,0.7885,0.6413259499108734,0.070859464212392,0.015000000000000013,500,500,2000,5000,1.1019465008284897,0.03658616612665355,0,50890,1,723.59375,False,True,b76345f953306805799f787284107b75eab2f509b77bf307bed54c41a2474300
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,generic_low_rank_correction,0.7445,0.953502633620073,0.16269676392379445,0.05899999999999994,500,500,2000,5000,1.1019465008284897,0.03658616612665355,110,50890,1,723.59375,False,True,b76345f953306805799f787284107b75eab2f509b77bf307bed54c41a2474300
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,twistedmerge_hodge_lr,0.7885,0.6413259499108734,0.070859464212392,0.015000000000000013,500,500,2000,5000,1.1019465008284897,0.03658616612665355,110,50890,1,723.59375,False,True,b76345f953306805799f787284107b75eab2f509b77bf307bed54c41a2474300
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,ensemble_reference,0.8035,0.611594557762146,0.07599189110100271,0.0,500,500,2000,5000,1.1019465008284897,0.03658616612665355,0,203560,4,723.59375,False,True,b76345f953306805799f787284107b75eab2f509b77bf307bed54c41a2474300
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,weight_average,0.5655,1.4176619052886963,0.25256249055266383,0.22599999999999998,500,500,2000,5000,1.1519442917779088,0.03719929186627269,0,50890,1,723.59375,False,True,78694d53357bf151e926aee13f2464dc59799cb06474bac24340d5a2cd947639
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,strict_synchronization,0.782,0.656388193685722,0.0874483375450777,0.009499999999999953,500,500,2000,5000,1.1519442917779088,0.03719929186627269,0,50890,1,723.59375,False,True,78694d53357bf151e926aee13f2464dc59799cb06474bac24340d5a2cd947639
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,generic_low_rank_correction,0.737,1.048096275912737,0.1998356327471851,0.05449999999999999,500,500,2000,5000,1.1519442917779088,0.03719929186627269,110,50890,1,723.59375,False,True,78694d53357bf151e926aee13f2464dc59799cb06474bac24340d5a2cd947639
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,twistedmerge_hodge_lr,0.782,0.656388193685722,0.0874483375450777,0.009499999999999953,500,500,2000,5000,1.1519442917779088,0.03719929186627269,110,50890,1,723.59375,False,True,78694d53357bf151e926aee13f2464dc59799cb06474bac24340d5a2cd947639
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,ensemble_reference,0.7915,0.6145914793014526,0.08433875629305841,0.0,500,500,2000,5000,1.1519442917779088,0.03719929186627269,0,203560,4,723.59375,False,True,78694d53357bf151e926aee13f2464dc59799cb06474bac24340d5a2cd947639
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,weight_average,0.423,1.5423518419265747,0.16165314866602423,0.3495,500,500,2000,5000,1.1189793329685926,0.035126917995512486,0,50890,1,723.59375,False,True,422180a650f1393849118247fac5534989911e925c5681f5217d0b976b427e1b
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,strict_synchronization,0.7645,0.6598937084128987,0.07650332444716296,0.008000000000000007,500,500,2000,5000,1.1189793329685926,0.035126917995512486,0,50890,1,723.59375,False,True,422180a650f1393849118247fac5534989911e925c5681f5217d0b976b427e1b
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,generic_low_rank_correction,0.7545,1.0163702002269617,0.23081119641804,0.018000000000000016,500,500,2000,5000,1.1189793329685926,0.035126917995512486,110,50890,1,723.59375,False,True,422180a650f1393849118247fac5534989911e925c5681f5217d0b976b427e1b
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,twistedmerge_hodge_lr,0.7645,0.6598937084128987,0.07650332444716296,0.008000000000000007,500,500,2000,5000,1.1189793329685926,0.035126917995512486,110,50890,1,723.59375,False,True,422180a650f1393849118247fac5534989911e925c5681f5217d0b976b427e1b
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,ensemble_reference,0.7725,0.6408681869506836,0.08428832868486641,0.0,500,500,2000,5000,1.1189793329685926,0.035126917995512486,0,203560,4,723.59375,False,True,422180a650f1393849118247fac5534989911e925c5681f5217d0b976b427e1b
