setting_id,null,permutation,residual,observed_residual,threshold_95
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,0,0.1650758405992721,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,1,0.11869158931553643,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,2,0.15236100497575195,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,3,0.44771171631027923,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,4,0.0671831562920784,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,5,0.15085768274688052,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,6,0.16962408793893508,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,7,0.19028385709149379,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,8,0.11182338901723846,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,9,0.05365270128666566,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,10,0.19395182630832927,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,11,0.4464389987151035,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,12,0.13572915821405876,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,13,0.12791020472425213,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,14,0.05130614527033832,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,15,0.17790852897810822,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,16,0.1629947679452597,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,17,0.05539501800562953,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,18,0.45366616638614515,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,19,0.07494460356197838,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,20,0.13751873400515383,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,21,0.1502636568485641,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,22,0.05888403541340326,0.05888403541340326,0.4536661663861451
