branch_count,latency_ms,stored_parameters,peak_memory_mb
1,0.05223951302468777,8192,90.046875
2,0.12351025361567736,16384,90.046875
4,0.2508334582671523,32768,90.046875
8,0.4823849885724485,65536,90.546875
16,0.943582970649004,131072,91.6875
