method,accuracy,loss,ece,worst_domain_accuracy,trainable_parameters,stored_parameters,branch_count,latency_seconds,peak_memory_mb,training_time_seconds,base_model,base_revision,leakage_hash_passed,logits_sha256
raw_factor_average,0.646875,0.6461759209632874,0.09457993600517507,0.475,4354,4354,1,1.1768482509069145,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
delta_matrix_average,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.10151195898652077,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
gauge_aligned_factor_merge,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.11398504092358053,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
pairwise_procrustes,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.10002824990078807,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
synchronized_basis_merge,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.10561199998483062,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
svd_low_rank_merge,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.11811953992582858,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
task_arithmetic,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.1294477079063654,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
ties,0.646875,0.6434038877487183,0.07108251210302115,0.475,4354,4354,1,0.18443516781553626,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
dare,0.646875,0.6448661088943481,0.09332691747695211,0.475,4354,4354,1,0.0995825007557869,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
twistedmerge_hodge_lr,0.646875,0.6448667645454407,0.09080094732344152,0.475,4354,4354,1,0.10501854191534221,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
generic_router,0.628125,0.6264426112174988,0.05224779751151801,0.4875,20,4354,4,nan,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
structured_router,0.628125,0.6264426112174988,0.05224779751151801,0.4875,20,4354,4,nan,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
ensemble_reference,0.646875,0.6449289321899414,0.08681299071758986,0.475,0,17416,4,nan,444.5,12.409504250157624,google/bert_uncased_L-2_H-128_A-2,30b0a37ccaaa32f332884b96992754e246e48c5f,True,aeb4d07af4833f07dd8ea8a1aadb712c096ef3cf82fe40a826834eb226b861ae
