setting_id,strict_accuracy,generic_low_rank_accuracy,hodge_lr_accuracy,delta_vs_strict,delta_vs_generic,residual_before,residual_after
FashionMNIST_mlp_4_independent_seeds_s10,0.8045,0.765,0.8045,0.0,0.03949999999999998,0.007546045343293409,0.007546045343293409
FashionMNIST_mlp_4_independent_seeds_s11,0.7275,0.7155,0.7275,0.0,0.01200000000000001,0.012008157246018506,0.012008157246018506
FashionMNIST_mlp_4_independent_seeds_s12,0.7705,0.7195,0.7705,0.0,0.050999999999999934,0.017960097933979603,0.017960097933979603
FashionMNIST_mlp_4_independent_seeds_s13,0.738,0.719,0.738,0.0,0.019000000000000017,0.01763492500033989,0.01763492500033989
FashionMNIST_mlp_4_independent_seeds_s14,0.7885,0.7445,0.7885,0.0,0.04399999999999993,0.01841712521207164,0.01841712521207164
FashionMNIST_mlp_4_independent_seeds_s15,0.782,0.737,0.782,0.0,0.04500000000000004,0.016198988583688026,0.016198988583688026
FashionMNIST_mlp_4_independent_seeds_s16,0.7645,0.7545,0.7645,0.0,0.010000000000000009,0.018074655133949243,0.018074655133949243
MNIST_mlp_4_shared_base_specialization_s10,0.8885,0.7735,0.8885,0.0,0.11499999999999999,0.05888403541340326,0.05888403541340326
MNIST_mlp_4_shared_base_specialization_s11,0.902,0.79,0.902,0.0,0.11199999999999999,0.07421096026369793,0.07421096026369793
MNIST_mlp_4_shared_base_specialization_s12,0.904,0.831,0.904,0.0,0.07300000000000006,0.0680942321458607,0.0680942321458607
MNIST_mlp_4_shared_base_specialization_s13,0.894,0.811,0.894,0.0,0.08299999999999996,0.08010034016984104,0.08010034016984104
MNIST_mlp_4_shared_base_specialization_s14,0.897,0.7945,0.897,0.0,0.10250000000000004,0.07732107035519108,0.07732107035519108
MNIST_mlp_4_shared_base_specialization_s15,0.887,0.7885,0.887,0.0,0.09850000000000003,0.06882591958251395,0.06882591958251395
MNIST_mlp_4_shared_base_specialization_s16,0.8915,0.823,0.8915,0.0,0.0685,0.06501386096098577,0.06501386096098577
