dataset,best_generic,mean_delta,ci_low,ci_high
CIFAR10,generic_image_context_predictor,-0.017666666666666664,-0.027500000000000024,-0.0025000000000000022
FashionMNIST,generic_image_context_predictor,0.1765,0.135,0.21299999999999997
