seed,dataset,mesh_count,category_count,method,mean_geodesic_error_degrees,pose_accuracy_under_10deg,oracle_branch_error_degrees,trainable_parameters,stored_parameters,branch_count,inference_seconds,peak_memory_mb,prediction_sha256,target_permutation_hash_passed
1,ModelNet10,40,10,ensemble_reference,6.191635646338639,0.925,0.0,0,16,4,2.6604208750650287,193.96875,03a2186a9bc5c37b8c40a131973bd3f547c68f53c2331b92e35a02356f998ed6,True
2,ModelNet10,40,10,raw_model_average,120.0,0.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,so3_synchronization,127.08664557428138,0.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,quaternion_sign_synchronization,120.0,0.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,strict_sign_invariant_representation,132.32191533431597,0.0,4.268868231257969e-08,0,16,4,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,generic_context_conditioned_pose_model,4.268868231257969e-08,1.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,generic_mixture_of_experts,0.1545072630761481,1.0,4.268868231257969e-08,0,16,4,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,two_sheet_lift,0.0,1.0,4.268868231257969e-08,0,8,2,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,sign_invariant_quadratic_pooling,132.32191533431597,0.0,4.268868231257969e-08,0,16,4,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,twistedmerge_central_rank2_correction,4.268868231257969e-08,1.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,random_two_sheet_control,117.0,0.35,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,wrong_sign_control,4.268868231257969e-08,1.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,parameter_matched_control,4.268868231257969e-08,1.0,4.268868231257969e-08,0,4,1,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
2,ModelNet10,40,10,ensemble_reference,0.1545072630761481,1.0,4.268868231257969e-08,0,16,4,4.457172666909173,204.71875,64185992fc57576b1d5d40a06cfd9857194e15fcef44bf7b75b211112eee1146,True
