seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
0,1e-05,eval,stem,0.0,0.0
0,1e-05,eval,layer1.0.after_residual,5.7220458984375e-06,5.385668941926269e-07
0,1e-05,eval,layer1.1.after_residual,7.62939453125e-06,8.158528999047121e-07
0,1e-05,eval,layer2.0.after_residual,7.748603820800781e-06,6.269751224863285e-07
0,1e-05,eval,layer2.1.after_residual,1.049041748046875e-05,9.974102113119443e-07
0,1e-05,eval,layer3.0.after_residual,8.940696716308594e-06,7.336084308917634e-07
0,1e-05,eval,layer3.1.after_residual,1.049041748046875e-05,9.52708091972454e-07
0,1e-05,eval,layer4.0.after_residual,4.5299530029296875e-06,5.130041245138273e-07
0,1e-05,eval,layer4.1.after_residual,4.76837158203125e-06,5.236475999481627e-07
0,1e-05,train,stem,0.0,0.0
0,1e-05,train,layer1.0.after_residual,6.198883056640625e-06,8.681790859554894e-07
0,1e-05,train,layer1.1.after_residual,1.0013580322265625e-05,1.3458684406941757e-06
0,1e-05,train,layer2.0.after_residual,1.1444091796875e-05,9.87915427685948e-07
0,1e-05,train,layer2.1.after_residual,1.621246337890625e-05,1.6677056464686757e-06
0,1e-05,train,layer3.0.after_residual,2.1159648895263672e-05,1.6894551890800358e-06
0,1e-05,train,layer3.1.after_residual,3.0517578125e-05,2.689742814254714e-06
0,1e-05,train,layer4.0.after_residual,9.78708267211914e-05,4.772051397594623e-06
0,1e-05,train,layer4.1.after_residual,0.0002759695053100586,1.4818982890574262e-05
0,0.1,eval,stem,0.0,0.0
0,0.1,eval,layer1.0.after_residual,3.159046173095703e-06,3.781539987812721e-07
0,0.1,eval,layer1.1.after_residual,6.4373016357421875e-06,5.568422238866333e-07
0,0.1,eval,layer2.0.after_residual,6.198883056640625e-06,3.9272237017939915e-07
0,0.1,eval,layer2.1.after_residual,7.62939453125e-06,6.143754376353172e-07
0,0.1,eval,layer3.0.after_residual,5.0067901611328125e-06,4.1539169615134597e-07
0,0.1,eval,layer3.1.after_residual,5.245208740234375e-06,5.261142632662086e-07
0,0.1,eval,layer4.0.after_residual,3.4570693969726562e-06,2.797282832034398e-07
0,0.1,eval,layer4.1.after_residual,3.337860107421875e-06,2.874068343317049e-07
0,0.1,train,stem,0.0,0.0
0,0.1,train,layer1.0.after_residual,7.033348083496094e-06,7.603555900459469e-07
0,0.1,train,layer1.1.after_residual,1.0728836059570312e-05,1.203384044856648e-06
0,0.1,train,layer2.0.after_residual,1.1682510375976562e-05,9.978482466976857e-07
0,0.1,train,layer2.1.after_residual,1.5735626220703125e-05,1.656223503232468e-06
0,0.1,train,layer3.0.after_residual,1.895427703857422e-05,1.655401774769416e-06
0,0.1,train,layer3.1.after_residual,2.086162567138672e-05,2.5308402200607816e-06
0,0.1,train,layer4.0.after_residual,2.9474496841430664e-05,2.2781459847465158e-06
0,0.1,train,layer4.1.after_residual,2.8133392333984375e-05,3.1730864975543227e-06
1,1e-05,eval,stem,0.0,0.0
1,1e-05,eval,layer1.0.after_residual,4.76837158203125e-06,4.618133857547946e-07
1,1e-05,eval,layer1.1.after_residual,8.106231689453125e-06,7.463380029548716e-07
1,1e-05,eval,layer2.0.after_residual,7.808208465576172e-06,6.81446863382007e-07
1,1e-05,eval,layer2.1.after_residual,1.1920928955078125e-05,1.078855916603061e-06
