seed,epsilon,strategy,strategy_label,mode,max_absolute_logit_error,mean_absolute_logit_error,relative_output_error,prediction_disagreement,evaluation_seconds,purported_exact,exactness_tolerance,exactness_status,batches,batch_size,parameter_count,parameter_count_unchanged,capacity
0,0.1,affine,scaled Conv and affine compensation with original frozen statistics,eval,9.5367431640625e-07,2.2061867355205322e-07,9.906225080419967e-07,0.0,0.04083445807918906,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,affine,scaled Conv and affine compensation with original frozen statistics,train,0.798144519329071,0.27413082122802734,0.7448617131949616,0.375,0.02995112515054643,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",eval,1.0132789611816406e-06,2.3095635981462692e-07,1.037040812204114e-06,0.0,0.026803958928212523,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",train,0.7297458052635193,0.21420224010944366,0.5820252054233663,0.5,0.03023937507532537,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,eval,0.2139957845211029,0.0724416971206665,0.3252778857432555,0.625,0.028438207926228642,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,train,0.6236874461174011,0.1845559924840927,0.5014711301935241,0.375,0.031937792198732495,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,eval,0.14424753189086914,0.049964576959609985,0.22435106577371391,0.5,0.026647041086107492,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,train,0.6236874461174011,0.1845559924840927,0.5014711301935241,0.375,0.03058420796878636,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
0,0.1,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,eval,5.960464477539063e-08,5.343463449491992e-09,3.221999558840108e-08,0.0,0.0012451671063899994,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
0,0.1,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,train,5.960464477539063e-08,5.343463449491992e-09,3.221999558840108e-08,0.0,0.0012688329443335533,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
1,1e-05,permutation,exact compatible channel permutation,eval,2.3543834686279297e-06,5.895504955333308e-07,1.810645355809218e-06,0.0,0.024180166888982058,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,permutation,exact compatible channel permutation,train,3.4689903259277344e-05,1.1073891073465347e-05,2.40049302801778e-05,0.0,0.02778958296403289,True,0.0002,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,frozen,scaled Conv; original frozen statistics and affine parameters,eval,0.6398749351501465,0.22271497547626495,0.6840089849309005,0.625,0.023620042018592358,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,frozen,scaled Conv; original frozen statistics and affine parameters,train,0.0008523464202880859,0.00017649083747528493,0.00038258009046486253,0.125,0.02625008299946785,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,running,scaled Conv and running statistics only,eval,0.0001995861530303955,7.485835521947592e-05,0.00022990725009745634,0.0,0.023991917027160525,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,running,scaled Conv and running statistics only,train,0.0008523464202880859,0.00017649083747528493,0.00038258009046486253,0.125,0.0265452079474926,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,affine,scaled Conv and affine compensation with original frozen statistics,eval,1.430511474609375e-06,4.528090471467294e-07,1.3906808738120554e-06,0.0,0.023382874904200435,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,affine,scaled Conv and affine compensation with original frozen statistics,train,1.9403131008148193,0.5453153848648071,1.1820829469556713,0.75,0.03167566703632474,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",eval,1.8030405044555664e-06,4.180706980605464e-07,1.2839914029051134e-06,0.0,0.025920792017132044,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",train,0.007635295391082764,0.0016853964189067483,0.0036534424315641553,0.0,0.03383629210293293,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,eval,0.46865224838256836,0.13771097362041473,0.4229421172892096,0.625,0.027977624908089638,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,train,0.0008523464202880859,0.00017649083747528493,0.00038258009046486253,0.125,0.02634824998676777,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,eval,0.00019994378089904785,7.486245885957032e-05,0.000229919853321328,0.0,0.023845833027735353,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,1e-05,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,train,0.0008523464202880859,0.00017649083747528493,0.00038258009046486253,0.125,0.026902625104412436,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
