evidence_label,mode,corpus_seed,transition_method,source_chart,target_chart,fit_residual,heldout_overlap_residual,condition_number,inverse_consistency_residual,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high,transformation_uncertainty
natural_measured,smoke,0,weight_based,0,1,1.0020709037780762,1.0650984048843384,1.0744831562042236,8.314778483509144e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,2,0.978226363658905,1.0747597217559814,1.056796669960022,7.971751188051712e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,3,1.0520386695861816,1.0411375761032104,1.065175175666809,8.048626227719069e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,4,0.5375077724456787,0.5661695003509521,1.0585120916366577,8.358505851902009e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,5,1.0289944410324097,1.0529954433441162,1.066949725151062,8.07708602224011e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,6,0.9701294302940369,1.0582355260849,1.06141996383667,7.969741773194983e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,0,7,1.0024536848068237,1.0515456199645996,1.0589752197265625,7.972386129040387e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,0,0.953405499458313,0.9824836850166321,1.074483036994934,8.180654731404502e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,2,0.9491437077522278,0.9485073089599609,1.0709280967712402,7.917022912806715e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,3,0.8946493268013,0.8621735572814941,1.0766479969024658,8.139481337821053e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,4,0.9374176263809204,0.9440456628799438,1.069333553314209,8.253987857642642e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,5,0.858668327331543,0.8249906301498413,1.0734968185424805,8.209752309085161e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,6,0.946888267993927,0.955889105796814,1.071175456047058,8.079070425992541e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,1,7,0.6142762899398804,0.6452168226242065,1.0715714693069458,8.022282145248028e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,2,0,0.9713072776794434,0.9476447701454163,1.0567951202392578,7.948221423248469e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,2,1,0.990601122379303,0.9066632986068726,1.0709283351898193,7.986278660609969e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,2,3,0.9839304685592651,0.9106566309928894,1.05806303024292,7.767542342662637e-07,0.0,0.0,0.0,0.0
natural_measured,smoke,0,weight_based,2,4,0.9381014704704285,0.914421796798706,1.049888253211975,7.997600164344476e-07,0.0,0.0,0.0,0.0
