evidence_label,corpus_seed,transition_method,triangle,scalar_real,scalar_imag,centrality_residual,normalized_centrality_residual,eigenvalue_dispersion,mean_commutator_with_local_transitions,estimated_root_order,estimated_root_exponent,root_residual,root_margin,root_confidence,bootstrap_centrality_mean,bootstrap_centrality_ci_low,bootstrap_centrality_ci_high,bootstrap_phase_instability,gauge_invariance_delta
natural_measured,0,weight_based,0-1-2,1.0000000819563866,0.0,1.2543691454051975e-06,1.2543691454061834e-06,6.843343771186624e-07,1.1292237697294435e-07,1,0,1.2570436751133827e-06,0.999998701978138,0.9999987429562733,1.2543691454051975e-06,1.2543691454051975e-06,1.2543691454051975e-06,-0.0,6.560517564809894e-07
natural_measured,0,weight_based,0-1-3,1.0000001192092896,0.0,1.275722485578531e-06,1.2757224855795682e-06,6.781813065152974e-07,1.2972065275919575e-07,1,0,1.2812801065878266e-06,0.9999986591152615,0.999998718719817,1.2757224855785312e-06,1.275722485578531e-06,1.275722485578531e-06,-0.0,7.843553372340415e-07
natural_measured,0,weight_based,0-1-4,1.0000001275911927,0.0,1.252941215713441e-06,1.2529412157144244e-06,7.167242589155895e-07,1.175514197728132e-07,1,0,1.259420977409663e-06,0.9999986767834403,0.9999987405789422,1.2529412157134412e-06,1.252941215713441e-06,1.252941215713441e-06,-0.0,6.128105378226347e-07
natural_measured,0,weight_based,0-1-5,1.0000001415610313,0.0,1.2897924032673378e-06,1.28979240326841e-06,6.964082759764329e-07,1.2187485002154323e-07,1,0,1.2975376539611306e-06,0.9999986316818481,0.9999987024622542,1.289792403267338e-06,1.2897924032673378e-06,1.2897924032673378e-06,-0.0,8.723345998786952e-07
natural_measured,0,weight_based,0-1-6,1.0000000949949026,0.0,1.2594595737639267e-06,1.2594595737649251e-06,6.855033776921802e-07,1.2765744169688071e-07,1,0,1.2630369938181365e-06,0.999998689465563,0.9999987369629463,1.259459573763927e-06,1.2594595737639267e-06,1.2594595737639267e-06,-0.0,6.45142104021121e-07
natural_measured,0,weight_based,0-1-7,1.0000000530853868,0.0,1.269357724056671e-06,1.2693577240576925e-06,6.9821245288624e-07,1.268693391612682e-07,1,0,1.2704672721522017e-06,0.9999987029900375,0.9999987295326941,1.2693577240566708e-06,1.269357724056671e-06,1.269357724056671e-06,-0.0,8.041731130986186e-07
natural_measured,0,weight_based,0-2-3,0.9999999897554517,0.0,1.267783106691783e-06,1.2677831066928012e-06,6.992821164396004e-07,1.353589677169761e-07,1,0,1.2678244974701806e-06,0.9999987372977771,0.9999987321755089,1.2677831066917831e-06,1.267783106691783e-06,1.267783106691783e-06,-0.0,6.41983832507119e-07
natural_measured,0,weight_based,0-2-4,1.000000050291419,0.0,1.1715002476740494e-06,1.1715002476748526e-06,6.810754207446481e-07,1.0796074637450407e-07,1,0,1.1725792326635898e-06,0.9999988022750605,0.9999988274207378,1.1715002476740496e-06,1.1715002476740494e-06,1.1715002476740494e-06,-0.0,5.349930520428005e-07
natural_measured,0,weight_based,0-2-5,1.0000000670552254,0.0,1.2361013979020695e-06,1.236101397903013e-06,6.815225192667254e-07,1.2078202006802841e-07,1,0,1.2379188457011877e-06,0.9999987285535459,0.9999987620811128,1.23610139790207e-06,1.2361013979020695e-06,1.2361013979020695e-06,-0.0,7.008463945532608e-07
natural_measured,0,weight_based,0-2-6,1.000000100582838,0.0,1.2268108994578295e-06,1.2268108994587519e-06,6.756303410463235e-07,1.1629741233524068e-07,1,0,1.230927247364862e-06,0.9999987187813429,0.9999987690726907,1.2268108994578295e-06,1.2268108994578295e-06,1.2268108994578295e-06,-0.0,6.316573630071187e-07
natural_measured,0,weight_based,0-2-7,1.0000000484287739,0.0,1.218559476545412e-06,1.2185594765463157e-06,6.841747243038292e-07,1.2050972080552518e-07,1,0,1.2195214404802325e-06,0.9999987562641753,0.99999878047853,1.218559476545412e-06,1.218559476545412e-06,1.218559476545412e-06,-0.0,6.286935196790453e-07
natural_measured,0,weight_based,0-3-4,0.9999999832361937,0.0,1.2170593864913918e-06,1.217059386492293e-06,6.94627334455438e-07,1.1192359141075161e-07,1,0,1.217174833563089e-06,0.99999879120707,0.9999987828251766,1.217059386491392e-06,1.2170593864913918e-06,1.2170593864913918e-06,-0.0,6.636851103685556e-07
natural_measured,0,weight_based,0-3-5,0.9999999953433871,0.0,1.2359924613896728e-06,1.2359924613906166e-06,6.946253600417578e-07,1.1598225618009955e-07,1,0,1.2360012332743656e-06,0.9999987663270734,0.9999987639987696,1.2359924613896728e-06,1.2359924613896728e-06,1.2359924613896728e-06,-0.0,8.891385089495314e-07
natural_measured,0,weight_based,0-3-6,1.0000000325962901,0.0,1.3008340531699272e-06,1.3008340531710268e-06,7.110647469746464e-07,1.3394458570863727e-07,1,0,1.301242387853342e-06,0.9999986824594683,0.999998698757591,1.3008340531699272e-06,1.3008340531699272e-06,1.3008340531699272e-06,-0.0,6.674516140171503e-07
natural_measured,0,weight_based,0-3-7,0.9999999757856131,0.0,1.294106076433539e-06,1.294106076434622e-06,7.347593252197451e-07,1.3734394599396182e-07,1,0,1.294332597760515e-06,0.9999987177745966,0.9999987056674179,1.2941060764335386e-06,1.294106076433539e-06,1.294106076433539e-06,-0.0,7.648314348115522e-07
natural_measured,0,weight_based,0-4-5,1.0000000689178705,0.0,1.2471576537784732e-06,1.2471576537794422e-06,6.966149290606207e-07,1.2629714011122166e-07,1,0,1.2490604011018719e-06,0.9999987164806684,0.9999987509395558,1.2471576537784732e-06,1.2471576537784732e-06,1.2471576537784732e-06,-0.0,6.239278523513439e-07
natural_measured,0,weight_based,0-4-6,1.0000001192092896,0.0,1.2837870407504137e-06,1.2837870407514712e-06,6.70290761870433e-07,1.5666615484276137e-07,1,0,1.289309899646222e-06,0.9999986510854683,0.9999987106900236,1.2837870407504137e-06,1.2837870407504137e-06,1.2837870407504137e-06,-0.0,5.102414488697758e-07
natural_measured,0,weight_based,0-4-7,0.9999999785795808,0.0,1.2698342521534117e-06,1.2698342521544351e-06,7.284285726817302e-07,1.269769630393317e-07,1,0,1.2700149063381366e-06,0.9999987406953039,0.9999987299851073,1.269834252153412e-06,1.2698342521534117e-06,1.2698342521534117e-06,-0.0,5.35420782742976e-07
natural_measured,0,weight_based,0-5-6,1.0000000456348062,0.0,1.2892773432475805e-06,1.2892773432486516e-06,7.002571082946626e-07,1.2748508839065054e-07,1,0,1.29008472712236e-06,0.9999986870978719,0.9999987099152434,1.2892773432475807e-06,1.2892773432475805e-06,1.2892773432475805e-06,-0.0,6.791923307938248e-07
natural_measured,0,weight_based,0-5-7,1.0000000325962901,0.0,1.2604908496151422e-06,1.2604908496161428e-06,7.159135472331301e-07,1.3099079966748051e-07,1,0,1.260912249136818e-06,0.9999987227896068,0.9999987390877303,1.2604908496151422e-06,1.2604908496151422e-06,1.2604908496151422e-06,-0.0,8.36812496678388e-07
natural_measured,0,weight_based,0-6-7,1.0000000353902578,0.0,1.3353784239354993e-06,1.3353784239366894e-06,7.139031197789491e-07,1.4352075083934324e-07,1,0,1.3358472986735649e-06,0.9999986464575737,0.9999986641526777,1.3353784239354991e-06,1.3353784239354993e-06,1.3353784239354993e-06,-0.0,5.640072517160067e-07
natural_measured,0,weight_based,1-2-3,1.0000000800937414,0.0,1.1343986127235336e-06,1.1343986127242629e-06,6.670238698038423e-07,1.07084113259199e-07,1,0,1.1372225898809907e-06,0.9999988227305451,0.9999988627773646,1.1343986127235336e-06,1.1343986127235336e-06,1.1343986127235336e-06,-0.0,6.476051157085263e-07
natural_measured,0,weight_based,1-2-4,1.000000199303031,0.0,1.218052570842398e-06,1.2180525708433006e-06,7.100455354507648e-07,1.0865608451077996e-07,1,0,1.234250277559348e-06,0.9999986660982424,0.9999987657495994,1.218052570842398e-06,1.218052570842398e-06,1.218052570842398e-06,-0.0,5.686067097127886e-07
natural_measured,0,weight_based,1-2-5,1.000000223517418,0.0,1.16128833022432e-06,1.1612883302251018e-06,6.705332220523929e-07,1.0390344483214773e-07,1,0,1.1826033145942833e-06,0.999998705638021,0.9999988173965533,1.1612883302243202e-06,1.16128833022432e-06,1.16128833022432e-06,-0.0,5.760508622380452e-07
natural_measured,0,weight_based,1-2-6,1.000000238418579,0.0,1.242657157252146e-06,1.242657157253105e-06,6.786031231787627e-07,1.2567555022055137e-07,1,0,1.265322173292502e-06,0.9999986154685869,0.9999987346776759,1.2426571572521455e-06,1.242657157252146e-06,1.242657157252146e-06,-0.0,5.680389989356327e-07
natural_measured,0,weight_based,1-2-7,1.000000100582838,0.0,1.1696406366002766e-06,1.1696406366010756e-06,6.731199369512071e-07,1.1633574205559074e-07,1,0,1.1739574626294638e-06,0.9999987757511282,0.9999988260424784,1.1696406366002764e-06,1.1696406366002766e-06,1.1696406366002766e-06,-0.0,5.56197107331004e-07
natural_measured,0,weight_based,1-3-4,1.0000001583248377,0.0,1.2335051631063265e-06,1.2335051631072641e-06,7.118757599865529e-07,1.246477146261376e-07,1,0,1.2436244343451985e-06,0.9999986772131694,0.9999987563754672,1.2335051631063263e-06,1.2335051631063265e-06,1.2335051631063265e-06,-0.0,5.837364039331083e-07
natural_measured,0,weight_based,1-3-5,1.0000001657754183,0.0,1.1538892085670645e-06,1.153889208567832e-06,6.72380855546181e-07,1.085151656151798e-07,1,0,1.1657365851007706e-06,0.9999987513757306,0.9999988342633183,1.1538892085670643e-06,1.1538892085670645e-06,1.1538892085670645e-06,-0.0,6.102808466452804e-07
natural_measured,0,weight_based,1-3-6,1.0000002104789019,0.0,1.2590324081933109e-06,1.2590324081943076e-06,6.961786654902726e-07,1.2783179873362576e-07,1,0,1.2765045845438524e-06,0.999998618256004,0.9999987234952811,1.259032408193311e-06,1.2590324081933109e-06,1.2590324081933109e-06,-0.0,5.574463431989664e-07
natural_measured,0,weight_based,1-3-7,1.000000050291419,0.0,1.17124464804808e-06,1.1712446480488832e-06,6.672937767610747e-07,1.1777026490530521e-07,1,0,1.1723238682867653e-06,0.9999988025304247,0.9999988276761022,1.1712446480480798e-06,1.17124464804808e-06,1.17124464804808e-06,-0.0,5.713316938400043e-07
natural_measured,0,weight_based,1-4-5,1.000000179745257,0.0,1.2202405385322468e-06,1.2202405385331542e-06,6.887580851340885e-07,1.1628652479040674e-07,1,0,1.2334080093955952e-06,0.999998676719391,0.9999987665918798,1.2202405385322468e-06,1.2202405385322468e-06,1.2202405385322468e-06,-0.0,5.932943367547492e-07
natural_measured,0,weight_based,1-4-6,1.0000002644956112,0.0,1.2686693839658668e-06,1.2686693839668877e-06,6.898194446664626e-07,1.2124296132144862e-07,1,0,1.295947490118445e-06,0.9999985718047657,0.9999987040523385,1.268669383965867e-06,1.2686693839658668e-06,1.2686693839658668e-06,-0.0,5.69431546045408e-07
natural_measured,0,weight_based,1-4-7,1.000000067986548,0.0,1.2521786903043002e-06,1.2521786903052807e-06,6.942796574280895e-07,1.2498704243008823e-07,1,0,1.2540229832524743e-06,0.9999987119837473,0.9999987459769741,1.2521786903043004e-06,1.2521786903043002e-06,1.2521786903043002e-06,-0.0,5.867339956628797e-07
natural_measured,0,weight_based,1-5-6,1.0000002523884177,0.0,1.2468954120466378e-06,1.2468954120476062e-06,7.045254143648082e-07,1.2370855984045193e-07,1,0,1.2721823964464505e-06,0.999998601623451,0.999998727817443,1.2468954120466378e-06,1.2468954120466378e-06,1.2468954120466378e-06,-0.0,5.153600698166669e-07
natural_measured,0,weight_based,1-5-7,1.000000150874257,0.0,1.1529619951108397e-06,1.1529619951116054e-06,6.951194886205329e-07,1.1040039079749217e-07,1,0,1.162791639440615e-06,0.9999987617712524,0.9999988372082729,1.1529619951108399e-06,1.1529619951108397e-06,1.1529619951108397e-06,-0.0,5.495880107976718e-07
