evidence_label,mode,corpus_seed,transition_method,threshold_level,selected_by_application_A,classification,brauer_like_candidate,execution_commit,max_centrality_residual,mean_centrality_residual,max_bootstrap_centrality_ci_high,max_bootstrap_phase_instability,max_root_residual,minimum_root_margin,dominant_root_order,max_cocycle_residual,coboundary_residual,max_gauge_invariance_delta
natural_measured,confirmatory,1,low_rank_subspace,strict,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.7030592341206583,0.6328700563881375,0.7946645724049789,-0.0,0.7345932590042146,0.359367030940132,1,0.0,0.0,1.1129304766654968e-07
natural_measured,confirmatory,1,low_rank_subspace,medium,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.7030592341206583,0.6328700563881375,0.7946645724049789,-0.0,0.7345932590042146,0.359367030940132,1,0.0,0.0,1.1129304766654968e-07
natural_measured,confirmatory,1,low_rank_subspace,loose,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.7030592341206583,0.6328700563881375,0.7946645724049789,-0.0,0.7345932590042146,0.359367030940132,1,0.0,0.0,1.1129304766654968e-07
natural_measured,confirmatory,1,joint_weight_activation,strict,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5667192377995376,0.4104009765902036,0.6203472185774751,-0.0,0.5934458979406065,0.4910304770912217,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,1,joint_weight_activation,medium,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5667192377995376,0.4104009765902036,0.6203472185774751,-0.0,0.5934458979406065,0.4910304770912217,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,1,joint_weight_activation,loose,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5667192377995376,0.4104009765902036,0.6203472185774751,-0.0,0.5934458979406065,0.4910304770912217,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,2,weight_based,strict,True,trivial_coboundary,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,1.3299258119658965e-06,1.1940962517709772e-06,1.3299258119658965e-06,-0.0,1.3307085333295127e-06,0.9999986464740663,1,0.0,0.0,5.962463970236637e-07
natural_measured,confirmatory,2,weight_based,medium,True,trivial_coboundary,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,1.3299258119658965e-06,1.1940962517709772e-06,1.3299258119658965e-06,-0.0,1.3307085333295127e-06,0.9999986464740663,1,0.0,0.0,5.962463970236637e-07
natural_measured,confirmatory,2,weight_based,loose,True,trivial_coboundary,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,1.3299258119658965e-06,1.1940962517709772e-06,1.3299258119658965e-06,-0.0,1.3307085333295127e-06,0.9999986464740663,1,0.0,0.0,5.962463970236637e-07
natural_measured,confirmatory,2,activation_procrustes,strict,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.642740887226445,0.5110960234042785,0.7092409964500287,-0.0,0.6839829689564505,0.4268348988899142,1,0.0,0.0,7.35744833946228e-08
natural_measured,confirmatory,2,activation_procrustes,medium,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.642740887226445,0.5110960234042785,0.7092409964500287,-0.0,0.6839829689564505,0.4268348988899142,1,0.0,0.0,7.35744833946228e-08
natural_measured,confirmatory,2,activation_procrustes,loose,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.642740887226445,0.5110960234042785,0.7092409964500287,-0.0,0.6839829689564505,0.4268348988899142,1,0.0,0.0,7.35744833946228e-08
natural_measured,confirmatory,2,low_rank_subspace,strict,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.6790600083340923,0.613771286098577,0.7766205998507485,-0.0,0.7104919199056814,0.3805382480942676,1,0.0,0.0,8.89413058757782e-08
natural_measured,confirmatory,2,low_rank_subspace,medium,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.6790600083340923,0.613771286098577,0.7766205998507485,-0.0,0.7104919199056814,0.3805382480942676,1,0.0,0.0,8.89413058757782e-08
natural_measured,confirmatory,2,low_rank_subspace,loose,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.6790600083340923,0.613771286098577,0.7766205998507485,-0.0,0.7104919199056814,0.3805382480942676,1,0.0,0.0,8.89413058757782e-08
natural_measured,confirmatory,2,joint_weight_activation,strict,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5705230231973992,0.4089110942570399,0.615715884298836,-0.0,0.5978601044818436,0.4878277563559824,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,2,joint_weight_activation,medium,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5705230231973992,0.4089110942570399,0.615715884298836,-0.0,0.5978601044818436,0.4878277563559824,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,2,joint_weight_activation,loose,False,noncentral_holonomy,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,0.5705230231973992,0.4089110942570399,0.615715884298836,-0.0,0.5978601044818436,0.4878277563559824,1,0.0,0.0,1.0896474123001099e-07
natural_measured,confirmatory,3,weight_based,strict,True,trivial_coboundary,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,1.3339234444819496e-06,1.172437183948238e-06,1.3339234444819496e-06,-0.0,1.335899990762475e-06,0.9999985874795004,1,0.0,0.0,6.619957715670589e-07
natural_measured,confirmatory,3,weight_based,medium,True,trivial_coboundary,False,b8f3b03fa6edc25c0ed4a585a5158c8af5bae441,1.3339234444819496e-06,1.172437183948238e-06,1.3339234444819496e-06,-0.0,1.335899990762475e-06,0.9999985874795004,1,0.0,0.0,6.619957715670589e-07
