group,generic_method,structured_accuracy,generic_accuracy,structured_parameters,generic_parameters
S3,generic_linear,0.6470677083333334,0.16705729166666666,30.0,234.0
S3,generic_two_layer_mlp,0.6470677083333334,0.16853124999999997,30.0,546.0
S3,generic_mixture_of_experts,0.6470677083333334,0.5823437499999999,30.0,42.0
S3,learned_matrix_context_action,0.6470677083333334,0.4725416666666667,30.0,222.0
S3,generic_low_rank_context_adapter,0.6470677083333334,0.1800520833333333,30.0,270.0
D4,generic_linear,0.6285572916666666,0.12466145833333334,56.0,328.0
D4,generic_two_layer_mlp,0.6285572916666666,0.11957291666666665,56.0,792.0
D4,generic_mixture_of_experts,0.6285572916666666,0.5449375,56.0,72.0
D4,learned_matrix_context_action,0.6285572916666666,0.392609375,56.0,520.0
D4,generic_low_rank_context_adapter,0.6285572916666666,0.14304687500000002,56.0,392.0
