setting_id,seed,method,accuracy,loss,ece,mean_task_accuracy,worst_task_accuracy,interference,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,calibration_samples,selector_validation_samples,candidate_count,hodge_selected,leakage_hash_passed,logits_sha256
cifar10_resnet18_s1,1,generic_low_rank_merge,0.377,2.1295082569122314,0.2388913799673319,0.3768909428052212,0.27923387096774194,0.12622738115053272,0,11191262,1,292.79366694390774,1258.21875,0,0,1,False,True,05eb41aaa68e86fce44f0f4a5d88334a5124d3809338f4a05a0cf71324d094ed
cifar10_resnet18_s1,1,generic_router,0.487,1.4947412540441891,0.04395841425164258,0.48774133982876977,0.40473840078973344,0.015376984126984128,44,44765048,4,1153.9958328939974,1258.21875,0,0,1,False,True,05eb41aaa68e86fce44f0f4a5d88334a5124d3809338f4a05a0cf71324d094ed
cifar10_resnet18_s1,1,twistedmerge_exact_gauge_selector,0.43,1.6070612668991089,0.04373786367475987,0.43080271367272355,0.33267522211253703,0.07231561028303031,0,11191262,1,287.45666705071926,1258.21875,0,1000,5,False,True,05eb41aaa68e86fce44f0f4a5d88334a5124d3809338f4a05a0cf71324d094ed
cifar10_resnet18_s1,1,twistedmerge_hodge_lr,0.3755,2.1290488243103027,0.240015928030014,0.37541052031879407,0.28024193548387094,0.12770780363695983,0,11191262,1,296.3216248899698,1258.21875,0,0,1,False,True,05eb41aaa68e86fce44f0f4a5d88334a5124d3809338f4a05a0cf71324d094ed
cifar10_resnet18_s1,1,ensemble_reference,0.48,1.5060490369796753,0.06250003208220004,0.48079403241728497,0.39091806515301086,0.022324291538468946,0,44765048,4,1153.9958328939974,1258.21875,0,0,1,False,True,05eb41aaa68e86fce44f0f4a5d88334a5124d3809338f4a05a0cf71324d094ed
cifar10_resnet18_s2,2,weight_average,0.363,2.0746138095855713,0.22184959908574817,0.36268228330923946,0.24899193548387097,0.14090067704977083,0,11191262,1,279.27120914682746,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,greedy_soup,0.4295,1.5994516611099243,0.05269453663378955,0.4303614142947416,0.32477788746298125,0.0732215460642687,0,11191262,1,275.9199580177665,1356.390625,0,1000,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,c2m3_identity_synchronization,0.363,2.0746138095855713,0.22184959908574817,0.36268228330923946,0.24899193548387097,0.14090067704977083,0,11191262,1,277.0270830951631,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,task_arithmetic,0.363,2.0746138095855713,0.22184959908574817,0.36268228330923946,0.24899193548387097,0.14090067704977083,0,11191262,1,281.5119579900056,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,ties,0.359,1.9345706701278687,0.1970955831184983,0.3587313251907314,0.24596774193548387,0.1448516351682789,0,11191262,1,283.8730840012431,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,dare,0.172,3.779945135116577,0.42988653264194726,0.17179353109062528,0.10483870967741936,0.33178942926838506,0,11191262,1,296.4073331095278,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,generic_low_rank_merge,0.363,2.0754950046539307,0.22200893361121415,0.36267828305322314,0.24798387096774194,0.14090467730578723,0,11191262,1,286.55516589060426,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,generic_router,0.4915,1.4983172758527619,0.04683541645264597,0.49242714273416505,0.384995064165844,0.011155817624845257,44,44765048,4,1114.9911659304053,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,twistedmerge_exact_gauge_selector,0.4295,1.5994516611099243,0.05269453663378955,0.4303614142947416,0.32477788746298125,0.0732215460642687,0,11191262,1,275.9199580177665,1356.390625,0,1000,5,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,twistedmerge_hodge_lr,0.363,2.0746138095855713,0.22184959908574817,0.36268228330923946,0.24899193548387097,0.14090067704977083,0,11191262,1,279.27120914682746,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
cifar10_resnet18_s2,2,ensemble_reference,0.49,1.5117870569229126,0.06904600009322165,0.4908852115328727,0.3889437314906219,0.012697748826137611,0,44765048,4,1114.9911659304053,1356.390625,0,0,1,False,True,78aa2142a14da03332bd951b4dffe3d7cf36b14693062eb3d69481990d885841
