dataset,architecture,model_count,relation,stable_beyond_all_nulls,residual_reduced,delta_vs_strict,delta_vs_strict_ci_low,delta_vs_strict_ci_high,delta_vs_generic,delta_vs_generic_ci_low,delta_vs_generic_ci_high,passes
CIFAR10,cnn,4,independent_seeds,False,False,0.0,0.0,0.0,0.0195,0.0025000000000000022,0.046499999999999986,False
CIFAR10,cnn,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.0161666666666667,-0.013999999999999957,0.03400000000000003,False
FashionMNIST,cnn,3,independent_seeds,False,False,0.0,0.0,0.0,0.03099999999999999,0.01100000000000001,0.05599999999999994,False
FashionMNIST,cnn,3,shared_base_specialization,False,False,0.0,0.0,0.0,0.04133333333333326,0.028999999999999915,0.05899999999999994,False
FashionMNIST,cnn,4,independent_seeds,False,False,0.0,0.0,0.0,0.028833333333333305,0.0030000000000000027,0.061999999999999944,False
FashionMNIST,cnn,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.035999999999999956,0.027999999999999914,0.04149999999999998,False
FashionMNIST,mlp,3,independent_seeds,False,False,0.0,0.0,0.0,0.03500000000000003,0.029000000000000026,0.04400000000000004,False
FashionMNIST,mlp,3,shared_base_specialization,False,False,0.0,0.0,0.0,0.007333333333333303,-0.009500000000000064,0.03300000000000003,False
FashionMNIST,mlp,4,independent_seeds,False,False,0.0,0.0,0.0,0.03649999999999998,0.025499999999999967,0.04999999999999993,False
FashionMNIST,mlp,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.021500000000000002,-0.0015000000000000568,0.04300000000000004,False
MNIST,cnn,3,independent_seeds,False,False,0.0,0.0,0.0,0.15100000000000002,0.124,0.17200000000000004,False
MNIST,cnn,3,shared_base_specialization,False,False,0.0,0.0,0.0,0.13866666666666672,0.08850000000000002,0.16700000000000004,False
MNIST,cnn,4,independent_seeds,False,False,0.0,0.0,0.0,0.1543333333333334,0.133,0.1755000000000001,False
MNIST,cnn,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.14416666666666667,0.09000000000000008,0.1735,False
MNIST,mlp,3,independent_seeds,False,False,0.0,0.0,0.0,0.10133333333333332,0.08199999999999996,0.12849999999999995,False
MNIST,mlp,3,shared_base_specialization,False,False,0.0,0.0,0.0,0.15633333333333332,0.07150000000000001,0.22799999999999998,False
MNIST,mlp,4,independent_seeds,False,False,0.0,0.0,0.0,0.10683333333333334,0.08499999999999996,0.12650000000000006,False
MNIST,mlp,4,shared_base_specialization,False,False,0.0,0.0,0.0,0.16783333333333328,0.0814999999999999,0.22999999999999998,False
