phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,0.2,256,generic_two_layer_mlp,0.11958333333333333,2.0856285965312304,0.02352275346869457,792.0,0.008062459528446198
discovery,D4,32,0.2,256,learned_matrix_context_action,0.5479166666666667,1.546704635588949,0.2145219832187749,520.0,0.008083414286375046
discovery,D4,32,0.2,256,shuffled_context_control,0.12833333333333333,2.492830056797479,0.23712586064565927,0.0,0.008166534826159477
discovery,D4,32,0.2,256,structured_learned_router,0.8260833333333334,1.340451729252467,0.4614632738762935,72.0,0.008083530701696873
discovery,D4,32,0.2,256,supplied_context_structured_retransport,0.8260833333333334,1.340451729252467,0.4614632738762935,0.0,0.008062110282480717
discovery,D4,32,0.2,256,twistedmerge_hodge_lr,0.8260833333333334,1.340451729252467,0.4614632738762934,56.0,0.008104485459625721
discovery,D4,32,0.2,1024,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008166534826159477
discovery,D4,32,0.2,1024,generic_linear,0.12683333333333333,2.0812451235869593,0.016611652252791098,328.0,0.008146045729517937
discovery,D4,32,0.2,1024,generic_low_rank_context_adapter,0.14325,2.30411681074658,0.16656088831958404,392.0,0.008145347237586975
discovery,D4,32,0.2,1024,generic_mixture_of_experts,0.79725,1.9424941196863652,0.6482176682503122,72.0,0.008103903383016586
discovery,D4,32,0.2,1024,generic_two_layer_mlp,0.11516666666666667,2.0820290058897477,0.019718313340288444,792.0,0.008146045729517937
discovery,D4,32,0.2,1024,learned_matrix_context_action,0.6679999999999999,1.479208363088695,0.3592002636025904,520.0,0.00816641841083765
discovery,D4,32,0.2,1024,shuffled_context_control,0.13341666666666668,2.4988513127144505,0.23246014362009487,0.0,0.008083181455731392
discovery,D4,32,0.2,1024,structured_learned_router,0.82825,1.3458011023914678,0.46304190555345787,72.0,0.008250121027231216
discovery,D4,32,0.2,1024,supplied_context_structured_retransport,0.82825,1.3458011023914678,0.46304190555345787,0.0,0.008125090971589088
discovery,D4,32,0.2,1024,twistedmerge_hodge_lr,0.82825,1.345801102391468,0.46304190555345787,56.0,0.008125090971589088
discovery,D4,32,0.5,16,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008229049853980541
discovery,D4,32,0.5,16,generic_linear,0.11816666666666667,2.130174827497986,0.08185233806440843,328.0,0.008104369044303894
discovery,D4,32,0.5,16,generic_low_rank_context_adapter,0.14658333333333334,2.486710606598334,0.2269750705803503,392.0,0.008125090971589088
