setting_id,dataset,architecture,model_count,relation,seed,method,accuracy,loss,ece,merge_degradation,calibration_samples,selector_validation_samples,test_samples,training_examples_per_local_model,training_time_seconds,inference_time_seconds,trainable_parameters,stored_parameters,branch_count,peak_memory_mb,lift_activated,leakage_hash_passed,logits_sha256
MNIST_mlp_4_independent_seeds_s1,MNIST,mlp,4,independent_seeds,1,strict_synchronization,0.8925,0.38343807622750725,0.07334393748793669,0.007000000000000006,500,500,2000,5000,0.0,0.020117416977882385,0,50890,1,475.8125,False,True,9234a758fc1b1b1e683807b1ff59777dd78c164c09b505e210d1057abc4e816c
MNIST_mlp_4_independent_seeds_s1,MNIST,mlp,4,independent_seeds,1,generic_low_rank_correction,0.8075,0.6791158697495118,0.13134551088901497,0.09199999999999997,500,500,2000,5000,0.0,0.020117416977882385,110,50890,1,475.8125,False,True,9234a758fc1b1b1e683807b1ff59777dd78c164c09b505e210d1057abc4e816c
MNIST_mlp_4_independent_seeds_s1,MNIST,mlp,4,independent_seeds,1,twistedmerge_hodge_lr,0.8925,0.38343807622750725,0.07334393748793669,0.007000000000000006,500,500,2000,5000,0.0,0.020117416977882385,110,50890,1,475.8125,False,True,9234a758fc1b1b1e683807b1ff59777dd78c164c09b505e210d1057abc4e816c
MNIST_mlp_4_independent_seeds_s1,MNIST,mlp,4,independent_seeds,1,ensemble_reference,0.8995,0.3717971742153168,0.07582020214200019,0.0,500,500,2000,5000,0.0,0.020117416977882385,0,203560,4,475.8125,False,True,9234a758fc1b1b1e683807b1ff59777dd78c164c09b505e210d1057abc4e816c
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,weight_average,0.7305,1.0314453840255737,0.2861646928191185,0.16849999999999998,500,500,2000,5000,0.0,0.01488733314909041,0,50890,1,475.8125,False,True,9ae466185dea000cb295c7837d99ff8e698e81eed92418b403109685624ff1b1
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,strict_synchronization,0.8965,0.3859683947459794,0.0772737756015944,0.0025000000000000577,500,500,2000,5000,0.0,0.01488733314909041,0,50890,1,475.8125,False,True,9ae466185dea000cb295c7837d99ff8e698e81eed92418b403109685624ff1b1
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,generic_low_rank_correction,0.768,0.7621356462522467,0.11351593102006606,0.131,500,500,2000,5000,0.0,0.01488733314909041,110,50890,1,475.8125,False,True,9ae466185dea000cb295c7837d99ff8e698e81eed92418b403109685624ff1b1
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,twistedmerge_hodge_lr,0.8965,0.3859683947459794,0.0772737756015944,0.0025000000000000577,500,500,2000,5000,0.0,0.01488733314909041,110,50890,1,475.8125,False,True,9ae466185dea000cb295c7837d99ff8e698e81eed92418b403109685624ff1b1
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,ensemble_reference,0.899,0.37203291058540344,0.07394019864499567,0.0,500,500,2000,5000,0.0,0.01488733314909041,0,152670,3,475.8125,False,True,9ae466185dea000cb295c7837d99ff8e698e81eed92418b403109685624ff1b1
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,weight_average,0.7445,1.2794448137283325,0.41305954416841273,0.15899999999999992,500,500,2000,5000,0.0,0.02050904231145978,0,50890,1,475.8125,False,True,a370d378f3e9945411dc66b4f891096e6aa586448e4e796a78e292dbf42e41e3
