regime,persistent_residual,delta_vs_strict,delta_vs_strict_ci_low,delta_vs_strict_ci_high,delta_vs_generic,delta_vs_generic_ci_low,delta_vs_generic_ci_high,passes
exact,False,0.00016666666666666682,-0.0014166666666666772,0.0021666666666666687,0.004583333333333346,5.551115123125783e-17,0.009168749999999977,False
missing_noisy,False,0.08425,0.05499166666666668,0.10999999999999999,-0.18625,-0.26233333333333336,-0.11483333333333334,False
noisy,False,-0.0001666666666666853,-0.0027500000000000115,0.0027499999999999933,0.004583333333333328,0.0006666666666666673,0.008835416666666644,False
