setting_id,dataset,regime,seed,method,accuracy,loss,ece,residual_before,residual_after,persistent_residual,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,calibration_samples,leakage_hash_passed,logits_sha256
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,hodge_correction,0.3645,2.21615083534963,0.24571976043324845,0.04322265054021368,0.20223912187932797,False,110,50826,1,0.017459038645029068,522.703125,500,True,77d8b3ef15ec0bb38fb21766c19c19106f37bf66f8bd586f502cd618788c4075
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,hodge_low_rank,0.345,2.2328704771112697,0.2285192161486495,0.04322265054021368,0.20223912187932797,False,110,50826,1,0.017124926671385765,522.703125,500,True,77d8b3ef15ec0bb38fb21766c19c19106f37bf66f8bd586f502cd618788c4075
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,branch_pooling,0.7985,1.9179894289568842,0.6451062471460347,0.04322265054021368,0.20223912187932797,False,0,203304,4,0.017292099073529243,522.703125,500,True,77d8b3ef15ec0bb38fb21766c19c19106f37bf66f8bd586f502cd618788c4075
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,equivariant_retransport,0.7985,1.9179894289568842,0.6451062471460347,0.04322265054021368,0.20223912187932797,False,0,50826,1,0.01695798709988594,522.703125,500,True,77d8b3ef15ec0bb38fb21766c19c19106f37bf66f8bd586f502cd618788c4075
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,parameter_matched_control,0.099,2.302116249068707,0.004734669520918569,0.04322265054021368,0.20223912187932797,False,0,50826,1,0.017832964658737183,522.703125,500,True,77d8b3ef15ec0bb38fb21766c19c19106f37bf66f8bd586f502cd618788c4075
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,raw_fedavg,0.1065,2.3051597183801804,0.008878581045577205,0.0416890215580248,0.2078886836610226,False,0,50826,1,0.018040882423520088,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,strict_frame_synchronization,0.2455,2.2627907619640366,0.13103245409669884,0.0416890215580248,0.2078886836610226,False,0,50826,1,0.017416896298527718,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,c2m3_style_synchronization,0.2455,2.2627907619640366,0.13103245409669884,0.0416890215580248,0.2078886836610226,False,0,50826,1,0.016750069335103035,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,generic_learned_calibration,0.381,2.214103918725069,0.2660180245982575,0.0416890215580248,0.2078886836610226,False,110,50826,1,0.0167088583111763,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,hodge_correction,0.343,2.237034966249802,0.22909151936289274,0.0416890215580248,0.2078886836610226,False,110,50826,1,0.01674983650445938,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,hodge_low_rank,0.268,2.250994845428385,0.15548417156526223,0.0416890215580248,0.2078886836610226,False,110,50826,1,0.01679197885096073,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,branch_pooling,0.807,1.9214398138157585,0.6541644071980317,0.0416890215580248,0.2078886836610226,False,0,203304,4,0.016666017472743988,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,equivariant_retransport,0.807,1.9214398138157585,0.6541644071980317,0.0416890215580248,0.2078886836610226,False,0,50826,1,0.016625039279460907,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,parameter_matched_control,0.0975,2.301197034306065,0.004165663578080361,0.0416890215580248,0.2078886836610226,False,0,50826,1,0.016875099390745163,522.703125,500,True,7330fb5e44fc8f1cdf2c2078e8147c0f7b2a9f4f7013616ff5527c2b6d290a96
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,raw_fedavg,0.111,2.3101049787209047,0.00887387636929654,0.041869314123706286,0.20451891046706366,False,0,50826,1,0.02170889638364315,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,strict_frame_synchronization,0.2005,2.249063590143412,0.07692976907940416,0.041869314123706286,0.20451891046706366,False,0,50826,1,0.017290934920310974,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,c2m3_style_synchronization,0.2005,2.249063590143412,0.07692976907940416,0.041869314123706286,0.20451891046706366,False,0,50826,1,0.016833888366818428,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,generic_learned_calibration,0.455,2.188632032944326,0.3357416196357074,0.041869314123706286,0.20451891046706366,False,110,50826,1,0.016958918422460556,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,hodge_correction,0.3495,2.21671479542819,0.23099407638216132,0.041869314123706286,0.20451891046706366,False,110,50826,1,0.016875099390745163,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,hodge_low_rank,0.303,2.229910856209282,0.18542147875390652,0.041869314123706286,0.20451891046706366,False,110,50826,1,0.01679197885096073,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,branch_pooling,0.8,1.9165363787724918,0.6461823308080934,0.041869314123706286,0.20451891046706366,False,0,203304,4,0.01679197885096073,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,equivariant_retransport,0.8,1.9165363787724918,0.6461823308080934,0.041869314123706286,0.20451891046706366,False,0,50826,1,0.016666948795318604,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,parameter_matched_control,0.098,2.3025550096407406,0.0045496036535686984,0.041869314123706286,0.20451891046706366,False,0,50826,1,0.017124926671385765,522.703125,500,True,bc19817135a8629a1545e9f23b2f17bb06f2f1cf372520e65441a0012de23d46
FashionMNIST_exact_s0,FashionMNIST,exact,0,raw_fedavg,0.103,2.3161351276494764,0.054485224815519,0.0,7.410798009835157e-18,False,0,50826,1,0.018499791622161865,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,strict_frame_synchronization,0.763,1.8917376679518068,0.6017358390248982,0.0,7.410798009835157e-18,False,0,50826,1,0.019292114302515984,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,c2m3_style_synchronization,0.763,1.8917376679518068,0.6017358390248982,0.0,7.410798009835157e-18,False,0,50826,1,0.016999896615743637,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,generic_learned_calibration,0.7475,1.895197356295398,0.5867985472396674,0.0,7.410798009835157e-18,False,110,50826,1,0.017290934920310974,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,hodge_correction,0.759,1.8933590192267875,0.5981100068279754,0.0,7.410798009835157e-18,False,110,50826,1,0.017333077266812325,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,hodge_low_rank,0.761,1.892667161017866,0.5999867232452536,0.0,7.410798009835157e-18,False,110,50826,1,0.017208978533744812,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,branch_pooling,0.763,1.8917376679518068,0.6017358390248982,0.0,7.410798009835157e-18,False,0,203304,4,0.01737498678267002,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,equivariant_retransport,0.763,1.8917376679518068,0.6017358390248982,0.0,7.410798009835157e-18,False,0,50826,1,0.01708301715552807,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s0,FashionMNIST,exact,0,parameter_matched_control,0.3775,2.149854095896324,0.24915636439652888,0.0,7.410798009835157e-18,False,0,50826,1,0.017625046893954277,522.703125,500,True,97530b57b5498017c1521c227a007508b70bf43f64a22359efc35a4806a88edb
FashionMNIST_exact_s1,FashionMNIST,exact,1,raw_fedavg,0.104,2.3193416128848066,0.0575337323723009,0.0,7.410798009835157e-18,False,0,50826,1,0.01941714435815811,522.703125,500,True,a73579f9f78263113db60f378f69ab7ecf17d3d96dbac80d0da84596c2ab3035
FashionMNIST_exact_s1,FashionMNIST,exact,1,strict_frame_synchronization,0.748,1.90144538585049,0.588622890978124,0.0,7.410798009835157e-18,False,0,50826,1,0.0174578744918108,522.703125,500,True,a73579f9f78263113db60f378f69ab7ecf17d3d96dbac80d0da84596c2ab3035
FashionMNIST_exact_s1,FashionMNIST,exact,1,c2m3_style_synchronization,0.748,1.90144538585049,0.588622890978124,0.0,7.410798009835157e-18,False,0,50826,1,0.01687486656010151,522.703125,500,True,a73579f9f78263113db60f378f69ab7ecf17d3d96dbac80d0da84596c2ab3035
FashionMNIST_exact_s1,FashionMNIST,exact,1,generic_learned_calibration,0.744,1.8992078052479902,0.5833663259655706,0.0,7.410798009835157e-18,False,110,50826,1,0.01687486656010151,522.703125,500,True,a73579f9f78263113db60f378f69ab7ecf17d3d96dbac80d0da84596c2ab3035
