phase,seed,method,batch_size,complete_path_latency_ms,latency_q1_ms,latency_q3_ms,stored_bytes,trainable_parameters
discovery,0,context_blind_expert_average,128,233.31437492743134,211.6399584338069,239.13172900211066,235552,58888
discovery,0,generic_moe,128,248.12745791859925,246.2429164443165,251.96035392582417,266240,66560
discovery,0,generic_low_rank_context_adapter,128,11.632374953478575,11.123520554974675,12.856499990448356,94296,23574
discovery,0,d4_equivariant_chart_soft_routing,128,229.3218330014497,212.03631244134158,242.29245842434466,247876,61969
discovery,0,inferred_canonicalize_pool_retransport,128,462.5064169522375,449.7917708940804,468.5844585765153,247876,61969
discovery,0,d4_equivariant_task_classifier,128,21.612833021208644,21.56352053862065,21.631686948239803,47640,11910
discovery,0,d4_test_time_augmentation,128,46.064959140494466,45.46693805605173,50.26825051754713,58888,14722
discovery,0,one_canonical_after_inferred_inverse,128,264.64791712351143,239.94127102196217,272.8790625697002,71212,17803
discovery,0,supplied_chart_oracle,128,252.00312491506338,250.55020838044584,258.51424993015826,235552,58888
discovery,0,random_action_control,128,253.57412500306964,253.06545803323388,260.65658347215503,235552,58888
discovery,0,wrong_action_control,128,168.40383410453796,156.3249375903979,203.04495899472386,247876,61969
discovery,0,ensemble_reference,128,19.904041197150946,19.524416653439403,21.11656207125634,235552,58888
discovery,1,context_blind_expert_average,128,230.17770797014236,230.0572079839185,233.39924996253103,235552,58888
discovery,1,generic_moe,128,226.3195829000324,222.51585393678397,234.17729139328003,266240,66560
discovery,1,generic_low_rank_context_adapter,128,11.894958093762398,11.658207979053259,11.951270513236523,94296,23574
discovery,1,d4_equivariant_chart_soft_routing,128,204.20491602271795,200.54412446916103,213.11645803507417,247876,61969
discovery,1,inferred_canonicalize_pool_retransport,128,472.8595409542322,472.50452043954283,482.97360399737954,247876,61969
discovery,1,d4_equivariant_task_classifier,128,21.656458033248782,21.330562536604702,21.756603964604437,47640,11910
discovery,1,d4_test_time_augmentation,128,43.651624815538526,43.091416358947754,47.71518742199987,58888,14722
discovery,1,one_canonical_after_inferred_inverse,128,288.3635410107672,278.24127045460045,290.34712444990873,71212,17803
discovery,1,supplied_chart_oracle,128,251.18266604840755,241.07439548242837,256.1489165527746,235552,58888
discovery,1,random_action_control,128,249.66629222035408,248.2131461147219,255.82581257913262,235552,58888
discovery,1,wrong_action_control,128,230.60645791701972,228.23166649322957,237.44568740949035,247876,61969
discovery,1,ensemble_reference,128,28.749957913532853,28.427437413483858,29.559020418673754,235552,58888
discovery,2,context_blind_expert_average,128,253.2848750706762,251.22545810882002,255.5695625487715,235552,58888
