seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
1,1e-05,eval,layer3.0.after_residual,1.0848045349121094e-05,8.269076943179243e-07
1,1e-05,eval,layer3.1.after_residual,1.0907649993896484e-05,1.099169139706646e-06
1,1e-05,eval,layer4.0.after_residual,6.586313247680664e-06,5.518736543308478e-07
1,1e-05,eval,layer4.1.after_residual,6.198883056640625e-06,5.738140771427425e-07
1,1e-05,train,stem,0.0,0.0
1,1e-05,train,layer1.0.after_residual,7.152557373046875e-06,7.974490472406615e-07
1,1e-05,train,layer1.1.after_residual,9.775161743164062e-06,1.3076792129140813e-06
1,1e-05,train,layer2.0.after_residual,1.1444091796875e-05,9.544182830723003e-07
1,1e-05,train,layer2.1.after_residual,1.6570091247558594e-05,1.6317414974764688e-06
1,1e-05,train,layer3.0.after_residual,2.562999725341797e-05,1.699765107332496e-06
1,1e-05,train,layer3.1.after_residual,2.86102294921875e-05,2.7500259420776274e-06
1,1e-05,train,layer4.0.after_residual,0.0001621246337890625,4.853779955737991e-06
1,1e-05,train,layer4.1.after_residual,0.0006396770477294922,1.262149635294918e-05
1,0.001,eval,stem,0.0,0.0
1,0.001,eval,layer1.0.after_residual,4.0531158447265625e-06,4.6064027969805466e-07
1,0.001,eval,layer1.1.after_residual,7.62939453125e-06,7.394422141260293e-07
1,0.001,eval,layer2.0.after_residual,1.0013580322265625e-05,6.813482400502835e-07
1,0.001,eval,layer2.1.after_residual,1.6450881958007812e-05,1.074965666703065e-06
1,0.001,eval,layer3.0.after_residual,1.0013580322265625e-05,8.336267569575284e-07
1,0.001,eval,layer3.1.after_residual,1.0967254638671875e-05,1.0896210369537584e-06
1,0.001,eval,layer4.0.after_residual,5.7220458984375e-06,5.520076911125216e-07
1,0.001,eval,layer4.1.after_residual,5.543231964111328e-06,5.736490606977895e-07
1,0.001,train,stem,0.0,0.0
1,0.001,train,layer1.0.after_residual,5.9604644775390625e-06,7.910028898550081e-07
1,0.001,train,layer1.1.after_residual,1.049041748046875e-05,1.290031150347204e-06
1,0.001,train,layer2.0.after_residual,1.2516975402832031e-05,9.391926028001762e-07
1,0.001,train,layer2.1.after_residual,1.704692840576172e-05,1.5939908735163044e-06
1,0.001,train,layer3.0.after_residual,2.7060508728027344e-05,1.6438382317573996e-06
1,0.001,train,layer3.1.after_residual,2.765655517578125e-05,2.6689144760894123e-06
1,0.001,train,layer4.0.after_residual,8.553266525268555e-05,4.1315920498163905e-06
1,0.001,train,layer4.1.after_residual,0.00024121999740600586,1.056270775734447e-05
1,0.1,eval,stem,0.0,0.0
1,0.1,eval,layer1.0.after_residual,2.86102294921875e-06,3.28250450820633e-07
1,0.1,eval,layer1.1.after_residual,4.589557647705078e-06,5.169807195670728e-07
1,0.1,eval,layer2.0.after_residual,5.7220458984375e-06,4.432010314303625e-07
1,0.1,eval,layer2.1.after_residual,7.510185241699219e-06,6.800585197197506e-07
1,0.1,eval,layer3.0.after_residual,6.4373016357421875e-06,4.957740884492523e-07
1,0.1,eval,layer3.1.after_residual,6.9141387939453125e-06,6.348202532535652e-07
1,0.1,eval,layer4.0.after_residual,3.337860107421875e-06,3.104667030129349e-07
1,0.1,eval,layer4.1.after_residual,3.337860107421875e-06,3.2000195915316e-07
1,0.1,train,stem,0.0,0.0
1,0.1,train,layer1.0.after_residual,5.364418029785156e-06,6.892778969813662e-07
1,0.1,train,layer1.1.after_residual,1.0013580322265625e-05,1.1449612884462113e-06
1,0.1,train,layer2.0.after_residual,1.1682510375976562e-05,9.357488579553319e-07
1,0.1,train,layer2.1.after_residual,1.6689300537109375e-05,1.5401082009702804e-06
1,0.1,train,layer3.0.after_residual,1.582503318786621e-05,1.500751864114136e-06
1,0.1,train,layer3.1.after_residual,2.187490463256836e-05,2.357558059884468e-06
1,0.1,train,layer4.0.after_residual,2.187490463256836e-05,2.0748088900290895e-06
1,0.1,train,layer4.1.after_residual,2.5212764739990234e-05,2.789449126794352e-06
2,1e-05,eval,stem,0.0,0.0
2,1e-05,eval,layer1.0.after_residual,6.198883056640625e-06,5.300011025610729e-07
2,1e-05,eval,layer1.1.after_residual,7.62939453125e-06,7.825507282177568e-07
2,1e-05,eval,layer2.0.after_residual,9.298324584960938e-06,7.060137363623653e-07
2,1e-05,eval,layer2.1.after_residual,1.1444091796875e-05,1.0728206234489335e-06
2,1e-05,eval,layer3.0.after_residual,1.049041748046875e-05,8.237336714955745e-07
2,1e-05,eval,layer3.1.after_residual,1.1920928955078125e-05,1.0552795401963522e-06
2,1e-05,eval,layer4.0.after_residual,5.781650543212891e-06,5.530846465262584e-07
2,1e-05,eval,layer4.1.after_residual,5.900859832763672e-06,5.688044097951206e-07
2,1e-05,train,stem,0.0,0.0
2,1e-05,train,layer1.0.after_residual,7.62939453125e-06,9.867953849607147e-07
2,1e-05,train,layer1.1.after_residual,1.1920928955078125e-05,1.474439841331332e-06
