seed,epsilon,strategy,strategy_label,mode,max_absolute_logit_error,mean_absolute_logit_error,relative_output_error,prediction_disagreement,evaluation_seconds,purported_exact,exactness_tolerance,exactness_status,batches,batch_size,parameter_count,parameter_count_unchanged,capacity
0,1e-05,permutation,exact compatible channel permutation,eval,1.6540288925170898e-06,4.603847685302753e-07,1.1642762730439437e-06,0.0,0.06575150019489229,True,5e-05,exact_within_float32_tolerance,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,permutation,exact compatible channel permutation,train,3.68952751159668e-05,1.0988820577040315e-05,1.9556430705059875e-05,0.0,0.05175941693596542,True,0.0002,exact_within_float32_tolerance,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,frozen,scaled Conv; original frozen statistics and affine parameters,eval,0.6960552930831909,0.2452068030834198,0.6201084013495338,0.625,0.056579458992928267,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,frozen,scaled Conv; original frozen statistics and affine parameters,train,0.00045821070671081543,0.00011488360178191215,0.0002044544436451959,0.0,0.05420083296485245,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,running,scaled Conv and running statistics only,eval,0.0004407167434692383,8.931729098549113e-05,0.00022587628821636518,0.0,0.04668691614642739,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,running,scaled Conv and running statistics only,train,0.00045821070671081543,0.00011488360178191215,0.0002044544436451959,0.0,0.051798708038404584,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,affine,scaled Conv and affine compensation with original frozen statistics,eval,1.6093254089355469e-06,4.2717729797914217e-07,1.080297234871339e-06,0.0,0.05718470900319517,True,5e-05,exact_within_float32_tolerance,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,affine,scaled Conv and affine compensation with original frozen statistics,train,2.194755792617798,0.5521712303161621,0.9826803820573532,0.9375,0.05294199986383319,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",eval,1.430511474609375e-06,4.478235382521234e-07,1.1325099259083048e-06,0.0,0.046819208888337016,True,5e-05,exact_within_float32_tolerance,4,4,11181642,True,same_architecture_same_parameter_count
0,1e-05,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",train,0.004338473081588745,0.0011922612320631742,0.002121826815144225,0.0,0.052304083947092295,False,nan,not_purported_exact,4,4,11181642,True,same_architecture_same_parameter_count
