chart_label_budget,comparison,collections,mean_delta,ci_low,ci_high
32,structured_minus_ordinary,5,0.049499999999999995,-0.010500000000000015,0.0998
64,structured_minus_ordinary,5,0.049800000000000004,-0.004499999999999993,0.09840000000000002
128,structured_minus_ordinary,5,0.0018000000000000017,-0.07100000000000001,0.06640000000000001
256,structured_minus_ordinary,5,-0.168,-0.21080000000000002,-0.1278
512,structured_minus_ordinary,5,-0.1851,-0.21559999999999996,-0.1528
1000,structured_minus_ordinary,5,-0.2198,-0.25410000000000005,-0.1739
