chart_label_budget,method,seeds,mean_task_accuracy,std_task_accuracy,mean_worst_condition_task_accuracy,mean_chart_accuracy,mean_ece,mean_trainable_parameters,mean_training_time_seconds
32,d4_equivariant_chart_cnn,5,0.38210000000000005,0.032648506857129,0.2719999998807907,0.32049999833106996,0.1350503153695273,17407,1.2401955666486173
32,capacity_matched_ordinary_chart_cnn,5,0.2386,0.025128171441631004,0.16959999799728392,0.12400000095367432,0.16577564784947837,24274,0.7889270920306444
32,augmentation_trained_ordinary_chart_cnn,5,0.2399,0.026034592372457074,0.1727999985218048,0.09230000078678131,0.16507117988282863,24274,0.7801736920140684
32,generic_low_rank_adapter,5,0.0985,0.011113055385446439,0.06560000106692314,0.12400000095367432,0.03210391850959416,25490,0.34483763338066636
32,structured_retransport,5,0.28809999999999997,0.04742151410488704,0.231999996304512,0.32049999833106996,0.16217069764574815,60925,3.2932540748734027
32,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
64,d4_equivariant_chart_cnn,5,0.3849,0.02411275596027961,0.27760000228881837,0.2831000030040741,0.1235167742727779,17407,1.2829849836416543
64,capacity_matched_ordinary_chart_cnn,5,0.2387,0.027019900073834473,0.17439999878406526,0.1237999975681305,0.1661974694151085,24274,0.7878344086464495
64,augmentation_trained_ordinary_chart_cnn,5,0.2387,0.02527251471460646,0.17039999961853028,0.12469999939203262,0.1657779931469612,24274,0.7836318000685424
64,generic_low_rank_adapter,5,0.1247,0.04138780013482234,0.09519999846816063,0.1237999975681305,0.02080678632881465,25490,0.19757865816354753
64,structured_retransport,5,0.28850000000000003,0.044116323509558235,0.2280000001192093,0.2831000030040741,0.15247880273104547,60925,3.3360434918664397
64,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
128,d4_equivariant_chart_cnn,5,0.4729,0.03913981348959138,0.31759999990463256,0.3005000054836273,0.0906600125265377,17407,1.4903241585940123
128,capacity_matched_ordinary_chart_cnn,5,0.2974,0.0814381667278924,0.19679999947547913,0.17740000039339066,0.13773693871400555,24274,0.8211074752733112
128,augmentation_trained_ordinary_chart_cnn,5,0.29769999999999996,0.0736924351612837,0.20160000026226044,0.20590000301599504,0.1354032250313824,24274,0.8316287003923207
128,generic_low_rank_adapter,5,0.26139999999999997,0.025774017925034493,0.20640000104904174,0.17740000039339066,0.06121653821591143,25490,0.2512871000450104
128,structured_retransport,5,0.2992,0.0341716256563834,0.2287999987602234,0.3005000054836273,0.19298501309023197,60925,3.5433826668187978
128,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
256,d4_equivariant_chart_cnn,5,0.5484,0.025931158863421438,0.3424000024795532,0.4916000127792358,0.06669330138935504,17407,1.9424091670662165
256,capacity_matched_ordinary_chart_cnn,5,0.45170000000000005,0.04543484345741711,0.31360000371932983,0.318900004029274,0.08784098266108767,24274,0.927956133428961
256,augmentation_trained_ordinary_chart_cnn,5,0.41080000000000005,0.056318957731833076,0.2888000011444092,0.27520000040531156,0.11124842669836459,24274,0.960950242029503
256,generic_low_rank_adapter,5,0.3806,0.05055615689508054,0.32799999713897704,0.318900004029274,0.050671863821126505,25490,0.44788718316704035
256,structured_retransport,5,0.2837,0.0313540268546163,0.21200000047683715,0.4916000127792358,0.25554279091153975,60925,3.995467675291002
256,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
512,d4_equivariant_chart_cnn,5,0.6307,0.01677274575017459,0.36880000233650206,0.598800003528595,0.04194449967442038,17407,2.8642926670145243
512,capacity_matched_ordinary_chart_cnn,5,0.5362,0.022656676720119406,0.3288000047206879,0.4577000021934509,0.061592059464523084,24274,1.0349469670094549
512,augmentation_trained_ordinary_chart_cnn,5,0.5141,0.01885271863684386,0.3199999928474426,0.3988999903202057,0.06839336244865524,24274,1.1004620084539056
512,generic_low_rank_adapter,5,0.5071,0.03638234461933425,0.4296000063419342,0.4577000021934509,0.043912304227092046,25490,0.8223341583274305
512,structured_retransport,5,0.3511,0.026592762173192917,0.2615999966859818,0.598800003528595,0.22905807749074447,60925,4.917351175239309
512,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
1000,d4_equivariant_chart_cnn,5,0.6617,0.014635573101180565,0.38640000820159914,0.6663999915122986,0.03809987533564534,17407,4.605589375179261
1000,capacity_matched_ordinary_chart_cnn,5,0.5954,0.02754859343051837,0.3440000057220459,0.5348000049591064,0.048702297980866546,24274,1.3410585924517364
1000,augmentation_trained_ordinary_chart_cnn,5,0.5618000000000001,0.030705455541320332,0.33440000414848325,0.4640999972820282,0.04990059742815879,24274,1.3882260251324623
1000,generic_low_rank_adapter,5,0.5938,0.023665903743571692,0.49440000057220457,0.5348000049591064,0.03527622812559827,25490,1.472684608772397
1000,structured_retransport,5,0.37560000000000004,0.028380010570822557,0.2839999973773956,0.6663999915122986,0.22131208126715413,60925,6.658647883404046
1000,direct_d4_equivariant_task_cnn,5,0.6104,0.018423490440196186,0.4984000027179718,,0.07321870101562267,11730,5.3029633167665455
