setting_id,seed,chart_label_budget,method,chart_accuracy,task_accuracy,negative_log_likelihood,ece,classwise_ece,worst_condition_task_accuracy,trainable_parameters,stored_parameters,stored_bytes,training_time_seconds,chart_training_examples,validation_examples,calibration_examples,test_examples,logits_path,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
FashionMNIST_sample_efficiency_seed40_budget64,40,64,structured_retransport,0.2669999897480011,0.335,2.162212421419188,0.07237048352764286,"[0.0356977633375234, 0.047389904668307156, 0.04110730129331077, 0.029833005553457605, 0.06760783372982894, 0.03666887645819539, 0.13666546392849538, 0.09392354321156846, 0.0988336256797085, 0.08896446088121387]",0.2840000092983246,60925,60925,243700,3.6661890430841595,64,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget64.npz,ec9ba7b5ebf665a745f7da607b8d3412f55d3f653bd82c820a4d7c171669a53f,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget64,40,64,direct_d4_equivariant_task_cnn,,0.637,1.0886179698058167,0.07684835490563238,"[0.03651737003328451, 0.03291436961759803, 0.01939463758112703, 0.015013604027615864, 0.025468296682534867, 0.012084921350011647, 0.01906866993144135, 0.02692637142341802, 0.03911286865381292, 0.03559778459007492]",0.5360000133514404,11730,11730,46920,5.3862083337735385,0,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget64.npz,ec9ba7b5ebf665a745f7da607b8d3412f55d3f653bd82c820a4d7c171669a53f,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,d4_equivariant_chart_cnn,0.2915000021457672,0.4465,1.8948781347619166,0.09515573632224515,"[0.08071226196194824, 0.05105362977269428, 0.10938235987145245, 0.08454489012050609, 0.027014697830441498, 0.04514756805432217, 0.1272765721384673, 0.07710044549922318, 0.0396776134831138, 0.06275361638084126]",0.328000009059906,17407,17407,69628,1.9218771671876311,128,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,capacity_matched_ordinary_chart_cnn,0.1445000022649765,0.243,2.6308354542875785,0.16137381515563487,"[0.07802758663916733, 0.09379572918852842, 0.10666979450332234, 0.05725842000870916, 0.02891692521855672, 0.05907195215949285, 0.15599268968838131, 0.06522353755814855, 0.21317577789442194, 0.0928711406712648]",0.20000000298023224,24274,24274,97096,1.2151802512817085,128,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,augmentation_trained_ordinary_chart_cnn,0.11500000208616257,0.244,2.6335943189154203,0.16023819879635298,"[0.0780318597419259, 0.09380690541911081, 0.10654327542021996, 0.05741214697603528, 0.028989995441224, 0.05911927257775903, 0.15594543637894379, 0.06520748157178854, 0.21363170583993693, 0.09287046333796373]",0.20399999618530273,24274,24274,97096,1.2230083760805428,128,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,generic_low_rank_adapter,0.1445000022649765,0.2205,2.058590988552258,0.04782637561270553,"[0.009937302690920052, 0.019992400487881416, 0.041452439294967135, 0.03473715226184782, 0.061148691004984705, 0.03478735913245932, 0.021310507546129537, 0.06680830684669564, 0.023000560759628735, 0.057133428170157055]",0.15600000321865082,25490,25490,101960,0.27894245903007686,128,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,structured_retransport,0.2915000021457672,0.336,2.064488798743398,0.09532533892714051,"[0.014643151246774164, 0.04959267564744836, 0.04953557649881297, 0.034825103941344304, 0.06605418374788445, 0.057824530602589116, 0.13198830047697468, 0.09312463033797264, 0.07899314678354566, 0.08763985054813908]",0.2800000011920929,60925,60925,243700,3.8493885011412203,128,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget128,40,128,direct_d4_equivariant_task_cnn,,0.637,1.0886179698058167,0.07684835490563238,"[0.03651737003328451, 0.03291436961759803, 0.01939463758112703, 0.015013604027615864, 0.025468296682534867, 0.012084921350011647, 0.01906866993144135, 0.02692637142341802, 0.03911286865381292, 0.03559778459007492]",0.5360000133514404,11730,11730,46920,5.3862083337735385,0,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget128.npz,23e592054ca9ce6cdc29c863793c23125928ba0e39e34c97cdc8ef547ff9acc0,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget256,40,256,d4_equivariant_chart_cnn,0.49000000953674316,0.537,1.5464479688310002,0.0866989182978771,"[0.08613438578617244, 0.052871205398880156, 0.09583832993755795, 0.03293988123414257, 0.017771199206583033, 0.018472940863120818, 0.08541428446872254, 0.01479521975117741, 0.0375211759966549, 0.02932982722892953]",0.35600000619888306,17407,17407,69628,2.3650880011264235,256,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget256,40,256,capacity_matched_ordinary_chart_cnn,0.2485000044107437,0.4305,1.9255394152081309,0.08617378583009025,"[0.07930881671709387, 0.04998644479939062, 0.10568369856931202, 0.07001164921386158, 0.028958862268124587, 0.045266660347126085, 0.13843300517913712, 0.0774617671090864, 0.048731024745486046, 0.06915859836064357]",0.3240000009536743,24274,24274,97096,1.334687374997884,256,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
