method,threshold,target_task_accuracy,interpolated_chart_labels_to_threshold
d4_equivariant_chart_cnn,task_accuracy_50_percent,0.5,173.94437086092717
d4_equivariant_chart_cnn,task_accuracy_60_percent,0.6,416.50546780072887
d4_equivariant_chart_cnn,oracle_gain_90_percent,0.6888999935984612,not_reached
capacity_matched_ordinary_chart_cnn,task_accuracy_50_percent,0.5,402.32899408284015
capacity_matched_ordinary_chart_cnn,task_accuracy_60_percent,0.6,not_reached
capacity_matched_ordinary_chart_cnn,oracle_gain_90_percent,0.6888999935984612,not_reached
augmentation_trained_ordinary_chart_cnn,task_accuracy_50_percent,0.5,477.05711519845113
augmentation_trained_ordinary_chart_cnn,task_accuracy_60_percent,0.6,not_reached
augmentation_trained_ordinary_chart_cnn,oracle_gain_90_percent,0.6888999935984612,not_reached
generic_low_rank_adapter,task_accuracy_50_percent,0.5,497.63162055335965
generic_low_rank_adapter,task_accuracy_60_percent,0.6,not_reached
generic_low_rank_adapter,oracle_gain_90_percent,0.6888999935984612,not_reached
structured_retransport,task_accuracy_50_percent,0.5,not_reached
structured_retransport,task_accuracy_60_percent,0.6,not_reached
structured_retransport,oracle_gain_90_percent,0.6888999935984612,not_reached
direct_d4_equivariant_task_cnn,task_accuracy_50_percent,0.5,32.0
direct_d4_equivariant_task_cnn,task_accuracy_60_percent,0.6,32.0
direct_d4_equivariant_task_cnn,oracle_gain_90_percent,0.6888999935984612,not_reached
